stage,method,metric,mean,log_clusters,log_cluster_ci_low,log_cluster_ci_high
F,score,center_shift,0.16197423762331406,223,0.14224836520410547,0.18209023331378746
F,pareto,center_shift,0.18377971606949964,223,0.15957958342132736,0.2096274230441121
F,gt_distance,center_shift,0.05226218438396851,223,0.03562982833905206,0.07055647325552607
F,old_pc,center_shift,0.15410833838085333,223,0.134695010450746,0.1730445238384755
F,gt_only,CRN_policy_change_ADE,0.16393171258270742,223,0.142559111871583,0.1857979825644863
F,score,CRN_policy_change_ADE,0.12286085685094197,223,0.10138956445424827,0.14532886260373307
F,pareto,CRN_policy_change_ADE,0.12900196202099323,223,0.10178321211347673,0.15474548553415524
F,gt_distance,CRN_policy_change_ADE,0.03734964144726594,223,0.020595933484357797,0.05518999157579091
F,old_pc,CRN_policy_change_ADE,0.14718916349112987,223,0.13052890231741257,0.16459847634480393
F,gt_only,IL_retention_loss,0.001108386496349947,223,0.0006615170906840261,0.0015453908912472615
F,score,IL_retention_loss,-4.188925653276331e-05,223,-0.0006361952932009132,0.0005108370449989478
F,pareto,IL_retention_loss,0.000581987785698551,223,3.334346964853818e-05,0.0011052711582896766
F,gt_distance,IL_retention_loss,0.0007586308752388488,223,0.0003789875479751281,0.0011349936800372391
F,old_pc,IL_retention_loss,0.0013343005511652927,223,0.0010895410380198955,0.001587036327426985
F,gt_only,Hit8,-0.05492077066056576,223,-0.07484624360954673,-0.034825803825070556
F,score,Hit8,-0.01874056578817218,223,-0.036465279644599294,-0.0026349041334922875
F,pareto,Hit8,-0.03193741818941758,223,-0.04705458657303558,-0.016272803977789494
F,gt_distance,Hit8,-0.010397395159336638,223,-0.025596562878688587,0.004357844728383967
F,old_pc,Hit8,0.00819348926210296,223,-0.0029213978836956284,0.019992129516311904
F_gain,gt_only,gain_AUC,0.7945878536533802,223,0.08251640602316065,1.479524259115771
F_gain,score,gain_AUC,0.522162843777995,223,-0.45937905674541807,1.460889614902297
F_gain,pareto,gain_AUC,0.9569253463246598,223,-0.012742733753374839,1.9282146893788208
F_gain,gt_distance,gain_AUC,0.19125448597319286,223,-0.5530397789982846,1.0354165009353438
F_gain,old_pc,gain_AUC,1.6176242572019566,223,0.9198391037421011,2.325949309478956
F_gain,gt_only,gain_per_100_steps,-0.41869316359208414,223,-1.3451364956840057,0.4758333188774153
F_gain,score,gain_per_100_steps,0.45333976145940313,223,-0.9198297851212472,1.7505198993178652
F_gain,pareto,gain_per_100_steps,1.2445657883555534,223,-0.2970972538649632,2.7505250142218647
F_gain,gt_distance,gain_per_100_steps,0.7298857223419998,223,-0.5115136460334033,1.978445422121137
F_gain,old_pc,gain_per_100_steps,-0.9495145223361425,223,-1.812003287419247,-0.18341401428101245
