step,loss,candidate_or_policy_loss,GT_or_BC_loss,gradient_norm_before_clip,lr,seconds
1,-0.010488145228009671,-0.0011617675772868097,-0.09326377417892218,0.15941497683525085,0.0001,16.606972455978394
2,-0.011684765777317807,0.0008017008804017678,-0.12486466437985655,0.6613746285438538,0.0001,25.965448141098022
3,-0.01176578948070528,-0.0025927487877197564,-0.09173040639143437,0.3076110780239105,0.0001,34.81553363800049
4,-0.009825896471738815,0.0003542840336194786,-0.1018018051981926,0.3237152099609375,0.0001,44.558777809143066
5,-0.011310233909171075,-0.002455194429785479,-0.08855039381887764,0.5072914958000183,0.0001,54.11432886123657
6,-0.01116966246991069,-0.0028841007842856925,-0.08285561439697631,0.38184383511543274,0.0001,63.33468198776245
7,-0.006341854721540585,0.0014839669311186299,-0.07825821731239557,0.15818633139133453,0.0001,72.13397550582886
8,-0.01114170957589522,0.0006413869668904226,-0.11783096147701144,0.4263513684272766,0.0001,81.28641033172607
9,-0.010186594969127327,-0.00034966169187100604,-0.09836933226324618,0.5312681794166565,0.0001,90.33596444129944
10,-0.009715467283967882,-0.0008307117113872664,-0.08884755382314324,0.47731712460517883,0.0001,99.8800003528595
11,-0.010900977737037465,0.0006372325296979398,-0.11538210092112422,0.210365891456604,0.0001,110.28804278373718
12,-0.008170524321030825,-0.0021088313224026933,-0.06061692978255451,0.22064758837223053,0.0001,119.4558482170105
13,-0.008524204720743,0.00036694228765554726,-0.08891146909445524,0.21673545241355896,0.0001,128.401109457016
14,-0.007836041826521978,0.0012458112905733287,-0.09081852913368493,0.3150470554828644,0.0001,138.03329849243164
15,-0.013394730165600777,-0.0010993328651238699,-0.12295396625995636,0.4685797095298767,0.0001,147.21525144577026
16,-0.008492650522384793,0.002013070541579509,-0.10505720810033381,0.28662142157554626,0.0001,156.45745015144348
17,-0.006870641082059592,0.0010460042976774275,-0.07916645216755569,0.25620028376579285,0.0001,166.11556792259216
18,-0.007464833266567439,0.0008036223853196134,-0.08268455369397998,0.1506287157535553,0.0001,175.56392455101013
19,-0.008285674324724823,-0.0016594521584920585,-0.06626222003251314,0.3187962770462036,0.0001,184.8969178199768
20,-0.01171510067069903,-0.0014145248774184438,-0.1030057605530601,0.30972790718078613,0.0001,193.83055233955383
21,-0.008861458132741973,-0.0008939663239289075,-0.0796749172732234,0.2611146569252014,0.0001,202.832359790802
22,-0.01331713391118683,-0.0017364658742735628,-0.11580668017268181,0.20597314834594727,0.0001,211.28475499153137
23,-0.01363621314521879,-0.0011354390862834407,-0.12500773975625634,0.2907877266407013,0.0001,220.36424827575684
24,-0.011725125426892191,-4.5772394514642656e-05,-0.11679353006184101,0.158835306763649,0.0001,229.56963968276978
25,-0.006324002577457577,0.0009129839818342589,-0.07236986514180899,0.27868402004241943,0.0001,238.18775916099548
26,-0.004732360044727102,0.0006557270971825346,-0.05388086917810142,0.4860597252845764,0.0001,247.50138068199158
27,-0.01027738256379962,0.0007577271871923585,-0.11035109777003527,0.12507395446300507,0.0001,257.04857873916626
28,-0.010760823439341038,-0.00015248399358824827,-0.10608339263126254,0.4046374261379242,0.0001,266.82913184165955
29,-0.011740857444237918,-0.0006450145101553062,-0.11095842625945807,0.471714049577713,0.0001,276.23486518859863
30,-0.0113293073954992,-0.0013497200798155973,-0.09979587106499821,0.23230651021003723,0.0001,285.28469157218933
31,-0.011749251920264214,-0.0001960374938789755,-0.11553214071318507,0.37415415048599243,0.0001,294.9826409816742
32,-0.013751723687164485,-0.002524988045479404,-0.11226735450327396,0.31467345356941223,0.0001,303.5979051589966
33,-0.010519930743612349,0.00023121663252823055,-0.10751147055998445,0.3467107117176056,0.0001,313.5946578979492
34,-0.009110209939535707,0.0005206424539210275,-0.09630852146074176,0.16635282337665558,0.0001,322.9718997478485
