method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction,panel,contrast,near_mean,far_mean,cluster_scenes,cluster_ci_low,cluster_ci_high,scene_win_fraction
conditional_pc,loss,251,0.0014428380387266,0.0001114552494527,0.0008512076727733,0.002134161537618,8.850770973367617e-05,0.0001298828628932,1.0,method_pool,,,,,,,
conditional_pc,gradient_norm,251,0.3381004635155557,0.1539417058229446,0.2728165952149274,0.4102188685827284,0.1372859179973602,0.1808397471904754,1.0,method_pool,,,,,,,
conditional_pc,cosine,251,0.5549991180863655,0.8501374269364149,0.486140172134064,0.6225147967879435,0.7748247742200335,0.8925546767384926,0.8047808764940239,method_pool,,,,,,,
conditional_pc,dot,251,0.3186871689433311,0.0115849860012531,0.1505789430019994,0.5527960115188255,0.0074580200016498,0.0156584568321704,0.8047808764940239,method_pool,,,,,,,
conditional_pc,predicted_delta_L_ref,251,-3.1868716894333125e-06,-1.1584986001253129e-07,-5.388417912399804e-06,-1.5169120551270107e-06,-1.565845683217049e-07,-7.458020001649858e-08,0.1952191235059761,method_pool,,,,,,,
gt_distance,loss,256,0.0075072865753967,0.0003404745980333,0.0036023683689433,0.01375850834807,0.0002647038332952,0.0005086365154056,1.0,method_pool,,,,,,,
gt_distance,gradient_norm,256,0.7359538498640177,0.3168138563632965,0.5866707962253713,0.9090913809694032,0.2595444321632385,0.3592039976269008,1.0,method_pool,,,,,,,
gt_distance,cosine,256,0.5115310892336014,0.7722396699867999,0.4392426703842578,0.5809221993392313,0.7007003424878591,0.8347159735372747,0.78125,method_pool,,,,,,,
gt_distance,dot,256,0.6069024595176984,0.0161323705688118,0.2522984129639667,1.1197975615238631,0.0115577410906553,0.0303335227072238,0.78125,method_pool,,,,,,,
gt_distance,predicted_delta_L_ref,256,-6.069024595176984e-06,-1.6132370568811896e-07,-1.1316484265740782e-05,-2.4285434771084907e-06,-3.0333522707223895e-07,-1.1557741090655329e-07,0.21875,method_pool,,,,,,,
old_pc,loss,256,0.0014203759942147,0.0001122942643405,0.0008184351056388,0.002146960899854,8.649008537986447e-05,0.0001328528489921,1.0,method_pool,,,,,,,
old_pc,gradient_norm,256,0.3383216547299525,0.1578762680292129,0.2741998975889146,0.4100134608441294,0.1376005113124847,0.1832842826843261,1.0,method_pool,,,,,,,
