step,loss,candidate_or_policy_loss,GT_or_BC_loss,gradient_norm_before_clip,lr,seconds
1,-0.010446056141518056,-0.0011635642731562257,-0.09282491682097316,0.16543234884738922,0.0001,16.11152148246765
2,-0.01142638336023083,0.0008631674718344584,-0.12289550708374009,0.7232140898704529,0.0001,24.74496054649353
3,-0.012708065609331243,-0.003191402029187884,-0.09516663255635649,0.19395481050014496,0.0001,33.288963079452515
4,-0.010052598139736801,0.00019984732352895662,-0.10252445284277201,0.38546204566955566,0.0001,42.97421622276306
5,-0.011059488118917216,-0.002342582908568147,-0.08716905175242573,0.5391674041748047,0.0001,52.92935824394226
6,-0.010045005808933638,-0.0016164733133336995,-0.08428532409016043,0.2726433277130127,0.0001,61.42546582221985
7,-0.007618207833729684,0.0002962392245535739,-0.07914446969516575,0.14500904083251953,0.0001,69.91958451271057
8,-0.010850201186258346,0.0012277193418412935,-0.1207792041823268,0.27311843633651733,0.0001,79.37405109405518
9,-0.009302256628870964,0.00018955130690301303,-0.09491807967424393,0.5818223357200623,0.0001,88.63941192626953
10,-0.00952273397706449,-0.000700057833455503,-0.0882267621345818,0.48395609855651855,0.0001,97.27882766723633
11,-0.011414035689085722,5.766469985246658e-05,-0.11471700016409159,0.1723097413778305,0.0001,107.11910939216614
12,-0.007843013023375534,-0.0018552258661657106,-0.05987787141930312,0.3070821464061737,0.0001,116.84984612464905
13,-0.008157900243531913,0.0005185179070394952,-0.08676418103277683,0.21943925321102142,0.0001,125.78448390960693
14,-0.007824939573765732,0.0010932816076092422,-0.08918221015483141,0.354455828666687,0.0001,134.6856279373169
15,-0.014188267523422837,-0.0018133816047338769,-0.12374885380268097,0.4216514229774475,0.0001,143.18204522132874
16,-0.008564041345380247,0.0020534610812319443,-0.10617502545937896,0.2683033049106598,0.0001,151.85701060295105
17,-0.007510658877436072,0.0006321907712845132,-0.08142849407158792,0.196525439620018,0.0001,161.0203573703766
18,-0.007886601175414398,0.0004565846757031977,-0.0834318557754159,0.14552021026611328,0.0001,169.82010674476624
19,-0.008501346746925265,-0.0019325208268128335,-0.06568825873546302,0.3439876437187195,0.0001,178.7167239189148
20,-0.011242350767133757,-0.0010667395542895974,-0.10175611008162377,0.35795554518699646,0.0001,187.927255153656
21,-0.008427157968981192,-0.00047858504694886506,-0.07948572654277086,0.21186918020248413,0.0001,196.71106243133545
22,-0.012196350056910887,-0.0006266053514991654,-0.11569744581356645,0.16651551425457,0.0001,205.25947856903076
23,-0.014456799835897982,-0.0018309844672330655,-0.12625814881175756,0.19888006150722504,0.0001,214.08779001235962
24,-0.01271259255008772,-0.0012065812770742923,-0.1150601115077734,0.19378840923309326,0.0001,223.04438829421997
25,-0.005616269016172737,0.0017249194461328443,-0.07341188238933682,0.1602117121219635,0.0001,231.64067602157593
26,-0.004326949099777266,0.0007829183450667188,-0.05109867197461426,0.5810849070549011,0.0001,240.6024284362793
27,-0.009746613970492035,0.001649827804612869,-0.11396441608667374,0.22373545169830322,0.0001,249.46988582611084
28,-0.011124697397463024,-0.00042234961802023463,-0.10702347476035357,0.4004848599433899,0.0001,259.3289728164673
29,-0.011073186644352973,-2.2248704226512928e-05,-0.11050937883555889,0.40426400303840637,0.0001,267.9743666648865
30,-0.011110587787698023,-0.0011276792884018505,-0.09982908423990011,0.19569571316242218,0.0001,276.54482889175415
31,-0.012047901225741953,-0.00045027578016743064,-0.11597625305876136,0.4564781188964844,0.0001,285.6112198829651
32,-0.013093843124806881,-0.002097367872920586,-0.10996475373394787,0.32304757833480835,0.0001,294.6011493206024
33,-0.010214802750851959,0.00031794342066859826,-0.10532745998352766,0.2913101017475128,0.0001,304.43579292297363
34,-0.007707475337156211,0.0015411511612910544,-0.09248626058979426,0.26048046350479126,0.0001,313.6032590866089
35,-0.00671696842982783,-0.00042576978012220934,-0.06291198723192792,0.42309272289276123,0.0001,323.1893994808197
36,-0.010206028120592237,-9.741612302605063e-06,-0.10196286300197244,0.5917417407035828,0.0001,331.65679240226746
37,-0.007096643414115533,0.0019835047278320417,-0.0908014802262187,0.32253825664520264,0.0001,340.2942678928375
38,-0.01337378565222025,-0.0013550126371910665,-0.12018772820010781,0.20965279638767242,0.0001,349.0493440628052
39,-0.008468860309221782,-0.0026818712358362973,-0.057869891294330955,0.19791366159915924,0.0001,358.7460527420044
40,-0.007834372576326132,-0.0007962865784065798,-0.07038085779640824,0.5469723343849182,0.0001,367.1079270839691
41,-0.010039803280960768,0.00013983748067403212,-0.10179640632122755,0.25390154123306274,0.0001,375.5177927017212
42,-0.012723740161163732,-0.0008896105209714733,-0.11834129435010254,0.5168427228927612,0.0001,384.2121868133545
43,-0.008988115703687072,-0.0005238426892901771,-0.08464272739365697,0.5236765146255493,0.0001,392.6923174858093
44,-0.011497341489302926,-0.0007686447552259779,-0.10728696477599442,0.4367125332355499,0.0001,402.283655166626
45,-0.008477625946397893,-0.0012118589111196343,-0.07265766675118357,0.2747874855995178,0.0001,411.2920470237732
46,-0.010015773455961607,-0.0022323910998238716,-0.07783382275374606,0.5198555588722229,0.0001,419.99408745765686
47,-0.004363276515505277,0.0027634949146886356,-0.07126771402545273,0.5959078073501587,0.0001,429.4823498725891
48,-0.007485548601835035,-0.00031311432758229785,-0.07172434066887945,0.6433863043785095,0.0001,438.7340521812439
49,-0.01133180242322851,-0.0028989673182877596,-0.08432834991253912,0.7613020539283752,0.0001,448.2408034801483
50,-0.011084455181844532,-0.0018188585017924197,-0.09265596512705088,0.2004229575395584,0.0001,457.13293981552124
51,-0.01479125744663179,-0.0021868036965315696,-0.12604453368112445,0.18875578045845032,0.0001,466.66485714912415
52,-0.01242968934820965,-0.001449377703920618,-0.10980311268940568,0.6036733388900757,0.0001,475.3542697429657
53,-0.006800662449677475,0.0016958430696831783,-0.08496505534276366,0.4623432159423828,0.0001,483.92373275756836
54,-0.010173885006224737,-0.0008592458470957354,-0.09314638935029507,0.611440896987915,0.0001,492.70340156555176
55,-0.012588264333317056,-0.0022233100899029523,-0.10364953987300396,0.37963712215423584,0.0001,502.2743754386902
56,-0.008809228893369436,0.002465634712280007,-0.11274863267317414,0.4087110161781311,0.0001,511.35069251060486
57,-0.013037110678851604,-0.003800695005338639,-0.09236415504710749,0.23847228288650513,0.0001,519.6335456371307
58,-0.010230424733890686,-0.0014418788443890662,-0.0878854567417875,0.3452119827270508,0.0001,528.9555730819702
59,-0.012078994244802743,-0.0018563693156465888,-0.10222624405287206,0.550429105758667,0.0001,537.5231823921204
60,-0.005979140929412097,0.0014400280633708462,-0.07419168797787279,0.507066547870636,0.0001,546.7317891120911
61,-0.010817638947628438,-0.0007778650397085585,-0.10039773769676685,0.5851281881332397,0.0001,555.3226389884949
62,-0.01195603731321171,-0.002096952146530384,-0.09859085048083216,0.25312796235084534,0.0001,564.1638598442078
63,-0.009229642455466092,0.0001748841386870481,-0.09404526278376579,0.39858338236808777,0.0001,572.9350869655609
64,-0.011529453273396939,-0.0017010309020406567,-0.09828422218561172,0.30333879590034485,0.0001,581.7366073131561
65,-0.012916559702716768,-0.0020634444954339415,-0.10853115189820528,0.3898985683917999,0.0001,591.4149618148804
66,-0.00876923618488945,-0.0016069971898104995,-0.0716223901254125,0.6054918766021729,0.0001,600.6047065258026
67,-0.011379919247701764,-0.0016548961721127853,-0.09725023119244725,0.42073920369148254,0.0001,609.3527975082397
68,-0.009573145740432665,-0.0017761881408659974,-0.07796957599930465,0.5479588508605957,0.0001,618.5358166694641
69,-0.006503178854472935,-0.0013684693694813177,-0.05134709435515106,0.7129087448120117,0.0001,627.4997067451477
70,-0.013411990948952734,-0.0026045785925816745,-0.1080741211771965,0.33607226610183716,0.0001,636.8249197006226
71,-0.009868502500467002,0.0008756773750064895,-0.10744179738685489,0.3009098172187805,0.0001,645.3955855369568
72,-0.011324573861202225,-0.0007086769110173918,-0.10615896759554744,0.35653242468833923,0.0001,654.6054863929749
73,-0.009473489335505292,-0.003413863363675773,-0.06059625794296153,0.438913494348526,0.0001,663.784544467926
74,-0.010881554626394063,-0.0008325469170813449,-0.10049007355701178,0.7092769145965576,0.0001,672.8447127342224
75,-0.01074169616913423,0.00021893343364354223,-0.10960629396140575,0.37310320138931274,0.0001,681.4402525424957
76,-0.016224750434048474,-0.0029836631438229233,-0.13241087086498737,0.32565489411354065,0.0001,691.5993599891663
77,-0.009853010415099561,-0.0017351210371998604,-0.0811788928695023,0.6579424142837524,0.0001,700.9649624824524
78,-0.009525603090878576,0.001431993063306436,-0.10957595962099731,0.3563307821750641,0.0001,709.6494266986847
79,-0.011293519783066586,-0.0018142087261594497,-0.09479310899041593,0.5829748511314392,0.0001,718.1138110160828
80,-0.01282763748895377,-0.0013816463469993323,-0.11445991043001413,0.40810301899909973,0.0001,726.7925446033478
81,-0.01065347550320439,-0.0013928758198744617,-0.09260599373374134,0.3578830659389496,0.0001,735.7556927204132
82,-0.008247878082329407,0.001605907134944573,-0.09853784879669547,0.2892369329929352,0.0001,744.394679069519
83,-0.008305875409860164,0.0015815578881301917,-0.09887433284893632,0.3476784825325012,0.0001,753.0280613899231
84,-0.009689422091469169,0.002401714453299064,-0.12091136258095503,0.423728346824646,0.0001,762.5325696468353
85,-0.013491357443854213,-0.002633626084389107,-0.10857731057330966,0.4582400918006897,0.0001,771.8736207485199
