method,region,n,scenes,loss,norm,alignment
conditional_pc,boundary,532,251,0.0009294482073446284,0.30275557802191805,0.5179182664249578
gt_distance,boundary,58,53,0.00032314406890801084,0.21489659292173796,0.3668254194855843
gt_distance,core,23,23,0.002781796409497316,0.4663996130390012,0.6471194127473016
gt_distance,far,456,227,0.006808805060988956,0.7576804051110357,0.5049064130983337
old_pc,boundary,534,253,0.0009279802008595754,0.30386020102248656,0.5164517105164271
old_pc,core,3,3,0.0001288528308881117,0.18214145799477896,-0.16919523515841894
pareto,boundary,27,26,0.00018940581892618665,0.21064142489598858,0.22505632815197482
pareto,core,10,10,0.001281561871383019,0.3540706254541874,0.699546699338242
pareto,far,500,254,0.011899509795861832,1.052047022216022,0.29816920462066604
score,boundary,19,12,0.0001684903657190405,0.17725786527520732,0.2823291146936716
score,core,11,5,0.00018536268899796679,0.1700109172273766,0.5308351698704007
score,far,507,250,0.009790526604326171,0.9819706298807669,0.5480664996192063
