method,seed,step,PDMS,feasible_rate,hard_failure,zero_score_rate,EP,NC,DAC,TTC,DDC,PIA_rate,infeasible_count,positive_infeasible_count
gt_only,1701,1,68.43992814227902,0.703125,0.21875,0.21875,0.6706832754146963,0.921875,0.859375,0.859375,0.96875,0.2631578947368421,19,5
gt_only,1701,2,76.99850027134289,0.8125,0.109375,0.109375,0.7604640065122297,0.96875,0.921875,0.890625,0.984375,0.3333333333333333,12,4
gt_only,1701,3,69.17477774556214,0.703125,0.203125,0.1875,0.707455023646558,0.984375,0.8125,0.875,0.9921875,0.0,19,0
gt_only,1701,4,65.23765713395679,0.65625,0.203125,0.203125,0.6719537712149629,0.9375,0.859375,0.796875,0.9765625,0.13636363636363635,22,3
gt_only,1701,5,71.74188026228889,0.8125,0.09375,0.09375,0.6593051262949334,0.984375,0.921875,0.890625,1.0,0.08333333333333333,12,1
gt_only,1701,6,71.43411155369189,0.8125,0.171875,0.09375,0.6884076246652372,0.9453125,0.921875,0.890625,1.0,0.0,12,0
gt_only,1701,7,83.86925141372092,0.890625,0.046875,0.046875,0.8284870339293022,0.96875,0.984375,0.90625,1.0,0.0,7,0
gt_only,1701,8,62.29130577208565,0.65625,0.234375,0.234375,0.6043663385300557,0.875,0.890625,0.78125,0.96875,0.18181818181818182,22,4
gt_only,1701,9,66.45515497324361,0.71875,0.25,0.25,0.6417987193578464,0.984375,0.75,0.859375,0.9375,0.05555555555555555,18,1
gt_only,1701,10,59.755776568058636,0.453125,0.25,0.25,0.6247636376334071,0.9609375,0.75,0.796875,0.8203125,0.2857142857142857,35,10
gt_only,1701,11,56.82702800264616,0.546875,0.296875,0.296875,0.616973672063508,0.8828125,0.796875,0.734375,0.984375,0.1724137931034483,29,5
gt_only,1701,12,65.56204592269671,0.6875,0.25,0.25,0.648489102144721,0.90625,0.84375,0.828125,1.0,0.0,20,0
gt_only,1701,13,64.21476445033598,0.734375,0.171875,0.171875,0.5755293468080636,0.96875,0.859375,0.84375,1.0,0.058823529411764705,17,1
gt_only,1701,14,81.3721000811688,0.6875,0.078125,0.0625,0.8562869857915383,0.9453125,0.984375,0.828125,0.859375,0.05,20,1
gt_only,1701,15,82.87001868343752,0.84375,0.03125,0.03125,0.8295054484025006,0.96875,1.0,0.859375,0.9921875,0.2,10,2
