token,method,strict_candidate_count,strict_selected_count,unique_candidate_count,zero_strict_scene,scene_has_4,scene_has_8,scene_has_16,fallback_rate,primary_count,secondary_count,PDMS,strict_PDMS,core_fraction,boundary_fraction,far_fraction,r_knn,reference_PDMS,frozen_slots,nonraw_fillers,frozen_PDMS,strict_available_in_raw
23e39302332152b2,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,93.30678092547416,93.30678092547416,0.0,1.0,0.0,1.291315491437532,92.8891759621473,,,,44
23e39302332152b2,quality_only,16,16,16,False,True,True,True,0.0,16,0,93.30678092547416,93.30678092547416,0.0,1.0,0.0,1.291315491437532,92.8891759621473,,,,44
23e39302332152b2,score,0,0,16,True,False,False,False,1.0,0,0,96.8444974739691,,0.0,0.0,1.0,16.415217406190536,92.8891759621473,16.0,0.0,96.8444974739691,44
23e39302332152b2,pareto,0,0,16,True,False,False,False,1.0,0,0,96.8444974739691,,0.0,0.0,1.0,16.415217406190536,92.8891759621473,16.0,0.0,96.8444974739691,44
23e39302332152b2,gt_distance,0,0,16,True,False,False,False,1.0,0,0,94.5197441851449,,0.0,0.0,1.0,5.488879953468289,92.8891759621473,16.0,0.0,94.5197441851449,44
23e39302332152b2,old_pc,1,1,1,False,False,False,False,0.0,1,0,93.55198611032073,93.55198611032073,0.0,1.0,0.0,1.4729044083948986,92.8891759621473,16.0,15.0,93.55189428551876,44
411a748874035630,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,100.0,100.0,0.0,1.0,0.0,1.114676154831141,100.0,,,,28
411a748874035630,quality_only,16,16,16,False,True,True,True,0.0,16,0,100.0,100.0,0.0,1.0,0.0,1.114676154831141,100.0,,,,28
411a748874035630,score,0,0,16,True,False,False,False,1.0,0,0,100.0,,0.0,0.0,1.0,6.6202100241109,100.0,16.0,0.0,100.0,28
411a748874035630,pareto,1,1,16,False,False,False,False,0.9375,1,0,100.0,100.0,0.0,0.0625,0.9375,6.554890768935387,100.0,16.0,0.0,100.0,28
411a748874035630,gt_distance,2,2,16,False,False,False,False,0.875,2,0,100.0,100.0,0.0625,0.0625,0.875,6.216166760655995,100.0,16.0,0.0,100.0,28
411a748874035630,old_pc,16,16,16,False,True,True,True,0.0,16,0,100.0,100.0,0.0,1.0,0.0,1.114676154831141,100.0,16.0,0.0,100.0,28
79ebfc1d85bf5a51,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,83.86116911520502,83.86116911520502,0.1875,0.8125,0.0,1.1010165301417687,83.16571132375051,,,,24
79ebfc1d85bf5a51,quality_only,16,16,16,False,True,True,True,0.0,16,0,83.86116911520502,83.86116911520502,0.1875,0.8125,0.0,1.1010165301417687,83.16571132375051,,,,24
79ebfc1d85bf5a51,score,0,0,16,True,False,False,False,1.0,0,0,85.57174667959487,,0.0,0.0,1.0,15.290790356498368,83.16571132375051,16.0,0.0,85.57174667959487,24
79ebfc1d85bf5a51,pareto,0,0,16,True,False,False,False,1.0,0,0,85.57174667959487,,0.0,0.0,1.0,15.290790356498368,83.16571132375051,16.0,0.0,85.57174667959487,24
79ebfc1d85bf5a51,gt_distance,0,0,16,True,False,False,False,1.0,0,0,82.09425828981881,,0.0,0.0,1.0,7.451802367151703,83.16571132375051,16.0,0.0,82.09425828981881,24
79ebfc1d85bf5a51,old_pc,1,1,1,False,False,False,False,0.0,1,0,84.61695686895993,84.61695686895993,0.0,1.0,0.0,1.1963554922717838,83.16571132375051,16.0,15.0,84.61669922151891,24
40808270ce205b83,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,95.71927875466626,95.71927875466626,0.25,0.75,0.0,1.0578069616474524,95.44716148216696,,,,20
40808270ce205b83,quality_only,16,16,16,False,True,True,True,0.0,16,0,95.71927875466626,95.71927875466626,0.25,0.75,0.0,1.0578069616474524,95.44716148216696,,,,20
40808270ce205b83,score,0,0,16,True,False,False,False,1.0,0,0,97.19593977923044,,0.0,0.0,1.0,28.85899179475676,95.44716148216696,16.0,0.0,97.19593977923044,20
40808270ce205b83,pareto,0,0,16,True,False,False,False,1.0,0,0,97.19593977923044,,0.0,0.0,1.0,28.85899179475676,95.44716148216696,16.0,0.0,97.19593977923044,20
40808270ce205b83,gt_distance,10,10,16,False,True,True,False,0.375,10,0,95.50616522987524,95.58231625516218,0.5625,0.4375,0.0,1.011613238515285,95.44716148216696,16.0,0.0,95.50616522987524,20
40808270ce205b83,old_pc,1,1,1,False,False,False,False,0.0,1,0,95.96708957015406,95.96708957015406,0.0,1.0,0.0,0.9969981817329232,95.44716148216696,16.0,15.0,95.96710209233028,20
86208267d61253c0,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,100.0,100.0,0.0,1.0,0.0,1.1719667673557703,100.0,,,,32
86208267d61253c0,quality_only,16,16,16,False,True,True,True,0.0,16,0,100.0,100.0,0.0,1.0,0.0,1.1719667673557703,100.0,,,,32
86208267d61253c0,score,0,0,16,True,False,False,False,1.0,0,0,100.0,,0.0,0.0,1.0,2.670536678173053,100.0,16.0,0.0,100.0,32
86208267d61253c0,pareto,1,1,16,False,False,False,False,0.9375,1,0,100.0,100.0,0.0625,0.0,0.9375,8.704998925544352,100.0,16.0,0.0,100.0,32
86208267d61253c0,gt_distance,2,2,16,False,False,False,False,0.875,2,0,100.0,100.0,0.0625,0.0625,0.875,6.219013686284985,100.0,16.0,0.0,100.0,32
86208267d61253c0,old_pc,15,15,16,False,True,True,False,0.0625,15,0,99.9995232412908,100.0,0.0,1.0,0.0,1.1820783388739864,100.0,16.0,0.0,99.9995232412908,32
f8268857204e554e,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,90.76031407582823,90.76031407582823,0.6875,0.3125,0.0,1.0436801137342937,90.48191604447976,,,,19
f8268857204e554e,quality_only,16,16,16,False,True,True,True,0.0,16,0,90.76031407582823,90.76031407582823,0.6875,0.3125,0.0,1.0436801137342937,90.48191604447976,,,,19
f8268857204e554e,score,0,0,16,True,False,False,False,1.0,0,0,91.54651699834989,,0.0,0.0,1.0,11.019657051730954,90.48191604447976,16.0,0.0,91.54651699834989,19
f8268857204e554e,pareto,0,0,16,True,False,False,False,1.0,0,0,91.54651699834989,,0.0,0.0,1.0,11.019657051730954,90.48191604447976,16.0,0.0,91.54651699834989,19
f8268857204e554e,gt_distance,0,0,16,True,False,False,False,1.0,0,0,91.20719191585532,,0.0,0.0,1.0,5.288539665844681,90.48191604447976,16.0,0.0,91.20719191585532,19
f8268857204e554e,old_pc,1,1,1,False,False,False,False,0.0,1,0,91.00418491717716,91.00418491717716,0.0,1.0,0.0,1.497899806263281,90.48191604447976,16.0,15.0,91.00420947033469,19
1bf169a6aaf65858,conditional_pc,16,16,16,False,True,True,True,0.0,16,0,100.0,100.0,0.0,1.0,0.0,1.1772729604214969,100.0,,,,35
