method,strict_candidate_count,strict_selected_count,unique_candidate_count,zero_strict_scene,scene_has_4,scene_has_8,scene_has_16,fallback_rate,primary_count,secondary_count,PDMS,strict_PDMS,core_fraction,boundary_fraction,far_fraction,r_knn,reference_PDMS,frozen_slots,nonraw_fillers,frozen_PDMS,strict_available_in_raw
conditional_pc,15.113,15.113,15.208,0.04,0.953,0.948,0.919,0.0456875,15.113,0.095,95.01197805896366,95.03873194562614,0.18345175268252192,0.816548247317478,0.0,1.1841092571724219,92.34143437511183,,,,28.337
gt_distance,2.91,2.91,16.0,0.431,0.249,0.14,0.025,0.818125,2.91,0.0,95.85748700319647,96.71659868619805,0.0900625,0.1139375,0.796,8.422272158229484,92.34143437511183,16.0,0.0,95.85748700319647,28.337
old_pc,6.303,6.303,6.375,0.043,0.361,0.356,0.336,0.046362499999999994,6.303,0.0,94.34521052467686,95.48881416943054,0.04359184981684982,0.9564081501831502,0.0,1.2800150126063412,92.34143437511183,16.0,9.625,94.29005773787861,28.337
pareto,1.248,1.248,16.0,0.568,0.067,0.04,0.004,0.922,1.248,0.0,97.12297900100862,98.76081230098087,0.0274375,0.0543125,0.91825,17.155298921244956,92.34143437511183,16.0,0.0,97.12297900100862,28.337
quality_only,15.113,15.113,15.208,0.04,0.953,0.948,0.919,0.0456875,15.113,0.095,95.01196673948586,95.03872183723078,0.18345175268252192,0.816548247317478,0.0,1.1841781358169348,92.34143437511183,,,,28.337
score,1.074,1.074,16.0,0.846,0.101,0.069,0.005,0.932875,1.074,0.0,97.39961750019889,96.5828457243081,0.02625,0.0433125,0.9304375,15.946773091497418,92.34143437511183,16.0,0.0,97.39961750019889,28.337
