method,step,metric,contrast,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
gt_only,200,PDMS,conditional_minus_baseline,300,0.014079405000217307,0.0,-0.36676475884928134,0.36563443290330944,0.0,0.0,0.41333333333333333
gt_only,200,feasible_rate,conditional_minus_baseline,300,0.001328125,0.0,-0.003359375,0.00640625,0.0,0.0,0.06333333333333334
gt_only,200,hard_failure,conditional_minus_baseline,300,0.00028645833333333333,0.0,-0.0033072916666666667,0.004192708333333333,0.0,0.0,0.016666666666666666
gt_only,200,zero_score_rate,conditional_minus_baseline,300,0.0003125,0.0,-0.003177734375,0.0042975260416666695,0.0,0.0,0.016666666666666666
gt_only,200,EP,conditional_minus_baseline,300,0.0006530098866718722,0.0,-0.0028391113613939448,0.003914636249258287,0.0,0.0,0.41
gt_only,200,NC,conditional_minus_baseline,300,0.0003255208333333333,0.0,-2.604166666666667e-05,0.0009244791666666667,0.0,0.0,0.013333333333333334
gt_only,200,DAC,conditional_minus_baseline,300,-0.000703125,0.0,-0.0046875,0.002682942708333336,0.0,0.0,0.04
gt_only,200,TTC,conditional_minus_baseline,300,0.00125,0.0,-0.00109375,0.004557942708333336,0.0,0.0,0.023333333333333334
gt_only,200,DDC,conditional_minus_baseline,300,0.0005989583333333333,0.0,-0.0004557291666666667,0.0021875,0.0,0.0,0.01
gt_only,200,pairwise_ADE,conditional_minus_baseline,300,-0.027564514786205023,-0.027286754071142838,-0.028671854112694534,-0.02649193666832232,-0.028516342096853164,-0.025887354455569746,0.0
gt_only,200,Spread_AUC,conditional_minus_baseline,300,-0.022986753028895645,-0.022456170930369973,-0.02391769827606,-0.022115763718151167,-0.0235169332533769,-0.02167463738557999,0.0
gt_only,200,spread_ratio_IL,conditional_minus_baseline,300,-0.1854002037763653,-0.18674353699057017,-0.19058174295980665,-0.18015515189284506,-0.19238977562841464,-0.18085254808417384,0.0
gt_only,200,center_shift,conditional_minus_baseline,300,-0.054138274571547906,-0.04491059482097626,-0.060825980494652564,-0.047558493741904385,-0.05044897086918354,-0.03950987383723259,0.14333333333333334
gt_only,200,mean_center_shift,conditional_minus_baseline,300,-0.05482304188422859,-0.0444385064765811,-0.061553881075039195,-0.04818524490490866,-0.0516934422776103,-0.03868951369076967,0.13666666666666666
gt_only,200,CRN_policy_change_ADE,conditional_minus_baseline,300,-0.05467067713383585,-0.04392969887703657,-0.06122130244873309,-0.048174423206636376,-0.05230871168896556,-0.03863227926194668,0.12666666666666668
gt_only,200,D_positive,conditional_minus_baseline,300,-0.010919087305665017,-0.004420904442667961,-0.012866994524064163,-0.008991929636336863,-0.010282017290592194,0.0,0.07666666666666666
gt_only,200,positive_count,conditional_minus_baseline,300,3.925,0.0,2.8298333333333336,5.05,0.0,0.0,0.39
gt_only,200,IL_retention_loss,conditional_minus_baseline,300,-0.00037066179043854084,-0.0002805483464225489,-0.0004156713676994306,-0.00032492694157641066,-0.000319980185230051,-0.00023456061894400193,0.04666666666666667
gt_only,200,candidate_fitting_loss,conditional_minus_baseline,300,-0.001831489999924815,-0.0009254471220314642,-0.0023130672183315345,-0.001382947519851777,-0.0011173409508433707,-0.0006657198961015354,0.06666666666666667
gt_only,200,Hit1,conditional_minus_baseline,300,-0.009583333333333333,0.0,-0.021666666666666667,0.0022408854166666714,0.0,0.0,0.18333333333333332
gt_only,200,Hit8,conditional_minus_baseline,300,0.002376158643108337,0.0,-0.017068604140850374,0.02076698688324591,0.0,0.0,0.19
gt_only,200,Hit16,conditional_minus_baseline,300,0.0020785992873585874,0.0,-0.015931301121593303,0.02049371570243342,0.0,0.0,0.19333333333333333
gt_only,200,Hit64,conditional_minus_baseline,300,0.008333333333333333,0.0,-0.015,0.03166666666666667,0.0,0.0,0.06
