method,seed,step,PDMS,feasible_rate,hard_failure,zero_score_rate,EP,NC,DAC,TTC,DDC,pairwise_ADE,Spread_AUC,spread_ratio_IL,center_shift,mean_center_shift,CRN_policy_change_ADE,D_positive,positive_count,IL_retention_loss,candidate_fitting_loss,Hit1,Hit8,Hit16,Hit64
conditional_pc,1701,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.002164507214234066,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
conditional_pc,1701,20,92.42261824026812,0.9395833333333333,0.02421875,0.02421875,0.8670490877664347,0.989140625,0.9833333333333333,0.9716666666666667,0.979453125,0.1456691397320287,0.1228750725369545,0.9902666271335168,0.06876135724286238,0.0651234171477457,0.066473486845692,0.0721793129046758,27.94,0.0011030553472550744,0.002330584285006992,0.11,0.29487777615422045,0.3372985815670049,0.39666666666666667
conditional_pc,1701,100,92.56396508164867,0.94421875,0.022708333333333334,0.022708333333333334,0.8655143286262349,0.9908854166666666,0.984375,0.97640625,0.9796875,0.14140934459536914,0.11893512222587449,0.959590461071662,0.2241261364519596,0.2239692461490631,0.22437887718280156,0.06595546040683985,21.91,0.0014560058019028096,0.0026556052511302252,0.10442708333333334,0.24050470897061763,0.27349085801856,0.31333333333333335
conditional_pc,1701,200,92.73035454454109,0.9421354166666667,0.022083333333333333,0.022083333333333333,0.871601425735653,0.99109375,0.9840104166666667,0.9739583333333334,0.9797135416666667,0.1405867870902018,0.11832141833890221,0.9553634006652375,0.08961004255339504,0.08546344047412276,0.08735397478876014,0.07434168091664711,29.506666666666668,0.00107016387608058,0.002265859140254866,0.15005208333333334,0.3044443202029651,0.3410124529171666,0.38666666666666666
conditional_pc,2903,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.002164507214234066,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
conditional_pc,2903,20,91.68067488421121,0.93375,0.030677083333333334,0.030677083333333334,0.8582320305544023,0.9900520833333334,0.9755729166666667,0.9733854166666667,0.9796875,0.14220492837329007,0.11978478353009876,0.9649119573675923,0.09725070337454478,0.09272975096789499,0.0938568630317847,0.06615799433241287,23.843333333333334,0.0011403971617782816,0.0023203301622137635,0.07776041666666667,0.23308589598393273,0.2677882814064646,0.31666666666666665
conditional_pc,2903,100,92.40097779936056,0.93765625,0.024479166666666666,0.024427083333333332,0.8696182588513203,0.9903125,0.9804166666666667,0.9707291666666666,0.9799479166666667,0.13856285080981845,0.11673414689000154,0.9410737980908075,0.10177609171718359,0.09752331214956939,0.09954066433012486,0.07304452913502853,30.613333333333333,0.0010969245046070952,0.002293623145599735,0.13078125,0.3164684206944284,0.3591893290600156,0.4166666666666667
conditional_pc,2903,200,92.14734166067277,0.9372395833333333,0.026614583333333334,0.026614583333333334,0.8648382831894799,0.9909375,0.9785416666666666,0.9732291666666667,0.9799739583333333,0.13753108927613109,0.11587067041550346,0.9341664114922927,0.08125679046226045,0.07579321451485158,0.07894337945928176,0.068434287669758,26.53,0.001055284193712751,0.002134681495373714,0.11088541666666667,0.26856646990134175,0.30566054014522465,0.36333333333333334
gt_distance,1701,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.00639253451014041,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
gt_distance,1701,20,91.34463289380272,0.9152083333333333,0.03598958333333333,0.03588541666666667,0.8699795227845988,0.9894270833333333,0.9716145833333333,0.9599479166666667,0.9788802083333333,0.17063443154806374,0.14272316355488215,1.161635489962469,0.18827221807092429,0.18596062688777845,0.1887608010446032,0.09720858077208201,35.37,0.0017460627390723951,0.006213107680257887,0.2956770833333333,0.4521348162825051,0.4811009614404163,0.5233333333333333
gt_distance,1701,100,93.01901057389014,0.94078125,0.021197916666666667,0.021145833333333332,0.8792322954400299,0.9904166666666666,0.9863541666666666,0.9702083333333333,0.979375,0.16798437779057274,0.14086163779404057,1.1451464897209083,0.18004409109552702,0.1778743703663349,0.17967328687508902,0.09514778743187587,33.266666666666666,0.0016901297249849753,0.006022595788868349,0.23260416666666667,0.4199298786178263,0.4578261614698379,0.5
gt_distance,1701,200,92.7806436930076,0.93234375,0.024427083333333332,0.024375,0.8828239902988492,0.9909895833333333,0.9822916666666667,0.9666666666666667,0.9791927083333334,0.17851809104717375,0.14939394349135127,1.2251811443336493,0.18654703695327043,0.18270263901601236,0.18573405437171459,0.10520408647755781,35.526666666666664,0.0016845453889710053,0.00573172789320824,0.30375,0.4737915869557573,0.5024951171345368,0.53
gt_distance,2903,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.00639253451014041,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
gt_distance,2903,20,91.79644244075425,0.9276041666666667,0.0325,0.0325,0.8670000352447687,0.9886979166666666,0.9755208333333333,0.96703125,0.9791145833333333,0.15555295076993847,0.13006589081921094,1.059839393664281,0.16116580295066038,0.1570649929344654,0.15876253455877304,0.08814603428045908,34.00666666666667,0.0014247958290625699,0.006126043447751499,0.22713541666666667,0.4478060134444575,0.48681442154912646,0.5233333333333333
gt_distance,2903,100,92.91425697641941,0.9355729166666666,0.023697916666666666,0.023541666666666666,0.8838432091007323,0.99046875,0.983125,0.966875,0.9799739583333333,0.16522396872239475,0.13834885044159964,1.1332661537500717,0.21691269439955552,0.21371412135660647,0.2152593289067348,0.09651042647659779,35.92,0.0018677195071416955,0.005875340988866829,0.34942708333333333,0.5316978681880403,0.5494366573153762,0.5633333333333334
gt_distance,2903,200,92.7321882069731,0.93640625,0.023802083333333335,0.02375,0.8785464753006876,0.9908854166666666,0.9825,0.9693229166666667,0.98,0.1676414179748717,0.14062337400444164,1.1460898607473522,0.14670512522260348,0.1418449586443603,0.14385303882261116,0.09407713467876117,33.47,0.001495045433866764,0.00575980956781135,0.23994791666666668,0.4176464030252202,0.4534422714368972,0.5066666666666667
gt_only,1701,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.00432068902469755,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
gt_only,1701,20,91.61119707270693,0.92796875,0.03197916666666667,0.031927083333333335,0.8607468547449662,0.988515625,0.9772916666666667,0.9688020833333333,0.9780729166666666,0.15531237705113723,0.13071272518263122,1.0528650809523923,0.1501628941545884,0.14834705971181392,0.14906333990084628,0.07464177373796702,24.3,0.001554233759685862,0.004451188159676558,0.14609375,0.29812428923389167,0.32633314889515685,0.37333333333333335
gt_only,1701,100,92.6211958585963,0.9455729166666667,0.021927083333333333,0.021875,0.8654972422729776,0.9904166666666666,0.985625,0.9750520833333334,0.9796875,0.1654739930833486,0.13892554911303928,1.1208298480689378,0.23730768226087093,0.2368179511030515,0.2380844714740912,0.0789351707448562,21.21,0.0017275122541503644,0.004294040337674592,0.11286458333333334,0.2385852718588861,0.2709896366511911,0.31666666666666665
gt_only,1701,200,92.52056613753629,0.9390104166666666,0.023541666666666666,0.023489583333333335,0.8693529623008712,0.9908854166666666,0.98296875,0.9725520833333333,0.9794270833333333,0.1691863972999385,0.14228546492993283,1.1490648956486187,0.12205874065558116,0.11677352686102192,0.11978635026762884,0.08604036637892326,25.8,0.0014041952969044166,0.004042859148549797,0.15317708333333332,0.3030747716978055,0.3409741693275217,0.38666666666666666
gt_only,2903,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.00432068902469755,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
gt_only,2903,20,91.2023599941863,0.92796875,0.03578125,0.03578125,0.8549399731938045,0.989375,0.9698958333333333,0.9707291666666666,0.9800520833333334,0.14657326227725737,0.12334393173806243,0.9930580734609699,0.1328185188708206,0.1299500560077528,0.13043237248435616,0.0684821822308004,23.88,0.0012964183519008543,0.0042848160845516264,0.09901041666666667,0.2568264670223229,0.2908205062227258,0.3333333333333333
gt_only,2903,100,92.28995290320546,0.9357291666666666,0.025052083333333332,0.025,0.8684328280102646,0.99046875,0.9795833333333334,0.9692708333333333,0.98,0.16302461582254857,0.13675810839992333,1.1019709258213324,0.1570761824088792,0.15065661461402974,0.15303834695369006,0.08371005120376745,27.996666666666666,0.0015441600865763404,0.004117074260741636,0.15098958333333334,0.3119130502491429,0.35599520404094226,0.43666666666666665
gt_only,2903,200,92.32897125767714,0.9377083333333334,0.024583333333333332,0.024583333333333332,0.865780726850918,0.9904947916666667,0.9809895833333333,0.9721354166666667,0.9790625,0.16406050863880445,0.13788012988226414,1.1112653240616424,0.15708464150317014,0.1541292118964096,0.15585235824808477,0.07857377681881189,22.386666666666667,0.0014625763537659965,0.004020661486928413,0.12692708333333333,0.26518370112028467,0.3015416251601523,0.3466666666666667
old_pc,1701,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.0011131246547676616,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
old_pc,1701,20,91.98620372218065,0.93078125,0.029010416666666667,0.029010416666666667,0.8678668059990021,0.988359375,0.9765625,0.96578125,0.9796875,0.14153936673779868,0.11925260572168533,0.9615173630442604,0.09935582377637427,0.09679772031183044,0.0980496238109966,0.07718587758640448,33.413333333333334,0.0010803326849837447,0.0011162583429430411,0.1703125,0.36278116641303043,0.39511361942966033,0.43333333333333335
old_pc,1701,100,92.55637271938303,0.9397916666666667,0.02453125,0.02453125,0.8708008619318596,0.9903645833333333,0.9827604166666667,0.971875,0.9797395833333333,0.139553203244256,0.11736632981249275,0.9470208167281665,0.16545241225510834,0.16465461894869804,0.16565853801866373,0.07336240867773691,29.05,0.0013248689545153525,0.0014817697250434443,0.1721875,0.32233244734926497,0.3529944950021262,0.39
old_pc,1701,200,92.71242403129328,0.9380729166666667,0.023645833333333335,0.023645833333333335,0.876119010084372,0.9902083333333334,0.9825,0.9696875,0.9798177083333334,0.13811537192473436,0.1162581911845286,0.9386594937132492,0.12182664034267267,0.11928454985221228,0.12076649518373112,0.07831537090241909,34.343333333333334,0.0010824758050311327,0.0010575905789926324,0.22151041666666665,0.38215400935361826,0.4184327679853527,0.47333333333333333
old_pc,2903,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.0011131246547676616,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
old_pc,2903,20,91.68734432535916,0.9292708333333334,0.031302083333333335,0.031302083333333335,0.8630691804752867,0.9901041666666667,0.9744270833333334,0.9695833333333334,0.9796614583333333,0.14303471101484036,0.12056964556416526,0.9719255441665993,0.088371038492769,0.08405338669816653,0.08513823345613976,0.07398772465686003,30.55,0.0011169986396014054,0.001176319528270503,0.13682291666666666,0.32256008392544994,0.35943288865600553,0.41
old_pc,2903,100,92.13417021771669,0.9319791666666667,0.02875,0.028697916666666667,0.870652376891867,0.9884895833333334,0.9765104166666667,0.9676041666666667,0.9799739583333333,0.13431281576175627,0.11317888614798517,0.9121916112663151,0.13115122701972723,0.12818335185137888,0.12989965065692863,0.07541323705265919,33.8,0.0011478084168436928,0.0011184662295789665,0.20744791666666668,0.39454330900559037,0.4271636027505578,0.4666666666666667
old_pc,2903,200,92.17378086200905,0.9344791666666666,0.02802083333333333,0.02802083333333333,0.8688478240215506,0.9888541666666667,0.97796875,0.9697395833333333,0.9799739583333333,0.1342576877977455,0.11313867363261428,0.9121641527148364,0.09719642617118855,0.09252589412343999,0.09560180300846696,0.07303305715322495,32.38333333333333,0.001039256423360809,0.0010708608612217988,0.17442708333333334,0.3452493879739139,0.3770109801300277,0.4033333333333333
pareto,1701,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.012041602651992373,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
pareto,1701,20,91.9210269246659,0.9111979166666667,0.034166666666666665,0.03380208333333334,0.8860473545253147,0.9879427083333333,0.97390625,0.95171875,0.9774479166666666,0.20013753714794155,0.16627599477194338,1.3559935088463695,0.5510537827014923,0.5484579897423585,0.5527812315523625,0.11809176921844483,36.486666666666665,0.00425290620570659,0.010099885095817314,0.50765625,0.554185814901377,0.5580257825274363,0.56
pareto,1701,100,93.15940713199495,0.9256770833333333,0.023541666666666666,0.023177083333333334,0.8982684795012122,0.9912760416666667,0.9841145833333333,0.9592708333333333,0.9790104166666667,0.18485361404982917,0.15516037919180534,1.264913082751021,0.3397865977634986,0.3386819960922003,0.3403359085073074,0.11182484480241935,37.04666666666667,0.00234381060819094,0.00900850205596349,0.4971875,0.5612318015400157,0.5645952166140791,0.57
pareto,1701,200,93.23866053214468,0.9253645833333334,0.024375,0.02390625,0.9012122277714721,0.9907552083333333,0.98328125,0.9583333333333334,0.9791666666666666,0.19801906524068888,0.16580966434633543,1.3569705289528435,0.41072294178108376,0.40675552617758515,0.4095606664692362,0.12033391398688158,37.02333333333333,0.0026478897878831377,0.008592340317091829,0.5075520833333333,0.5621242486844201,0.5663023281994587,0.5733333333333334
pareto,2903,0,92.2064791073072,0.9402083333333333,0.027760416666666666,0.027760416666666666,0.8636950819087061,0.988359375,0.9784375,0.97453125,0.979921875,0.1468926758707547,0.12386025713910497,1.0,0.0,0.0,0.0,0.0736763954286774,27.636666666666667,0.000977528155459808,0.012041602651992373,0.1040625,0.2897144178775744,0.33038848870768145,0.37666666666666665
pareto,2903,20,91.45807381497127,0.91046875,0.0371875,0.03697916666666667,0.8763375215593107,0.98796875,0.970625,0.9541145833333333,0.97765625,0.1956429481023383,0.16135571814769242,1.3257575494988838,0.42111771265665693,0.4169063816467921,0.4216847678522269,0.11644311117629211,35.66,0.003116025513717394,0.009978802057024155,0.4775,0.5516181408144201,0.5564306717808917,0.56
pareto,2903,100,92.8694646407585,0.9196875,0.027760416666666666,0.026979166666666665,0.8984556930448707,0.9906510416666666,0.9800520833333334,0.9572916666666667,0.9784375,0.19335855670425006,0.16143551446151566,1.3287719006596403,0.44874103136360644,0.44659573723872503,0.44929820075631144,0.11449735137323538,36.29666666666667,0.003352828596144472,0.008615502399446341,0.49572916666666667,0.551548036288824,0.5562487964538487,0.5633333333333334
pareto,2903,200,92.9418651245183,0.9228125,0.02640625,0.025989583333333333,0.896136012988439,0.9910677083333334,0.9808333333333333,0.9603125,0.9780729166666666,0.19286985009611912,0.16167345732991184,1.322662158064787,0.3716883744796117,0.36836188470323883,0.37094016283750536,0.11524626264969508,36.37,0.0026184957610752234,0.008482151248131528,0.4844791666666667,0.5534987834447611,0.5583018766489374,0.5666666666666667
