run,scope,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
grpo_final_seed1701,Full-1000,frontier_promotion_rate,1000,0.004010349311018125,0.0,0.0020274455084740633,0.006281467970987373,0.0,0.0,0.029
grpo_final_seed1701,Full-1000,newly_eligible_PC_rate,1000,0.004010349311018125,0.0,0.0020634325537288835,0.006233923107064091,0.0,0.0,0.029
grpo_final_seed1701,Full-1000,current_reference_gain,1000,-3.378008262925282,-0.37050299192203084,-4.7078781881008345,-2.1413054455590235,-0.6497280206242522,-0.06913446311691018,0.169
grpo_final_seed1701,holdout-300,frontier_promotion_rate,300,0.003355475785116282,0.0,0.0008347112791708204,0.0067011318842383075,0.0,0.0,0.03
grpo_final_seed1701,holdout-300,newly_eligible_PC_rate,300,0.003355475785116282,0.0,0.0008387792986222939,0.0065556496684438205,0.0,0.0,0.03
grpo_final_seed1701,holdout-300,current_reference_gain,300,-5.2720966534106655,-0.18909940456947538,-8.118110236412704,-2.6008490929765906,-0.7378044270769948,0.0,0.16333333333333333
grpo_final_seed2903,Full-1000,frontier_promotion_rate,1000,0.0007466095705071876,0.0,0.00029246086685156387,0.0013997455586255358,0.0,0.0,0.018
grpo_final_seed2903,Full-1000,newly_eligible_PC_rate,1000,0.0007001352115328285,0.0,0.000264750588986668,0.0013426549306101339,0.0,0.0,0.017
grpo_final_seed2903,Full-1000,current_reference_gain,1000,-7.545162731255754,0.0,-9.270692531304723,-5.874755897531685,0.0,0.0,0.241
grpo_final_seed2903,holdout-300,frontier_promotion_rate,300,0.001209579133862288,0.0,0.00010336519315013954,0.0029726411481787837,0.0,0.0,0.016666666666666666
grpo_final_seed2903,holdout-300,newly_eligible_PC_rate,300,0.0011241090483922024,0.0,2.150537634408602e-05,0.003103908188585608,0.0,0.0,0.013333333333333334
grpo_final_seed2903,holdout-300,current_reference_gain,300,-7.23441245129134,0.0,-10.31648144129339,-4.302860747167223,-0.11647467576894144,0.0,0.20666666666666667
