feasibility,q_threshold,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction,P25,P50,P75,P90
conservative,50.0,best_PDMS,959,95.24509367997472,96.89439902135453,94.91183559430146,95.57717947662938,96.1219310406586,97.58711945765536,1.0,91.49889351637096,96.89439902135453,100.0,100.0
conservative,50.0,top4_PDMS,952,95.10688394011616,96.67705016025775,94.7545488095938,95.43328712784461,95.91651076059063,97.3711668537504,1.0,91.30997383305117,96.67705016025775,100.0,100.0
conservative,50.0,compatibility_tax,959,2.528768952309592,1.165851498460711,2.31402377309774,2.76205402097722,0.9418811548132453,1.4421614990220348,0.6183524504692388,0.0,1.165851498460711,3.5532863502350907,7.493628911347687
conservative,50.0,coverage,1000,0.959,1.0,0.946,0.971,1.0,1.0,0.959,1.0,1.0,1.0,1.0
conservative,60.0,best_PDMS,960,95.29335316312397,96.91140697212049,94.96967402507188,95.59943465405452,96.23766259240342,97.62945793573445,1.0,91.5247287604848,96.91140697212049,100.0,100.0
conservative,60.0,top4_PDMS,953,95.15546847407501,96.72905823357925,94.81448546242706,95.4784768072969,96.02660841374731,97.46332703421632,1.0,91.34167286697496,96.72905823357925,100.0,100.0
conservative,60.0,compatibility_tax,960,2.482828362251715,1.1267235442377626,2.264247629819227,2.707201872531031,0.8552871675721505,1.3561249805012903,0.6135416666666667,0.0,1.1267235442377626,3.5221207560284107,7.441740270320268
conservative,60.0,coverage,1000,0.96,1.0,0.948,0.972,1.0,1.0,0.96,1.0,1.0,1.0,1.0
conservative,70.0,best_PDMS,960,95.34252998744584,97.06641959334536,95.02420350041496,95.67468702623182,96.33599739833456,97.73793369419826,1.0,91.61227698273171,97.06641959334536,100.0,100.0
conservative,70.0,top4_PDMS,954,95.18915000100563,96.72774072976779,94.84570343185061,95.52713517500092,95.97613648261834,97.5393272092583,1.0,91.39373966789644,96.72774072976779,100.0,100.0
conservative,70.0,compatibility_tax,960,2.4336515379298307,1.0657199468517575,2.211420348921833,2.660530683278482,0.7478734010511652,1.2902280556278853,0.6104166666666667,0.0,1.0657199468517575,3.4756466097207017,7.3093571616071475
conservative,70.0,coverage,1000,0.96,1.0,0.947975,0.972,1.0,1.0,0.96,1.0,1.0,1.0,1.0
conservative,80.0,best_PDMS,960,95.3812722222789,97.11332408259383,95.06373247734543,95.71350729863809,96.35785422810648,97.82650709178859,1.0,91.65009406276693,97.11332408259383,100.0,100.0
conservative,80.0,top4_PDMS,957,95.24574860316739,96.86583974315953,94.89299132371113,95.58195988694023,96.04119384327353,97.62992578337705,1.0,91.4647393009362,96.86583974315953,100.0,100.0
conservative,80.0,compatibility_tax,960,2.3949093030967776,1.001760161247887,2.1779399311055077,2.616407375930048,0.7090818649736406,1.2349235774312604,0.6010416666666667,0.0,1.001760161247887,3.465589471381467,7.3093571616071475
