method,step,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
conditional_pc,0,PDMS_gain,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditional_pc,0,feasible_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditional_pc,0,EP_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditional_pc,0,center_shift_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conditional_pc,10,PDMS_gain,300,-8.081306864825262,-0.0747449717621364,-10.06900073311862,-6.146815823509664,-0.3219993934805071,0.0,0.2866666666666667
conditional_pc,10,feasible_change,300,-0.130390625,0.0,-0.155783203125,-0.1069524739583333,0.0,0.0,0.04
conditional_pc,10,EP_change,300,-0.0574546674965459,0.0,-0.0770973356057712,-0.0391606998541439,0.0,0.0,0.32
conditional_pc,10,center_shift_change,300,0.5577561445363487,0.4952257946133613,0.5258217512466169,0.5921087263883867,0.4647266883403063,0.5126538127660751,1.0
conditional_pc,50,PDMS_gain,300,-3.3983703126295888,-0.0189135653014389,-4.898177361151278,-1.94064044530909,-0.3462343498721907,0.0,0.24
conditional_pc,50,feasible_change,300,-0.05625,0.0,-0.0779218749999999,-0.03625,0.0,0.0,0.0566666666666666
conditional_pc,50,EP_change,300,-0.022147950713278,0.0,-0.0372357327060452,-0.0082621083022749,-0.0004314044501402,0.0,0.25
conditional_pc,50,center_shift_change,300,0.6085729271996145,0.5622771847993135,0.5805962919725183,0.6375700620166026,0.5423311577178538,0.593076940625906,1.0
conditional_pc,100,PDMS_gain,300,-4.843254671392182,-0.6510416666666679,-6.468367121938376,-3.3087644201290303,-1.0495164147362637,-0.1921166080660477,0.1766666666666666
conditional_pc,100,feasible_change,300,-0.0625,0.0,-0.0822923177083333,-0.0435677083333333,0.0,0.0,0.0466666666666666
conditional_pc,100,EP_change,300,-0.0453173453900515,-0.0103232640323542,-0.0605433117899643,-0.0301994447273403,-0.0184407757456043,0.0,0.1733333333333333
conditional_pc,100,center_shift_change,300,0.8114962543873117,0.7755453325808048,0.7750593345764791,0.8496882831777524,0.7379750011023134,0.8139312969055027,1.0
gt_distance,0,PDMS_gain,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_distance,0,feasible_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_distance,0,EP_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_distance,0,center_shift_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_distance,10,PDMS_gain,300,-7.087583863964983,-0.3229186593651398,-8.966430382818121,-5.347685149600349,-0.6495103349047824,-0.0252129697276527,0.2266666666666666
gt_distance,10,feasible_change,300,-0.0940364583333333,0.0,-0.1164589843749999,-0.0719778645833333,0.0,0.0,0.0366666666666666
gt_distance,10,EP_change,300,-0.0631045015723382,-0.0006463156799333,-0.0812445047924664,-0.0458480823871449,-0.006189450134253,0.0,0.23
gt_distance,10,center_shift_change,300,0.4192452166539927,0.3354542125016451,0.3889043166269548,0.4519414530618427,0.3084390666335821,0.3647063393145799,1.0
gt_distance,50,PDMS_gain,300,-3.969956547302395,-0.163103993352724,-5.501117886123377,-2.608812796175062,-0.538630257280765,-0.0001198359175091,0.2066666666666666
gt_distance,50,feasible_change,300,-0.0554427083333333,0.0,-0.0749739583333333,-0.0360657552083333,0.0,0.0,0.0533333333333333
gt_distance,50,EP_change,300,-0.0321164647877757,-8.636097517120134e-05,-0.0470401236506869,-0.0188630925016242,-0.0041784145140381,0.0,0.21
gt_distance,50,center_shift_change,300,0.4469032151686649,0.3758917022496462,0.4200915828642125,0.4787258814005181,0.3593070358037948,0.4017816185951233,0.9966666666666668
gt_distance,100,PDMS_gain,300,-5.573140393734182,-0.8309253384488642,-7.4692909741676,-3.769274652850624,-1.3870944173990196,-0.0910695611990846,0.1833333333333333
gt_distance,100,feasible_change,300,-0.067734375,0.0,-0.0919303385416666,-0.0435885416666666,0.0,0.0,0.0633333333333333
gt_distance,100,EP_change,300,-0.0573368552757374,-0.0116826635713364,-0.0754850078673029,-0.0400800255265123,-0.0284933089782316,-6.68629806514498e-05,0.1666666666666666
gt_distance,100,center_shift_change,300,0.6780414054232339,0.6347535401582718,0.6438624507384375,0.7130079498235137,0.6022984534502029,0.6842237710952759,1.0
gt_only,0,PDMS_gain,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_only,0,feasible_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_only,0,EP_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_only,0,center_shift_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_only,10,PDMS_gain,300,-9.203627628262897,-0.1153132144918558,-11.135249747005254,-7.34478852741425,-0.78125,0.0,0.2966666666666667
gt_only,10,feasible_change,300,-0.1337760416666666,0.0,-0.1593782552083333,-0.109322265625,-0.0078125,0.0,0.03
gt_only,10,EP_change,300,-0.0694713785665531,0.0,-0.0897673265160464,-0.0511157400281645,0.0,0.0,0.3433333333333333
gt_only,10,center_shift_change,300,0.5019909531887,0.4287651441991329,0.4699618072365411,0.536628252935363,0.4021280343644321,0.4581550969742239,1.0
gt_only,50,PDMS_gain,300,-4.773216876389574,0.0,-6.536805263129439,-3.181467871633192,-0.0395311983039405,0.0,0.3033333333333333
gt_only,50,feasible_change,300,-0.0725260416666666,0.0,-0.096591796875,-0.051041015625,0.0,0.0,0.0533333333333333
gt_only,50,EP_change,300,-0.0267839540032306,0.0,-0.0424033398455915,-0.0118143824009954,0.0,0.0,0.3333333333333333
gt_only,50,center_shift_change,300,0.4561183264867092,0.4109494592994451,0.4291529883500188,0.4825202295290849,0.3861466152593493,0.4328520745038986,1.0
gt_only,100,PDMS_gain,300,-4.424561507800098,-0.2721618480987189,-5.91382372752159,-3.0438181845188303,-0.5770970580974498,0.0,0.22
gt_only,100,feasible_change,300,-0.0652604166666666,0.0,-0.0860423177083333,-0.04567578125,0.0,0.0,0.0433333333333333
gt_only,100,EP_change,300,-0.0345707029626952,-0.0002244498453584,-0.0478921933165743,-0.0212945453609015,-0.0068227589408108,0.0,0.2133333333333333
gt_only,100,center_shift_change,300,0.5801142721390352,0.542062308639288,0.5486324241255642,0.6125686341269951,0.515299491584301,0.5789693593978882,1.0
old_pc,0,PDMS_gain,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_pc,0,feasible_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_pc,0,EP_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_pc,0,center_shift_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old_pc,10,PDMS_gain,300,-13.308516435985,-1.0117199554967335,-15.710496136936849,-11.077414534864198,-1.951116073674914,-0.5945392202598183,0.1633333333333333
old_pc,10,feasible_change,300,-0.1798958333333333,0.0,-0.2101569010416666,-0.149296875,-0.0078125,0.0,0.05
old_pc,10,EP_change,300,-0.1133312618730882,-0.0124167054136207,-0.1347370609823723,-0.0917100905244425,-0.0214866423496513,-0.0078125,0.1633333333333333
old_pc,10,center_shift_change,300,0.5906289843702689,0.561302718706429,0.5621328146186425,0.6199249842927093,0.5221724025905132,0.6014239955693483,1.0
old_pc,50,PDMS_gain,300,-4.616593634843051,-0.2402375139620147,-6.4555609343850655,-2.8274425702509958,-0.610227446443963,-0.0277330493445369,0.2
old_pc,50,feasible_change,300,-0.0623697916666666,0.0,-0.0868763020833333,-0.0393196614583333,0.0,0.0,0.0533333333333333
old_pc,50,EP_change,300,-0.0340017691564012,-0.0002253578428877,-0.051091353841778,-0.0178488030984975,-0.0051186333210541,0.0,0.2133333333333333
old_pc,50,center_shift_change,300,0.5696996897940213,0.5252972189337015,0.5419514743694648,0.5976123910831133,0.4954330744221806,0.5626029977574944,1.0
old_pc,100,PDMS_gain,300,-3.8937401490560393,-0.7698801303891614,-5.449148192259012,-2.4075885911132984,-1.2377623713036598,-0.2325049754978799,0.16
old_pc,100,feasible_change,300,-0.0454427083333333,0.0,-0.0662239583333333,-0.0246614583333333,0.0,0.0,0.0566666666666666
old_pc,100,EP_change,300,-0.0416044022424124,-0.0099438493653446,-0.0569486755209825,-0.0275251042791004,-0.0214421052110642,-0.0007568678360567,0.1533333333333333
old_pc,100,center_shift_change,300,0.6333097992573554,0.5779494224116206,0.6013411566944948,0.6674509796124185,0.5395967550575733,0.6208125334233046,1.0
pareto,0,PDMS_gain,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pareto,0,feasible_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pareto,0,EP_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pareto,0,center_shift_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pareto,10,PDMS_gain,300,-9.025607627172317,-2.4847247966097186,-10.994565891079729,-7.027669303699307,-3.2419447443520437,-1.46165297447374,0.0466666666666666
pareto,10,feasible_change,300,-0.1093489583333333,0.0,-0.13549609375,-0.0846067708333333,0.0,0.0,0.0533333333333333
pareto,10,EP_change,300,-0.0923534743151549,-0.0295940348940382,-0.1106951394691148,-0.0747938282818243,-0.0441012953626696,-0.0214823300928828,0.0466666666666666
pareto,10,center_shift_change,300,0.2427512410655617,0.1944034025073051,0.2058829590221867,0.2806737987728169,0.165834117680788,0.2373208289965987,0.7833333333333333
pareto,50,PDMS_gain,300,-4.308834109627385,-0.958205340629302,-5.718757286271666,-3.0074863255867403,-1.3883096464103524,-0.4633286204393272,0.13
pareto,50,feasible_change,300,-0.0446875,0.0,-0.064271484375,-0.0259361979166666,0.0,0.0,0.08
pareto,50,EP_change,300,-0.0481678970542335,-0.0185263755324476,-0.0618193271171717,-0.0359504887471946,-0.0257546302483389,-0.0075188174478373,0.0966666666666666
pareto,50,center_shift_change,300,0.2524945142492651,0.268787357956171,0.211754791053012,0.292037931105122,0.2332831621170044,0.2973417192697525,0.7733333333333333
pareto,100,PDMS_gain,300,-6.087820459747736,-1.4858000874308956,-8.051412917994941,-4.16780143617094,-2.139814586028482,-1.0562783725955107,0.1333333333333333
pareto,100,feasible_change,300,-0.057734375,0.0,-0.0822135416666666,-0.0327845052083333,0.0,0.0,0.1
pareto,100,EP_change,300,-0.075310078774466,-0.0339442537688903,-0.0932186352946419,-0.057531527454159,-0.0453116361106943,-0.0248544545673474,0.09
pareto,100,center_shift_change,300,0.321944296695292,0.3372473046183586,0.2908230096440141,0.3544261668709417,0.3144318871200084,0.362470805644989,0.8666666666666667
score,0,PDMS_gain,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score,0,feasible_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score,0,EP_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score,0,center_shift_change,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score,10,PDMS_gain,300,-7.379019023148567,-1.9094063695726116,-9.270272769797282,-5.515494382492913,-2.461281230391883,-1.536989201920079,0.0766666666666666
score,10,feasible_change,300,-0.0797395833333333,0.0,-0.1045598958333333,-0.05661328125,0.0,0.0,0.0766666666666666
score,10,EP_change,300,-0.0835250670197898,-0.0367502053737336,-0.1007444055755307,-0.0672889284455021,-0.0458257528697428,-0.0298911293069523,0.0433333333333333
score,10,center_shift_change,300,0.2680276789081593,0.2248193249106407,0.2279755706945434,0.3101103065274656,0.1654597874730825,0.2696418464183807,0.7833333333333333
score,50,PDMS_gain,300,-4.697036676701407,-1.0177931698219496,-6.502187868779756,-3.071135093904429,-1.4532366778429768,-0.7842713137159585,0.14
score,50,feasible_change,300,-0.0462760416666666,0.0,-0.0686979166666666,-0.0237486979166666,0.0,0.0,0.0866666666666666
score,50,EP_change,300,-0.0517000898392272,-0.0192292790606974,-0.067657182632585,-0.0368194660015985,-0.0253927133809144,-0.0078125,0.1
score,50,center_shift_change,300,0.2203494596667587,0.2336042188107967,0.182641688649853,0.2580111549998013,0.2117435783147812,0.259330989792943,0.7866666666666666
score,100,PDMS_gain,300,-5.2965944328515855,-1.617126675381833,-7.179369692311449,-3.418218504082972,-2.101029556801297,-0.9203291674980604,0.1333333333333333
score,100,feasible_change,300,-0.0482291666666666,0.0,-0.0714589843749999,-0.0254134114583333,0.0,0.0,0.1
score,100,EP_change,300,-0.0713474291045877,-0.0399989691458358,-0.088841782612428,-0.0539390603405756,-0.0481164398291642,-0.0264438729967739,0.0833333333333333
score,100,center_shift_change,300,0.3594059164263308,0.3421737179160118,0.3248715858715586,0.3958611452621408,0.3070925287902355,0.3763750647194683,0.8933333333333333
