method,metric,contrast,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
score,loss,conditional_minus_baseline,251,-0.01592614635755859,-0.0006695824195048772,-0.023901806400684473,-0.009113780024178241,-0.0009808243735278666,-0.0004475025780266151,0.07569721115537849
score,gradient_norm,conditional_minus_baseline,251,-1.010428707660788,-0.36557862162590027,-1.2739416841309947,-0.7835816848757806,-0.4645782709121704,-0.2845669388771057,0.0796812749003984
score,cosine,conditional_minus_baseline,251,0.21542141906193643,0.07823125974041656,0.15464617820032842,0.2768126396473732,0.04628586615657326,0.11926391013954696,0.7330677290836654
score,dot,conditional_minus_baseline,251,-0.3108548525122177,-0.0025021610781550407,-0.8253407347431244,0.037297877250374055,-0.00825347751379013,-0.0002483050338923931,0.42231075697211157
score,predicted_delta_L_ref,conditional_minus_baseline,251,3.108548525122177e-06,2.5021610781550417e-08,-3.3528601171423217e-07,8.297638597008329e-06,1.268233172595503e-09,8.253477513790133e-08,0.5697211155378487
pareto,loss,conditional_minus_baseline,251,-0.016934189777627777,-0.0008773703302722424,-0.025460779177081925,-0.010292911711578197,-0.0012270509778318228,-0.0005363676108345317,0.00398406374501992
pareto,gradient_norm,conditional_minus_baseline,251,-0.9731380194351374,-0.32825562357902527,-1.2523772840855634,-0.7537217304244103,-0.4144192337989807,-0.23697009682655334,0.07171314741035857
pareto,cosine,conditional_minus_baseline,251,0.2747739023581406,0.12175977187880282,0.20486815302259795,0.340959291338973,0.08441583722127466,0.187780593342314,0.7529880478087649
pareto,dot,conditional_minus_baseline,251,-0.2708325086481984,-0.0013424085918813944,-0.76737653338226,0.07454386360755084,-0.004503827542066574,0.0001389780081808567,0.4581673306772908
pareto,predicted_delta_L_ref,conditional_minus_baseline,251,2.708325086481984e-06,1.3424085918813946e-08,-7.708227168768353e-07,7.628495580086605e-06,-1.3897800818085701e-09,4.1899848729372027e-08,0.5338645418326693
gt_distance,loss,conditional_minus_baseline,251,-0.006125709786208047,-0.0002040234176092781,-0.012307419261501397,-0.0024548439477974416,-0.0003144085436588284,-0.00015367204161975678,0.07569721115537849
gt_distance,gradient_norm,conditional_minus_baseline,251,-0.38520584923337653,-0.11740589141845703,-0.5271025351556649,-0.27606798463809,-0.16797971725463867,-0.08733505010604858,0.15139442231075698
gt_distance,cosine,conditional_minus_baseline,251,0.05098256876265018,0.017246745953903964,-0.01948781519209036,0.12190127924653874,0.004964731395291744,0.042428717403790395,0.5856573705179283
gt_distance,dot,conditional_minus_baseline,251,-0.28612657255219226,-0.005419377237558365,-0.7334232868598494,-0.008254645593272995,-0.007841341197490692,-0.0024658943293616176,0.32270916334661354
gt_distance,predicted_delta_L_ref,conditional_minus_baseline,251,2.8612657255219228e-06,5.4193772375583656e-08,1.326371893371988e-07,7.42846746608993e-06,2.465894329361618e-08,7.841341197490694e-08,0.6334661354581673
old_pc,loss,conditional_minus_baseline,251,-5.865947505335353e-07,0.0,-1.936829443433185e-06,1.5061695397078085e-07,0.0,0.0,0.00796812749003984
old_pc,gradient_norm,conditional_minus_baseline,251,-0.0009676994407081984,0.0,-0.003021145772292794,0.00015118872501935617,0.0,0.0,0.01195219123505976
old_pc,cosine,conditional_minus_baseline,251,0.0018193608182694553,0.0,-0.004379435682926209,0.008766615908902663,0.0,0.0,0.0199203187250996
old_pc,dot,conditional_minus_baseline,251,0.0003604505561752267,0.0,-0.0001965252242646592,0.0012867254459213806,0.0,0.0,0.01195219123505976
old_pc,predicted_delta_L_ref,conditional_minus_baseline,251,-3.6045055617522672e-09,0.0,-1.2822843797503048e-08,1.8943455701033435e-09,0.0,0.0,0.01195219123505976
