method,seed,gain_AUC,gain_per_100_steps,gain_per_1000_steps_linear_scale_only
conditional_pc,1701,-4.232459794315847,-4.42115401282603,-44.2115401282603
conditional_pc,2903,-5.288354255159504,-5.265355329958334,-52.653553299583336
gt_distance,1701,-5.017653245846118,-6.174607942387956,-61.74607942387955
gt_distance,2903,-4.88566977557562,-4.971672845080407,-49.71672845080408
gt_only,1701,-4.595957601693687,-3.333412923821109,-33.33412923821109
gt_only,2903,-6.514032155088425,-5.515710091779086,-55.15710091779086
old_pc,1701,-6.63874788277396,-3.3841210153256838,-33.84121015325684
old_pc,2903,-6.117314681105305,-4.403359282786394,-44.03359282786395
pareto,1701,-4.83934667390004,-5.011491313173454,-50.114913131734546
pareto,2903,-6.595318068224631,-7.164149606322017,-71.64149606322016
score,1701,-4.921719643949479,-4.882560444191685,-48.82560444191686
score,2903,-5.643420093081863,-5.710628421511484,-57.10628421511484
