gate,metric,n,n_unique,std,fraction_one,values
raw,NC,192000,3,0.062335135378099586,0.995546875,"0.0,0.5,1.0"
raw,DAC,192000,2,0.09967838073679072,0.9899635416666667,"0.0,1.0"
raw,EP,192000,113766,0.1635039192822106,0.392421875,continuous
raw,TTC,192000,2,0.11020764548895598,0.987703125,"0.0,1.0"
raw,DDC,192000,3,0.11143519220659207,0.9742760416666667,"0.0,0.5,1.0"
compatible,NC,35751,1,0.0,1.0,1.0
compatible,DAC,35751,1,0.0,1.0,1.0
compatible,EP,35751,22198,0.13342775022733624,0.3776677575452435,continuous
compatible,TTC,35751,2,0.11568228297702403,0.9864339459036111,"0.0,1.0"
compatible,DDC,35751,3,0.1146005758398912,0.9748818214875108,"0.0,0.5,1.0"
strict,NC,28337,1,0.0,1.0,1.0
strict,DAC,28337,1,0.0,1.0,1.0
strict,EP,28337,15737,0.1303539212393795,0.4437661008575361,continuous
strict,TTC,28337,1,0.0,1.0,1.0
strict,DDC,28337,1,0.0,1.0,1.0
