comparison_id,label_a,label_b,metric,mean_a,mean_b,absolute_difference_b_minus_a,relative_difference_percent,improvement_signed,paired_effect_size_dz,ci_low_b_minus_a,ci_high_b_minus_a,confidence,ci_method,n_pairs,n_scenes,n_runs,run_evidence,unmatched_a,unmatched_b,status
apr_final_vs_paired_anchor_pdms,paired APR anchor,paper-final AMPT,aggregate_score,0.9144969338834185,0.9145046521395536,7.718256134996643e-06,0.0008439892851494873,7.718256134996643e-06,0.0006561858788417189,-0.00022593431704926576,0.00020982823845187712,0.95,scene_paired_bootstrap_single_seed,12138,12138,1,insufficient,0,0,complete
paper_hard658_pdms,scalar GRPO,AMPT recovery checkpoint,aggregate_score,0.5100829559680895,0.6144505411317958,0.10436758516370626,20.460904239708693,0.10436758516370626,0.29176055399765227,0.07711646511390502,0.1320635173375077,0.95,scene_paired_bootstrap_seed_unknown,658,658,0,insufficient,0,0,complete
