benchmark,split,method,stage,variant,round,recovered_initial_failures,persistent_failures,retained_successes,new_failures,net_recovery,initial_failure_count,initial_success_count,recovery_rate,recovery_ci_low,recovery_ci_high,new_failure_rate,new_failure_ci_low,new_failure_ci_high,confidence,ci_method,n_source_records,n_scenes,n_runs
NAVSIM v1,navtest,AMPT,FF-PGRPO,paper_recovery_checkpoint,,440,218,0,0,440,658,0,0.668693009118541,0.6318413824528053,0.7035863805579494,,,,0.95,Wilson score interval,658,658,0
NAVSIM v1,navtest,scalar GRPO,FF-PGRPO,scalar_grpo,,367,291,0,0,367,658,0,0.5577507598784195,0.5195763774567722,0.5952547486189818,,,,0.95,Wilson score interval,658,658,0
