method,seed,step,PDMS,feasible_rate,hard_failure,zero_score_rate,EP,NC,DAC,TTC,DDC,Comfort,pairwise_ADE,Spread_AUC,center_shift,CRN_policy_change_ADE,D_positive,IL_retention_loss,candidate_fitting_loss,Hit1,Hit8,Hit16,Hit64
conditional_pc,1701,0,92.73035454454109,0.9421354166666667,0.022083333333333333,0.022083333333333333,0.871601425735653,0.99109375,0.9840104166666667,0.9739583333333334,0.9797135416666667,1.0,0.1405867870902018,0.11832141833890221,0.08961004255339504,0.0,0.07434168091664711,0.00107016387608058,0.002265859140254866,0.15005208333333334,0.3044443202029651,0.3410124529171666,0.38666666666666666
conditional_pc,1701,10,87.39084052729876,0.8671354166666667,0.07765625,0.07447916666666667,0.8253740682603617,0.9654166666666667,0.9548958333333334,0.9380729166666667,0.960546875,0.9974479166666667,0.27667060001745614,0.2306580214406937,0.42779673367738724,0.42981544494628904,0.12140890727440516,0.010394755093205579,0.01194323923244762,0.2078125,0.31432491489700404,0.347466776472123,0.4
conditional_pc,1701,50,91.50125650734202,0.90484375,0.044635416666666664,0.04145833333333333,0.8823802123067636,0.9794791666666667,0.9741666666666666,0.9507291666666666,0.97359375,1.0,0.19298512981507093,0.16093523707094579,0.47484955151875813,0.4559341338773569,0.10274739208320777,0.006179132682018462,0.007076876738186305,0.3111979166666667,0.4186488113330398,0.4419187111250221,0.47
conditional_pc,1701,100,92.86592291806168,0.92953125,0.026614583333333334,0.02411458333333333,0.8849696500334805,0.9874739583333333,0.985625,0.96390625,0.9769010416666667,1.0,0.18600281432974028,0.1566207690952098,0.39581433065235616,0.38362023428082465,0.08722619167218605,0.004321419296350844,0.00520216684419817,0.21567708333333332,0.29051025240410766,0.3140235601018771,0.3566666666666667
conditional_pc,1701,110,92.86830465926991,0.9261458333333333,0.028229166666666666,0.025208333333333333,0.8887368722839994,0.9870572916666667,0.9846875,0.96171875,0.976484375,1.0,0.1851156201396089,0.15578262814167754,0.383314558416605,0.3587349294374386,0.09622001061836878,0.004272829216311417,0.005116134367029493,0.24140625,0.3506747458620183,0.3813737922958942,0.4266666666666667
conditional_pc,2903,0,92.14734166067277,0.9372395833333333,0.026614583333333334,0.026614583333333334,0.8648382831894799,0.9909375,0.9785416666666666,0.9732291666666667,0.9799739583333333,1.0,0.13753108927613109,0.11587067041550346,0.08125679046226045,0.0,0.068434287669758,0.001055284193712751,0.002134681495373714,0.11088541666666667,0.26856646990134175,0.30566054014522465,0.36333333333333334
conditional_pc,2903,10,89.40920036648454,0.8922916666666667,0.058229166666666665,0.05703125,0.8528051837956291,0.987578125,0.9509375,0.9615104166666667,0.9791927083333334,1.0,0.21596906251162637,0.1775592643888937,0.47392101836701234,0.4735451844334602,0.11476373905936876,0.008181099207668012,0.009093336621299386,0.22026041666666665,0.3526542804519393,0.3918163725110841,0.46
conditional_pc,2903,50,93.18648345029115,0.9386458333333333,0.021145833333333332,0.021145833333333332,0.8811318528069876,0.9887239583333334,0.98828125,0.9704166666666667,0.9755989583333333,1.0,0.23729089274713075,0.19640757755427884,0.35386655199031036,0.3484820821384589,0.11705606872836749,0.005625598984084566,0.00659646277767024,0.20989583333333334,0.29678688178195517,0.3217364899319034,0.35333333333333333
conditional_pc,2903,100,93.72066642938634,0.9384895833333333,0.020364583333333332,0.020364583333333332,0.8927022443052722,0.99015625,0.9878125,0.9716145833333333,0.9764583333333333,1.0,0.1840161329505032,0.15398571825873433,0.35885786029199757,0.35273741476237774,0.1008202163875103,0.004196379161342445,0.005011399515060475,0.26958333333333334,0.3880339515329499,0.42610334752700246,0.49666666666666665
conditional_pc,2903,110,93.65116509876584,0.9396875,0.019739583333333335,0.0196875,0.8905394207037134,0.9907552083333333,0.9878645833333334,0.97234375,0.9770052083333334,1.0,0.1792859885033292,0.14977599078425902,0.35419570652147137,0.3423350313057502,0.0966461642831564,0.00402096831511661,0.00485399879636437,0.24786458333333333,0.34530803520654485,0.3740327787157314,0.44
