endpoint,method,reference,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
100,gt_only,official_il,PDMS_gain,300,0.03592456439068861,0.0,-0.5792442228399935,0.6940945876754159,0.0,0.0,0.36
100,score,official_il,PDMS_gain,300,-0.2278524465696448,-0.08526646778006963,-0.8253210351398707,0.42137445168535825,-0.22490578362014801,0.0,0.16666666666666666
100,pareto,official_il,PDMS_gain,300,-0.2637306624774089,-0.10503776904927875,-0.8311294113219374,0.3111203680150036,-0.2609915691862362,0.0,0.15333333333333332
100,gt_distance,official_il,PDMS_gain,300,-0.25095674906964716,0.0,-0.7393631864047869,0.29265307745332986,-0.06713063219988413,0.0,0.19333333333333333
100,old_pc,official_il,PDMS_gain,300,0.06764743468631122,0.0,-0.33997381702544494,0.48612525084627617,0.0,0.0,0.2733333333333333
100,conditional_pc,official_il,PDMS_gain,300,-0.08341654894340528,0.0,-0.3939225912372494,0.22459327873731022,0.0,0.0,0.37666666666666665
100,official_il,gt_only,PDMS_gain,300,-0.03592456439068861,0.0,-0.6713993541566657,0.5672788393834519,0.0,0.0,0.33
100,score,gt_only,PDMS_gain,300,-0.2637770109603334,-0.19153513137201017,-0.8815960462430423,0.3835624550432407,-0.2958898591997041,-0.027132301652720514,0.13666666666666666
100,pareto,gt_only,PDMS_gain,300,-0.2996552268680975,-0.19870438810277236,-0.8128859280001421,0.30882675235791845,-0.3313615406154824,-0.04175077533882209,0.12333333333333334
100,gt_distance,gt_only,PDMS_gain,300,-0.2868813134603358,-0.034334854957410954,-0.5872807459479051,0.005706449650852492,-0.09250188651544881,0.0,0.16
100,old_pc,gt_only,PDMS_gain,300,0.031722870295622624,0.0,-0.36506921325516717,0.4497920327192495,0.0,0.0,0.2866666666666667
100,conditional_pc,gt_only,PDMS_gain,300,-0.11934111333409386,0.0,-0.7410630882011072,0.39857328234521494,0.0,0.0,0.34
100,official_il,conditional_pc,PDMS_gain,300,0.08341654894340528,0.0,-0.23897332401680124,0.40139648099782527,0.0,0.0,0.30333333333333334
100,gt_only,conditional_pc,PDMS_gain,300,0.11934111333409386,0.0,-0.4003743463127174,0.7365812216874495,0.0,0.0,0.35
100,score,conditional_pc,PDMS_gain,300,-0.14443589762623948,-0.11928398704059973,-0.7322753866643019,0.5111349113457989,-0.203714478608795,-0.0030465659519407495,0.14
100,pareto,conditional_pc,PDMS_gain,300,-0.18031411353400362,-0.16257195043304762,-0.704033638371641,0.43530582547745345,-0.25639537209723784,-0.037790422033823205,0.12
100,gt_distance,conditional_pc,PDMS_gain,300,-0.1675402001262419,-0.03915025519171067,-0.5791124690542944,0.35907169229743735,-0.09817071721779769,0.0,0.13
100,old_pc,conditional_pc,PDMS_gain,300,0.15106398362971651,0.0,-0.17864465052957437,0.554600694502993,-0.011259433868140434,0.0,0.20666666666666667
100,gt_only,official_il,feasible_change,300,0.004166666666666667,0.0,-0.004375,0.013074869791666674,0.0,0.0,0.08666666666666667
100,score,official_il,feasible_change,300,0.010286458333333333,0.0,-0.0004960937499999996,0.022033203125000005,0.0,0.0,0.11
100,pareto,official_il,feasible_change,300,0.011822916666666667,0.0,0.002264322916666667,0.022605468750000007,0.0,0.0,0.11333333333333333
100,gt_distance,official_il,feasible_change,300,0.003880208333333333,0.0,-0.003359375,0.012501302083333339,0.0,0.0,0.07666666666666666
100,old_pc,official_il,feasible_change,300,0.006484375,0.0,0.0008066406250000002,0.012474609375000003,0.0,0.0,0.07666666666666666
100,conditional_pc,official_il,feasible_change,300,0.001328125,0.0,-0.0033854166666666668,0.006224609375000002,0.0,0.0,0.06333333333333334
100,official_il,gt_only,feasible_change,300,-0.004166666666666667,0.0,-0.013464192708333333,0.004638020833333343,0.0,0.0,0.06666666666666667
100,score,gt_only,feasible_change,300,0.006119791666666667,0.0,-0.004271484375,0.017005208333333334,0.0,0.0,0.09666666666666666
100,pareto,gt_only,feasible_change,300,0.00765625,0.0,-0.00171875,0.017787109375000002,0.0,0.0,0.10333333333333333
100,gt_distance,gt_only,feasible_change,300,-0.00028645833333333333,0.0,-0.005494791666666667,0.005208984375000002,0.0,0.0,0.07
100,old_pc,gt_only,feasible_change,300,0.0023177083333333335,0.0,-0.004349609375,0.009505208333333333,0.0,0.0,0.07666666666666666
100,conditional_pc,gt_only,feasible_change,300,-0.0028385416666666667,0.0,-0.010833333333333334,0.004037109375000003,0.0,0.0,0.06333333333333334
100,official_il,conditional_pc,feasible_change,300,-0.001328125,0.0,-0.006197916666666667,0.003360026041666669,0.0,0.0,0.06333333333333334
100,gt_only,conditional_pc,feasible_change,300,0.0028385416666666667,0.0,-0.003828125,0.010833333333333334,0.0,0.0,0.08666666666666667
100,score,conditional_pc,feasible_change,300,0.008958333333333334,0.0,-0.0009127604166666662,0.01981966145833334,0.0,0.0,0.10666666666666667
100,pareto,conditional_pc,feasible_change,300,0.010494791666666666,0.0,0.0014322916666666666,0.019921875,0.0,0.0,0.10333333333333333
100,gt_distance,conditional_pc,feasible_change,300,0.0025520833333333333,0.0,-0.0031256510416666668,0.009166666666666667,0.0,0.0,0.07666666666666666
100,old_pc,conditional_pc,feasible_change,300,0.00515625,0.0,0.000546875,0.010182942708333335,0.0,0.0,0.07666666666666666
100,gt_only,official_il,EP_change,300,-0.0013742997336761728,0.0,-0.006990568450913651,0.0051513820792195054,0.0,0.0,0.3433333333333333
100,score,official_il,EP_change,300,-0.015930705597112124,-0.0030713390336360447,-0.02295606641984391,-0.008787236513531194,-0.006172783092104728,0.0,0.11
100,pareto,official_il,EP_change,300,-0.01735996271583165,-0.0038520875448084246,-0.023596726504377805,-0.011527125834720433,-0.006945427450723102,-0.0011718937049390865,0.08666666666666667
100,gt_distance,official_il,EP_change,300,-0.009254760950219083,0.0,-0.01497634451452025,-0.0037052282620719675,-0.0016090708887001592,0.0,0.17
100,old_pc,official_il,EP_change,300,-0.003216737414455294,0.0,-0.007524605466177889,0.0008814604489298728,0.0,0.0,0.24333333333333335
100,conditional_pc,official_il,EP_change,300,-0.0019342888413083844,0.0,-0.006217450854578491,0.0016201084870481833,0.0,0.0,0.36666666666666664
100,official_il,gt_only,EP_change,300,0.0013742997336761728,0.0,-0.005261134827138582,0.007265821666157684,0.0,0.0,0.32666666666666666
100,score,gt_only,EP_change,300,-0.01455640586343595,-0.005116192497420929,-0.0198923373077028,-0.008510028722653377,-0.00783266990594561,-0.0013874995357186504,0.07333333333333333
100,pareto,gt_only,EP_change,300,-0.015985662982155476,-0.006226697009235671,-0.020632535740922574,-0.011128339683924798,-0.009117296325966584,-0.0031134857102019242,0.06
100,gt_distance,gt_only,EP_change,300,-0.00788046121654291,-0.001188293162995041,-0.01091641932718474,-0.005109148704933195,-0.0025088881376530425,0.0,0.12
100,old_pc,gt_only,EP_change,300,-0.001842437680779121,0.0,-0.005830370694891816,0.002333009852576011,0.0,0.0,0.27
100,conditional_pc,gt_only,EP_change,300,-0.0005599891076322115,0.0,-0.006712347554716229,0.004299493387451281,0.0,0.0,0.3333333333333333
100,official_il,conditional_pc,EP_change,300,0.0019342888413083844,0.0,-0.0016992571926715493,0.006059377558325491,0.0,0.0,0.2866666666666667
100,gt_only,conditional_pc,EP_change,300,0.0005599891076322115,0.0,-0.004319553879301039,0.006199944404672853,0.0,0.0,0.33666666666666667
100,score,conditional_pc,EP_change,300,-0.013996416755803735,-0.0033567877087868625,-0.01944441621796537,-0.008276537764941446,-0.006555837811878129,-0.0022915304804676773,0.07
100,pareto,conditional_pc,EP_change,300,-0.015425673874523262,-0.0044951359061125296,-0.020295236643809434,-0.009923366169628118,-0.00715494390409227,-0.0026961528227965955,0.05333333333333334
100,gt_distance,conditional_pc,EP_change,300,-0.007320472108910699,-0.0009864648721730485,-0.011281443370479614,-0.0026677357741941568,-0.002001961681750708,-1.6560422153422127e-05,0.09666666666666666
100,old_pc,conditional_pc,EP_change,300,-0.00128244857314691,0.0,-0.004685446871967794,0.0033772670716361456,-0.0005551818854934782,0.0,0.16333333333333333
110,gt_only,official_il,PDMS_gain,300,0.026130274662962662,0.0,-0.5485721683573853,0.650354048094244,0.0,0.0,0.3566666666666667
110,score,official_il,PDMS_gain,300,-0.21131723997737797,-0.07388677790754983,-0.8504399264847711,0.4892842148181015,-0.22672206186566327,0.0,0.17333333333333334
110,pareto,official_il,PDMS_gain,300,-0.1807939313816531,-0.08971312280896981,-0.7120918673181778,0.4034798283879278,-0.257086340299324,0.0,0.14666666666666667
110,gt_distance,official_il,PDMS_gain,300,-0.22915136043047266,0.0,-0.701489811197406,0.3047700731318976,-0.05976165416052481,0.0,0.19333333333333333
110,old_pc,official_il,PDMS_gain,300,0.05982598472184364,0.0,-0.29593640455809717,0.426684350286506,0.0,0.0,0.2733333333333333
