method,step,token,PDMS,feasible_rate,hard_failure,zero_score_rate,EP,NC,DAC,TTC,DDC,Comfort,pairwise_ADE,Spread_AUC,center_shift,CRN_policy_change_ADE,D_positive,IL_retention_loss,candidate_fitting_loss,Hit1,Hit8,Hit16,Hit64
conditional_pc,0,046b1cc13f0d5f9d,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11809628079439617,0.10488546537106656,0.02767506241798401,0.0,0.0,0.00021454882316618296,0.00035554837164042397,0.0,0.0,0.0,0.0
conditional_pc,0,053ae221b0d351f5,84.02455767964547,1.0,0.0,0.0,0.6165893843114915,1.0,1.0,1.0,1.0,1.0,0.12219292851088816,0.10155862434516698,0.043849388137459755,0.0,0.11034347862005234,0.0017085409155441766,0.0022862781684622746,0.265625,0.9016565963289602,0.9892230055044009,1.0
conditional_pc,0,05f01335f6e15d86,98.61524065600805,1.0,0.0,0.0,0.9667657757441932,1.0,1.0,1.0,1.0,1.0,0.15214072788068675,0.1265629933911539,0.05280078202486038,0.0,0.13370691239833832,0.00023530308688179957,0.00028156829795022986,0.578125,0.9990534652116052,0.9999996921506993,1.0
conditional_pc,0,06f781885ea25f20,96.47480528398509,1.0,0.0,0.0,0.915395326815642,1.0,1.0,1.0,1.0,1.0,0.10782377286099531,0.0901813015337211,0.08551652356982231,0.0,0.08898275718092918,0.00026922281346486443,0.00022047794119828268,0.015625,0.11805555555555558,0.22023809523809523,0.5
conditional_pc,0,071d2ff38b4855ed,84.0086727090173,1.0,0.0,0.0,0.6162081450164154,1.0,1.0,1.0,1.0,1.0,0.10574929626005736,0.09012908344449364,0.0643161740154028,0.0,0.09478429704904556,0.002084133080543893,0.00101873968134214,0.4140625,0.9824309757917749,0.9997279748469994,1.0
conditional_pc,0,076f5a91273050e6,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13592824962115369,0.11287875873547538,0.05231807008385658,0.0,0.0,0.0014137215935789982,0.0014618233314678264,0.0,0.0,0.0,0.0
conditional_pc,0,07bd6c8c7de152a6,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1591073570724998,0.1378885415679063,0.12040031142532825,0.0,0.0,0.0005358683048228841,0.0004883859188424822,0.0,0.0,0.0,0.0
conditional_pc,0,0827c1c05e0e5596,60.61197916666667,0.0546875,0.0,0.0,1.0,1.0,1.0,0.0546875,1.0,1.0,0.15107627693739806,0.12727696469973937,0.07051965408027172,0.0,0.16001036018133163,0.0012512642466084856,0.0013854528174590541,0.0546875,0.3783051295610788,0.6393127848706908,1.0
conditional_pc,0,089107cd2d6354e0,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12077414490840692,0.0991723074474993,0.06362421065568924,0.0,0.0,0.00042614398022422506,0.0005648524290418067,0.0,0.0,0.0,0.0
conditional_pc,0,089b0ec6d7d35c09,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16045655013499321,0.12926428085393693,0.13877370208501816,0.0,0.0,0.0009449698802974638,0.0011360181274859826,0.0,0.0,0.0,0.0
