model,GT_heading_change,PDMS,median_PDMS,P10_PDMS,feasible,hard_failure,zero_score,oracle64,oracle_gap,CVaR20,NC,DAC,EP,TTC,Comfort,DDC,HQ_mass,Hit8,best8,pairwise_ADE,Spread_AUC,spread_ratio,pairwise_ratio,R90,effective_rank,endpoint_spread,mean_center_shift,medoid_center_shift,mean_GT_distance,D_high_quality,HQ_count,D_positive_legacy,positive_count_legacy,Hit8_legacy,mean_progress_shift,mean_lateral_shift,longitudinal_spread,lateral_spread,threshold_PDMS,threshold_above_100,CRN_score_win,CRN_safe_repair,CRN_safe_loss,median_spread_ratio,compressed_scene_fraction,HQ_diversity_defined_scenes,D_positive_legacy_defined_scenes,ratio_of_mean_pairwise_ADE
official_il,0.2643921915800802,92.15470908243051,92.46639792793404,89.93564855532384,0.939359375,0.02153125,0.02153125,94.66818146356408,2.513472381133557,89.73085422659608,0.99253125,0.984109375,0.8572317679783326,0.97634375,1.0,0.9824375,0.081546875,0.22925,93.95102604233456,0.1447897841952288,0.1222686935485467,1.0,1.0,0.1863268882854986,1.6655912778904214,0.2702886351234353,0.0,0.0,0.3938063727729764,0.0904105397473861,5.219,0.1186125121739224,28.42,0.284625,0.0,0.0,0.1158259097135399,0.0316841245497559,93.15470908243051,0.354,0.0,0.0,0.0,1.0,0.0,311,623,1.0
mts_8692,0.2643921915800802,93.71392122449052,93.67111648467666,93.30931095499191,0.967625,0.00853125,0.00853125,95.05978076276494,1.3458595382744236,93.19646830454808,0.999984375,0.991484375,0.8644841093877726,0.996734375,0.999609375,0.9858359375,0.186328125,0.21975,94.3021725105452,0.0840547734464343,0.0900852769691779,0.739325726649325,0.5805377784964423,0.1059447995742132,1.7368917099431274,0.1224646606445486,0.4128032645331388,0.4125958054848959,0.1807237995649195,0.1088921215801563,11.925,0.0914162786978778,20.19,0.21975,-0.1105992209323102,0.0185556854761678,0.0871914197845223,0.0178014196993033,93.15470908243051,0.354,0.274375,0.037375,0.009109375,0.4528847885346717,0.827,245,380,0.5805297239278856
mts_8751,0.2643921915800802,94.18290493208929,94.22688289860552,93.5869356278354,0.967640625,0.0071875,0.00653125,95.95069696500644,1.767792032917162,93.42849747240015,0.999671875,0.99346875,0.8733622304520039,0.996734375,0.99925,0.9856328125,0.221328125,0.271625,94.99247314052823,0.0834770027436662,0.099555566125147,0.8446415862711694,0.5958016643001073,0.0950845691824174,1.7944134177124629,0.1873736285303493,0.4623919579356388,0.4677280153251947,0.2265365972815054,0.220178886201365,14.165,0.1899803062830504,24.09,0.27125,-0.1424514184227658,0.0104513038167726,0.0964537763749429,0.0182684724685853,93.15470908243051,0.354,0.331625,0.0364375,0.00815625,0.4277191574720966,0.842,300,458,0.5765393132371077
grpo_9041,0.2643921915800802,95.05813227827204,95.04359488481754,94.48927404326948,0.946359375,0.008421875,0.008421875,95.9391233780372,0.8809910997651669,94.42648527846843,0.9923125,0.998765625,0.9025139246785288,0.982484375,1.0,0.973390625,0.406375,0.470375,95.65031327796817,0.170478474893994,0.1440183899626596,1.1960482875131346,1.1966544504429693,0.2179434112480332,1.8774095689669212,0.2696164647923902,0.4989891454731719,0.5008256694137707,0.6502798839463096,0.16168027558551,26.008,0.1717368706846572,33.414,0.4715,-0.0995920527613683,0.0049769361975118,0.1372390031072543,0.037096898464877,93.15470908243051,0.354,0.531375,0.025328125,0.018328125,1.182649865497256,0.05,494,566,1.1774206021615972
apr_9145,0.2643921915800802,95.3553098026161,95.42087973027054,94.71915852983813,0.956796875,0.007796875,0.007796875,96.24397793992608,0.8886681373099877,94.58178596859744,0.99425,0.997484375,0.9087399352627864,0.984421875,1.0,0.9812890625,0.4444375,0.48625,96.02025929746743,0.1830728364351211,0.1527560269503868,1.2669062518177494,1.2807474621772317,0.2191811282855025,2.997330414432977,0.2828400323177277,0.8027806522391664,0.809153710933691,0.9321751764306404,0.1926931751341198,28.444,0.1948762513354212,32.84,0.48,0.4731488284259724,-0.0389420678238317,0.1434636180358773,0.0479402003775577,93.15470908243051,0.354,0.516015625,0.028171875,0.010734375,1.2227396471359715,0.159,497,543,1.2644043739182105
