stratification,stratum,model,n,GT_heading_change,PDMS,median_PDMS,P10_PDMS,feasible,hard_failure,zero_score,oracle64,oracle_gap,CVaR20,NC,DAC,EP,TTC,Comfort,DDC,HQ_mass,Hit8,best8,pairwise_ADE,Spread_AUC,spread_ratio,pairwise_ratio,R90,effective_rank,endpoint_spread,mean_center_shift,medoid_center_shift,mean_GT_distance,D_high_quality,HQ_count,D_positive_legacy,positive_count_legacy,Hit8_legacy,mean_progress_shift,mean_lateral_shift,longitudinal_spread,lateral_spread,threshold_PDMS,CRN_score_win,CRN_safe_repair,CRN_safe_loss,median_spread_ratio,compressed_scene_fraction
IL_spread_quartile,Q1,apr_9145,250,0.2528622960819977,94.97682807208412,94.94286276093747,94.59998444746223,0.98525,0.004,0.004,95.60108027071756,0.624252198633452,94.5563832292098,1.0,0.996,0.8917938737300187,0.99325,1.0,0.996,0.35875,0.389,95.4270397810028,0.1493558366348349,0.1242374841660212,1.3463958646488328,1.3747730879152436,0.1774839104338983,3.4496527739800302,0.2056154561697127,0.6856901225925982,0.6916717512204664,0.7854486175487226,0.165330339007683,22.96,0.1649687830323988,27.592,0.3925,0.3628603177774474,-0.0732973118760066,0.116231607860098,0.0410166462843545,93.54767193683308,0.4214375,0.0185625,0.0105625,1.2802406799727533,0.056
IL_spread_quartile,Q1,grpo_9041,250,0.2528622960819977,95.23599539245086,95.18438025823104,94.84306271789178,0.989625,6.25e-05,6.25e-05,96.02130455270188,0.785309160251045,94.74736629312736,1.0,0.9999375,0.8920638894188205,0.9936875,1.0,0.99590625,0.3769375,0.417,95.73491564486028,0.1405448051969487,0.1191714946254285,1.3004199607922182,1.3055833582521676,0.1809747083869923,1.918972697208696,0.1975827922652249,0.4819609131574216,0.4819842482963241,0.5614641391495586,0.142145382438577,24.124,0.1448679106256527,28.94,0.414,-0.1635168137789742,-0.0188001494332616,0.1143673178283463,0.0292366005654677,93.54767193683308,0.4463125,0.0189375,0.0065625,1.2818609093262168,0.0
IL_spread_quartile,Q1,mts_8692,250,0.2528622960819977,93.32676656070949,93.38111903058396,92.83853075387024,0.991125,0.0088125,0.0088125,94.6850801015156,1.358313540806117,92.77997416699708,0.9999375,0.99125,0.8522423974570272,0.999875,1.0,1.0,0.1621875,0.2135,93.87666304785924,0.067930257961087,0.0726812200027703,0.7707346004211522,0.6195219408308154,0.0804480488269922,1.6638536861667828,0.1134461578915324,0.3381124164498452,0.3392849602144441,0.1546483062677277,0.1245772409705077,10.38,0.0903790559688976,19.568,0.209,-0.1249056317034063,0.0231567150498624,0.0707533108602334,0.0122214264197804,93.54767193683308,0.253875,0.022,0.008125,0.5199409637251314,0.808
IL_spread_quartile,Q1,mts_8751,250,0.2528622960819977,93.92950024528793,93.86413632214423,93.72674490066773,0.9960625,0.0038125,0.0038125,95.6946573902899,1.7651571450019865,93.50911002927836,1.0,0.9961875,0.8597705058869102,0.999875,1.0,1.0,0.17575,0.2385,94.58763341937556,0.0745524831544058,0.0920007463149004,0.9762599380991154,0.6825505735048195,0.0851650433830496,1.665886311071079,0.1683574559454953,0.387608764820736,0.3907638246920801,0.1864915387189058,0.1938559360664539,11.248,0.1605173597450565,21.148,0.2385,-0.1939117704651841,0.0193222042651725,0.0898886357096019,0.0142600559221122,93.54767193683308,0.270125,0.02125,0.0024375,0.4967579129393604,0.804
IL_spread_quartile,Q1,official_il,250,0.2528622960819977,92.54767193683308,93.39304257003693,89.87101197708787,0.97725,0.0155,0.0155,94.55888002776092,2.011208090927864,89.79243597973483,0.997125,0.987375,0.8500941264839934,0.9895,1.0,1.0,0.072625,0.2085,94.1234635316008,0.1095048591966485,0.0929965194742274,1.0,1.0,0.1429444772631452,1.631260094188474,0.1979833385026557,0.0,0.0,0.308229282613254,0.0668450027289746,4.648,0.0920471760685001,26.676,0.293,0.0,0.0,0.0887551705311971,0.0221911269193932,93.54767193683308,0.0,0.0,0.0,1.0,0.0
IL_spread_quartile,Q2,apr_9145,250,0.2961681353138192,95.30935495173742,95.39521489503066,94.81858436581284,0.954375,0.004,0.004,95.99134771630044,0.681992764563035,94.7764739883693,0.996,1.0,0.8986495188416982,0.990375,1.0,0.98,0.443125,0.473,95.78176014294458,0.1779268658927951,0.1483908620798371,1.307254682193211,1.3183636710468758,0.2131817655325924,2.999904572168925,0.2749592124831648,0.7866046439781039,0.7913413954396021,0.8760903514119056,0.1904884412457458,28.36,0.1921054359680851,31.916,0.465,0.4758113117182254,-0.0221564363465005,0.1390230347597327,0.0475163084169973,93.01167599192844,0.5138125,0.025875,0.004875,1.2105289517733089,0.1
IL_spread_quartile,Q2,grpo_9041,250,0.2961681353138192,94.84111290521876,94.92299869827434,94.18193377156268,0.9345,0.00875,0.00875,95.5036079028812,0.662494997662442,94.17491935860176,0.992,0.99925,0.89243670972525,0.988,1.0,0.96628125,0.43425,0.478,95.29743152006924,0.1625553364490072,0.1372295533539333,1.2083593013908998,1.2073723008965769,0.206210578948349,1.9111046181607445,0.2542551323762369,0.5141174045370861,0.5158052277218903,0.623669885006486,0.1578016670960375,27.792,0.1626728229306885,32.268,0.4655,-0.1077292815483897,0.0079697481721524,0.130383297141891,0.0362483819875449,93.01167599192844,0.5330625,0.025125,0.024,1.201356622035743,0.016
IL_spread_quartile,Q2,mts_8692,250,0.2961681353138192,93.96632244892912,93.94525566718605,93.8022118431476,0.963875,0.004,0.004,95.10744519616787,1.1411227472387695,93.6175604921908,1.0,0.996,0.8608542387742989,0.9999375,1.0,0.98253125,0.212125,0.245,94.45443265660316,0.078096304373231,0.0863624120207639,0.7617901672690389,0.5788400211994295,0.0893844985674555,1.7262363427440703,0.1181371123817127,0.3657646028059253,0.3616330873785061,0.1689937318600407,0.104723491600634,13.576,0.0823266928875767,20.74,0.2375,-0.0713232168142446,0.0141726627326022,0.0834969239493053,0.0171132424172237,93.01167599192844,0.29425,0.0343125,0.0038125,0.4694932228522058,0.812
IL_spread_quartile,Q2,mts_8751,250,0.2961681353138192,94.0268858562453,93.93535845817442,93.42321814666296,0.956875,0.0076875,0.0076875,95.92712936142075,1.9002435051754785,93.36947312859724,1.0,0.9923125,0.867470260549887,0.9999375,1.0,0.98209375,0.265125,0.3255,94.8178280374382,0.0955690911362679,0.1238792597659553,1.0915676492211894,0.7140219845539377,0.107074557428372,1.7774629787293628,0.2381380573288086,0.4219087875781142,0.4279328810942163,0.2391497678510458,0.2662052880842821,16.968,0.2647450116355473,24.332,0.308,-0.0911898912984803,0.0073144222787666,0.1206368667079166,0.0212905544069432,93.01167599192844,0.3626875,0.028375,0.004875,0.443936932551181,0.792
IL_spread_quartile,Q2,official_il,250,0.2961681353138192,92.01167599192844,91.97686332239884,90.54046285743276,0.933375,0.0210625,0.0210625,94.4469143125497,2.435238320621256,89.90382719594702,0.996,0.9829375,0.8473302238062822,0.9864375,1.0,0.980125,0.094375,0.262,93.86106803025952,0.1346738989372252,0.1136011349626644,1.0,1.0,0.1735171989376264,1.6596399762947278,0.2530401582091872,0.0,0.0,0.340339987504671,0.0873715237211265,6.04,0.1088514364543703,27.424,0.298,0.0,0.0,0.1074890694902767,0.0300471710290225,93.01167599192844,0.0,0.0,0.0,1.0,0.0
IL_spread_quartile,Q3,apr_9145,250,0.2755974560671635,94.28382226694524,94.42902427426796,93.07565507834236,0.93775,0.01875,0.01875,95.8169591617894,1.5331368948441704,92.84865427317628,0.9854375,0.9939375,0.909874234406686,0.9625,1.0,0.97915625,0.4866875,0.5445,95.4721966631662,0.1919964473164132,0.1601088593632836,1.2546787802549093,1.2624021296086407,0.228788713987091,2.882767983378374,0.3079726474951039,0.8772921202373957,0.8846256108670233,1.0132314829929596,0.1939507459291831,31.148,0.1976829853938085,35.904,0.534,0.5636227654849133,-0.0220266630769438,0.1502538987985849,0.0503662184867144,91.73388630101596,0.5678125,0.0301875,0.0226875,1.2055318202979928,0.184
IL_spread_quartile,Q3,grpo_9041,250,0.2755974560671635,93.70370543752178,93.64727381834128,93.27175414529748,0.922625,0.020375,0.020375,94.97827499488623,1.2745695573644789,93.11876689971486,0.98175,0.995875,0.8987889305005221,0.958375,1.0,0.96925,0.4195,0.5,94.48329570176202,0.1771416194208833,0.1492100118620383,1.1694354857285685,1.1678621392761188,0.2259649101111742,1.8931206709202384,0.2908862664684141,0.5030891267734331,0.5053355744805819,0.6766761908072038,0.1632214597620104,26.848,0.1768290906907615,35.404,0.5015,-0.0526650078380753,0.0134234419034909,0.1416446906590225,0.0401388212341553,91.73388630101596,0.572875,0.0269375,0.0345625,1.1669906150612,0.052
