split,method,scenes,single_target_fraction,two_target_fraction,three_target_fraction,multi_target_scenes,pairwise_ADE_conditional_on_multiple
holdout,il_sft,5000,1.0,0.0,0.0,0,
holdout,pareto,5000,0.0,0.0008,0.9992,5000,0.6854526674769819
holdout,psi,5000,0.5934,0.2306,0.176,2033,1.1702222076143411
holdout,score,5000,0.0,0.0008,0.9992,5000,0.6807983709089458
train,il_sft,3072,1.0,0.0,0.0,0,
train,pareto,3072,0.0003255208333333333,0.0,0.9996744791666666,3071,0.6749487018939903
train,psi,3072,0.5729166666666666,0.21875,0.20833333333333334,1312,1.1487210406694652
train,score,3072,0.0003255208333333333,0.0,0.9996744791666666,3071,0.6719539586511644
