path,sha256,step,method,seed,protocol_hash,initial_checkpoint_sha256,state_format,trainable_parameters
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/il_sft_seed2903/step0128.pt,4f1f40c51cc98ec4ed79b3e4d7648cb4cbafb4036608da4fc3159daf03077d7a,128,il_sft,2903,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/il_sft_seed2903/step0512.pt,1d01efebd6b590a9b5cf5c559c05fff7f148bb2c7b321eb5da85df319178ea4a,512,il_sft,2903,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/score_seed2903/step0128.pt,8b2bc17145bf41c29b585dab81ab4ba04f5ea2225d056400c14d02abd8e4d7f9,128,score,2903,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/score_seed2903/step0512.pt,65ab7666fd7f27d2081d78c748cfd9d16d70d5b694adefc19238b9c52a095877,512,score,2903,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/psi_seed1701/step0128.pt,6a36cfad2ab3dfb9ae2a748fa2e552037d4d54cf1c61833a3f72c70976d2af7c,128,psi,1701,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/psi_seed1701/step0512.pt,c988625fab3ea3f1bae838f878b89b12a7d34f087a81bafbcb31ef8a0917e6d0,512,psi,1701,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/pareto_seed2903/step0128.pt,7d1702ceca2301c6834813b024ecb6a2e7028024fc56c1e0d53b2010c61371d3,128,pareto,2903,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/pareto_seed2903/step0512.pt,0af80ae03298774f900bd9914bb1b22991e3c13390c951354b31fbd80f0a0d84,512,pareto,2903,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/il_sft_seed1701/step0128.pt,5097b279c3044d68e111d22ecd7169048d39c3d9ce073a4fbd2777fb12677236,128,il_sft,1701,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
/mnt/project/VLA-AD-worktrees/psi-matched-sft-20260920/outputs/psi_matched_sft/checkpoints/il_sft_seed1701/step0512.pt,c5df9ec5f0c9ad3af319ce9795b5809aaac09c34f30c579b9ee3b1b7a9ad5cb5,512,il_sft,1701,86be187b0a1c3b4a95257da0d35891cd78119817ca5f06e4000a69be70f6b605,4569221da6962d4e26d21a463cd70c06a7ad4d76654943fb3870086f43bdb443,raw_action_head_state_dict,34329219
