method,seed,unique_targets,never_presented,mean_presentations
il_sft,1701,3072,0,21.333333333333332
il_sft,2903,3072,0,21.333333333333332
pareto,1701,9214,195,7.112654655958324
pareto,2903,9214,200,7.112654655958324
psi,1701,5024,41,13.044585987261147
psi,2903,5024,37,13.044585987261147
score,1701,9214,195,7.112654655958324
score,2903,9214,200,7.112654655958324
