step,loss,lr,gradient_norm,seconds
1,0.018722106411587447,5.208333333333334e-07,1.502099633216858,6.311697244644165
2,0.01601177584961988,1.0416666666666667e-06,1.1087443828582764,8.905641317367554
3,0.035249566892161965,1.5625e-06,1.8738216161727905,11.47588562965393
4,0.0122277025366202,2.0833333333333334e-06,1.067954421043396,13.967416048049927
5,0.023435757058905438,2.604166666666667e-06,1.2936397790908813,16.570305347442627
6,0.013677111965080258,3.125e-06,0.8784868121147156,19.144112825393677
7,0.007728870616119821,3.6458333333333337e-06,0.5981506705284119,21.639280080795288
8,0.020436064864043146,4.166666666666667e-06,0.8373450636863708,24.128061532974243
9,0.01763145305449143,4.6875000000000004e-06,0.8010942935943604,26.636257648468018
10,0.007216261554276571,5.208333333333334e-06,0.18740099668502808,29.09324812889099
11,0.007782980712363496,5.729166666666667e-06,0.13530074059963226,31.556830883026123
12,0.010314650106010959,6.25e-06,0.44437652826309204,34.02005076408386
13,0.013240688218502328,6.770833333333333e-06,0.3299274146556854,36.52911424636841
14,0.022920871328096837,7.2916666666666674e-06,0.44001609086990356,39.18787479400635
15,0.010161212689126842,7.8125e-06,0.7836422324180603,41.98921275138855
16,0.010637324710842222,8.333333333333334e-06,0.8866037130355835,44.53979158401489
17,0.005911419095355086,8.854166666666667e-06,0.7520702481269836,47.22464156150818
18,0.016941845940891653,9.375000000000001e-06,0.7804468870162964,49.7271192073822
19,0.01334116941143293,9.895833333333333e-06,1.041712999343872,52.252925634384155
20,0.011459537665359676,1.0416666666666668e-05,0.8689963817596436,54.787513732910156
21,0.014239599375287071,1.09375e-05,0.8356738090515137,57.24283051490784
22,0.012511580702266656,1.1458333333333333e-05,0.4718050956726074,59.716015577316284
23,0.011836158111691475,1.1979166666666667e-05,0.5187945365905762,62.15496015548706
24,0.005605318860034458,1.25e-05,0.3946681618690491,65.10954570770264
25,0.010715383155911695,1.3020833333333334e-05,0.2717101573944092,67.86216259002686
26,0.00833881447033491,1.3541666666666666e-05,0.3330507278442383,70.36817574501038
