split,source,candidates,scenes,PDMS,feasible
holdout,ddv2,4532,4532,95.64946521030762,0.9501323918799647
holdout,driveor,4528,4528,96.65956992443283,0.963560070671378
holdout,endpoint_lateral,20000,5000,92.42751938550211,0.96395
holdout,gt,5000,5000,94.85866899279465,0.9796
holdout,lateral_offset,40000,5000,89.18479499138543,0.92585
holdout,policy,40000,5000,94.17854525303031,0.96555
holdout,progress_endpoint,25000,5000,91.97290671929424,0.92692
holdout,progress_gamma,20000,5000,92.55866943641001,0.9711
holdout,progress_speed,25000,5000,93.03455737018459,0.96124
holdout,timing_delay,15000,5000,94.15338421271076,0.9729333333333333
holdout,timing_slow_first,15000,5000,93.4132338371581,0.9712
train,ddv2,2836,2836,96.83453808430941,0.9587447108603667
train,driveor,2827,2827,96.11375515211829,0.9568447117085249
train,endpoint_lateral,12288,3072,92.47050931152545,0.9554036458333334
train,gt,3072,3072,94.90780902705096,0.9710286458333334
train,lateral_offset,24576,3072,89.2961196105714,0.9185384114583334
train,policy,24576,3072,94.55092201405404,0.9613037109375
train,progress_endpoint,15360,3072,93.00607782135418,0.9299479166666667
train,progress_gamma,12288,3072,92.774054537204,0.9657389322916666
train,progress_speed,15360,3072,93.55383634276397,0.9581380208333333
train,timing_delay,9216,3072,94.37337738931166,0.9669053819444444
train,timing_slow_first,9216,3072,93.64864014061442,0.9640842013888888
