analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
teacher:il_sft:ALL,holdout,eval,score,official_il,Hit64_0p5,5000,-0.4851,-0.5,-0.4993,-0.47099749999999996,-0.5044476058570594,-0.4668437660922362,0.0238,0.4346,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Mass64_0p5,5000,-0.5301015625,-0.6640625,-0.542590703125,-0.5167634765625,-0.5475300285252835,-0.5129538983960054,0.0752,0.1086,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Hit64_1p0,5000,-0.3209,0.0,-0.3338,-0.3078,-0.34032368886774267,-0.30314079125549953,0.0084,0.6326,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Mass64_1p0,5000,-0.4881359375,-0.515625,-0.5010528125,-0.4755386328125,-0.5047180117317861,-0.471779841530755,0.0266,0.2562,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,native_epsilon_loss,1000,0.005833075589123837,0.0030704201199114323,0.005084425677989475,0.006596836317025281,0.005049099712476297,0.006606090987027866,0.858,0.0,530
teacher:il_sft:ALL,holdout,eval,pareto,official_il,nearest_teacher_ADE,5000,0.6551922786148265,0.44421879202127457,0.63358898235091,0.6757289816407765,0.6196225050285062,0.6923518680101954,0.835,0.0,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Hit64_0p5,5000,-0.486,-0.5,-0.5009025,-0.4717,-0.5050497056393636,-0.4680893118464728,0.0238,0.4352,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Mass64_0p5,5000,-0.5312625,-0.6640625,-0.5436663671875,-0.5186755859375001,-0.5483068450270151,-0.5137684625876539,0.0756,0.1084,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Hit64_1p0,5000,-0.3225,0.0,-0.3353,-0.31,-0.34151869063305157,-0.30466610348034584,0.0084,0.63,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Mass64_1p0,5000,-0.4898328125,-0.5234375,-0.5023002734375,-0.477362109375,-0.5076199509733336,-0.47309515345822367,0.0264,0.255,991
teacher:il_sft:ALL,holdout,eval,psi,official_il,native_epsilon_loss,1000,0.007243229951276589,0.0037730012118117884,0.006366773954080464,0.008100307007624406,0.006286788740810032,0.00819550871055273,0.883,0.0,530
teacher:il_sft:ALL,holdout,eval,psi,official_il,nearest_teacher_ADE,5000,0.7598545645980165,0.5343493148684502,0.7357978059912846,0.7836081648790464,0.720663318301521,0.8034534900005526,0.8714,0.0,991
teacher:il_sft:ALL,holdout,eval,psi,official_il,Hit64_0p5,5000,-0.5207,-1.0,-0.5351025,-0.5058975,-0.5389183147842785,-0.5026360647246849,0.0236,0.4038,991
teacher:il_sft:ALL,holdout,eval,psi,official_il,Mass64_0p5,5000,-0.561315625,-0.734375,-0.574097734375,-0.548482578125,-0.577920668984057,-0.543813506693407,0.0682,0.0914,991
teacher:il_sft:ALL,holdout,eval,psi,official_il,Hit64_1p0,5000,-0.359,0.0,-0.3725025,-0.3457,-0.3780924232411955,-0.34047926434900827,0.0084,0.5928,991
teacher:il_sft:ALL,holdout,eval,psi,official_il,Mass64_1p0,5000,-0.5238640625,-0.6484375,-0.5362735546875,-0.511243671875,-0.5405603292803224,-0.5073306447606778,0.0262,0.2232,991
teacher:il_sft:ALL,holdout,native_grpo,psi,il_sft,native_epsilon_loss,1000,0.007028892864062073,0.0034892346357082715,0.006157246203752242,0.007958528579119252,0.006084868894746525,0.00806866383269572,0.871,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,psi,il_sft,nearest_teacher_ADE,5000,0.3853038629859686,0.18463008105754852,0.36923798225805166,0.4013729725895822,0.3581930264580227,0.41384541008137005,0.8218,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,psi,il_sft,Hit64_0p5,5000,-0.0008,0.0,-0.0018024999999999992,0.0002,-0.0018846127512418716,0.00010497431308165382,0.0006,0.9978,991
teacher:il_sft:ALL,holdout,native_grpo,psi,il_sft,Mass64_0p5,5000,-1.25e-05,0.0,-2.96875e-05,1.5625e-06,-2.940885497379968e-05,1.6463147037587345e-06,0.0006,0.9978,991
teacher:il_sft:ALL,holdout,native_grpo,psi,il_sft,Hit64_1p0,5000,-0.4636,-0.5,-0.4777,-0.4493,-0.48340991966604274,-0.4445671342141675,0.042,0.4108,991
