split,method,source,unique_parents,scenes,supervision_weight,scene_denominator,supervision_weight_fraction
holdout,il_sft,gt,5000,5000,5000.0,5000,1.0
holdout,pareto,ddv2,1579,1579,577.7499984204769,5000,0.11554999968409538
holdout,pareto,driveor,1616,1616,634.9999969005585,5000,0.1269999993801117
holdout,pareto,endpoint_lateral,2,2,0.30000001192092896,5000,6.000000238418579e-05
holdout,pareto,gt,1951,1951,1353.1999771147966,5000,0.2706399954229593
holdout,pareto,policy,5519,3159,1183.4000214338303,5000,0.23668000428676605
holdout,pareto,progress_endpoint,3218,2095,1011.6000021100044,5000,0.20232000042200088
holdout,pareto,progress_gamma,1,1,0.15000000596046448,5000,3.0000001192092897e-05
holdout,pareto,progress_speed,961,934,209.45000365376472,5000,0.04189000073075295
holdout,pareto,timing_delay,147,141,28.500000715255737,5000,0.0057000001430511475
holdout,pareto,timing_slow_first,2,2,0.6500000059604645,5000,0.0001300000011920929
holdout,psi,ddv2,907,907,601.6500022113323,5000,0.12033000044226647
holdout,psi,driveor,1440,1440,1067.1500011980534,5000,0.21343000023961067
holdout,psi,endpoint_lateral,2,2,0.30000001192092896,5000,6.000000238418579e-05
holdout,psi,gt,1926,1926,1429.7999802827835,5000,0.2859599960565567
holdout,psi,lateral_offset,26,26,5.550000220537186,5000,0.0011100000441074372
holdout,psi,policy,666,649,494.3000004887581,5000,0.09886000009775162
holdout,psi,progress_endpoint,1314,1271,969.5000029206276,5000,0.19390000058412551
holdout,psi,progress_gamma,1054,1054,239.70000952482224,5000,0.04794000190496445
holdout,psi,progress_speed,229,229,124.55000105500221,5000,0.02491000021100044
holdout,psi,timing_delay,234,234,48.650001376867294,5000,0.00973000027537346
holdout,psi,timing_slow_first,115,115,18.850000709295273,5000,0.0037700001418590544
holdout,score,ddv2,1568,1568,575.8999983668327,5000,0.11517999967336655
holdout,score,driveor,1625,1625,636.3499969542027,5000,0.12726999939084052
holdout,score,endpoint_lateral,2,2,0.30000001192092896,5000,6.000000238418579e-05
holdout,score,gt,1954,1954,1353.7999771237373,5000,0.2707599954247475
holdout,score,lateral_offset,1,1,0.15000000596046448,5000,3.0000001192092897e-05
holdout,score,policy,5531,3162,1185.6500215232372,5000,0.23713000430464745
holdout,score,progress_endpoint,3147,2085,1000.9500016868114,5000,0.20019000033736228
holdout,score,progress_gamma,1,1,0.15000000596046448,5000,3.0000001192092897e-05
holdout,score,progress_speed,983,951,212.60000377893448,5000,0.042520000755786894
holdout,score,timing_delay,182,172,33.500000953674316,5000,0.006700000190734863
holdout,score,timing_slow_first,2,2,0.6500000059604645,5000,0.0001300000011920929
train,il_sft,gt,3072,3072,3072.0,3072,1.0
train,pareto,ddv2,966,966,365.44999864697456,3072,0.1189615881012287
train,pareto,driveor,935,935,355.74999859929085,3072,0.11580403600237332
train,pareto,gt,1251,1251,867.4999853521585,3072,0.2823893181484891
train,pareto,policy,3506,2039,754.5500135719776,3072,0.24562174920962812
train,pareto,progress_endpoint,1912,1246,595.6500013768673,3072,0.193896484823199
train,pareto,progress_gamma,4,2,0.6000000238418579,3072,0.00019531250776102146
train,pareto,progress_speed,568,559,118.85000231862068,3072,0.038688151796426005
train,pareto,timing_delay,59,58,10.250000327825546,3072,0.0033365886483807117
train,pareto,timing_slow_first,13,7,3.400000035762787,3072,0.0011067708449748654
train,psi,ddv2,620,620,406.8500016629696,3072,0.1324381515829979
train,psi,driveor,831,831,594.3000010848045,3072,0.19345703160312647
train,psi,endpoint_lateral,6,6,1.4500000178813934,3072,0.0004720052141540994
train,psi,gt,1234,1234,906.9999870061874,3072,0.29524739160357666
train,psi,lateral_offset,18,18,3.150000125169754,3072,0.0010253906657453626
train,psi,policy,401,388,305.6500000655651,3072,0.09949544272967614
train,psi,progress_endpoint,851,825,598.0000022649765,3072,0.19466145907063037
train,psi,progress_gamma,636,635,134.85000535845757,3072,0.04389648611928957
train,psi,progress_speed,145,145,72.85000070929527,3072,0.02371419293922372
train,psi,timing_delay,151,151,26.40000092983246,3072,0.008593750302679837
train,psi,timing_slow_first,131,131,21.500000774860382,3072,0.006998698168899864
train,score,ddv2,968,968,365.5499986708164,3072,0.11899414019232306
train,score,driveor,932,932,355.0999985933304,3072,0.1155924474587664
train,score,gt,1253,1253,867.899985358119,3072,0.2825195264837627
train,score,policy,3517,2047,756.3500136435032,3072,0.24620768673291119
train,score,progress_endpoint,1867,1239,589.0500011146069,3072,0.19174804723782776
train,score,progress_gamma,4,2,0.6000000238418579,3072,0.00019531250776102146
train,score,progress_speed,582,573,120.95000240206718,3072,0.03937174557358958
train,score,timing_delay,77,74,12.950000435113907,3072,0.004215494933305308
train,score,timing_slow_first,14,8,3.5500000417232513,3072,0.001155598971915121
