split,protocol,method,command,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
holdout,eval,il_sft,left,91.30103773703938,0.8742106702466189,0.03699905529037391,0.14409246859818625,0.17795500293442226,0.11795711166587679,87.58705561463027,94.12340098461578,2.362562840269005,88.98367389789459,0.2498011137629276,0.22722752585521083,0.08860381861575178,87.33986918394254,99.2613240851233,97.08693814638028,95.92966885441527,95.47409506762132,100.0,0.4104910739783679,0.17905376937504125
holdout,eval,il_sft,right,86.30876982216951,0.8721640488656196,0.07702061518324607,0.1468126733655705,0.18684827098314102,0.11978116017777675,81.95382420455081,89.89429317269926,2.972689969937625,83.51436449235955,0.36038394415357766,0.33409685863874344,0.08944153577661432,79.55324216308463,99.4328097731239,92.81877181500873,97.3808355148342,97.87440008726003,100.0,0.3970148822231074,0.18840079480882924
holdout,eval,il_sft,straight,91.1680962203163,0.948715989747634,0.030138505520504733,0.14066101331792608,0.1714302033729475,0.11879501466930195,88.01281911583106,93.69891355772712,2.0933236720112056,89.06454990844483,0.29514984227129337,0.26533911671924293,0.02724763406940063,84.79071702833215,99.29428726340694,97.6579751577287,97.48225552050474,99.61504337539432,99.96697555205047,0.3918331765937366,0.17239459284819217
holdout,eval,official_il,left,92.06420332700313,0.8862122116149562,0.028763922036595068,0.14644369161143223,0.0,0.12035460914459224,89.05488082451133,94.31128725066249,1.9836778596673326,89.99805250903594,0.2243436754176611,0.18993635640413684,0.08214001591089896,87.76848017629743,99.58047434367542,97.53878281622912,96.59407319013525,95.55613564041369,100.0,0.39255518519146465,0.0
holdout,eval,official_il,right,86.81259186599485,0.8826897905759162,0.06920811518324607,0.14240732813744852,0.0,0.11640739005975698,81.2002477500581,89.83120646157803,3.270630004414284,83.3144368799003,0.262652705061082,0.21967713787085516,0.0881326352530541,79.23100145570002,99.47643979057591,93.60274869109948,97.90575916230367,97.86485602094241,100.0,0.3650064052397859,0.0
holdout,eval,official_il,straight,91.98790196398933,0.9579850157728707,0.02077089905362776,0.1456433098069877,0.0,0.12320434662692649,88.61295495324603,94.26175070731722,2.0542008981927498,89.79665341088308,0.3038643533123028,0.24712145110410094,0.020662460567823344,85.37701544620452,99.48442429022082,98.40348974763407,97.7089905362776,99.61307176656152,99.97239747634069,0.37657967150103283,0.0
holdout,eval,pareto,left,91.96097877574341,0.8513387529832935,0.04108865354017502,0.25888522174105627,0.7303761484378515,0.21411992198740953,86.62061103246212,95.3254924500586,3.186773758498366,88.70513049854773,0.4479912490055688,0.4376491646778043,0.09745425616547335,91.2240966480914,98.76876988862371,97.32187251392203,93.41002883850437,94.9377237470167,100.0,0.8839782201925752,0.7360460661891063
holdout,eval,pareto,right,86.5205585976102,0.8397960296684118,0.0891006762652705,0.27292837826031247,0.8533576385786084,0.22478997211311708,79.58738333801506,91.24114787317104,4.272580937262512,82.27261396545097,0.5783158813263525,0.568608202443281,0.10602094240837696,83.28236359362197,98.96515052356021,92.05797338568935,95.26341623036649,97.45037085514834,99.99727312390925,0.9621934923202915,0.8604385524169
holdout,eval,pareto,straight,90.88749871089368,0.8917660686119874,0.046295839905362776,0.29943572155520176,1.4389261724471412,0.2549909915751557,84.62233006123402,95.18134087707584,3.8808438672293373,86.93245327895335,0.6314668769716089,0.6241522082018928,0.055757097791798105,90.29626884029433,97.57664629337539,97.74916206624606,91.67488170347004,99.46064175867508,99.99753548895899,1.5485813045406323,1.4421416881937852
holdout,eval,psi,left,92.35419014941456,0.8537129574383453,0.03952863961813843,0.27359703283937753,0.8017623972402576,0.22662910805717287,87.07473075526775,95.68993930950661,3.1405373124398848,89.1221848911949,0.45435560859188545,0.44376491646778043,0.09287987271280827,91.5507572481276,98.7178052903739,97.51765115354017,93.81650258552108,94.75655081543357,99.99005568814638,0.9444028219684492,0.8087281388102444
