method,seed,protocol,probe_scenes,selected_unique_parents,actually_presented_unique_parents,never_presented_parents,trained_parent_zero_hit_fraction_0p5,scene_equal_trained_parent_zero_hit_fraction_0p5,initial_zero_hit_fraction_same_trained_parents_0p5,trained_parent_zero_hit_fraction_1p0,scene_equal_trained_parent_zero_hit_fraction_1p0,initial_zero_hit_fraction_same_trained_parents_1p0
il_sft,1701,eval,512,512,512,0,0.021484375,0.021484375,0.07421875,0.0,0.0,0.0078125
il_sft,1701,native_grpo,512,512,512,0,0.99609375,0.99609375,0.998046875,0.064453125,0.064453125,0.076171875
il_sft,2903,eval,512,512,512,0,0.01953125,0.01953125,0.07421875,0.0,0.0,0.0078125
il_sft,2903,native_grpo,512,512,512,0,0.998046875,0.998046875,0.998046875,0.044921875,0.044921875,0.076171875
pareto,1701,eval,512,1536,1502,34,0.23501997336884153,0.236328125,0.5439414114513982,0.06857523302263649,0.068359375,0.3681757656458056
pareto,1701,native_grpo,512,1536,1502,34,0.9986684420772304,0.9986979166666666,1.0,0.2396804260985353,0.23958333333333331,0.46604527296937415
pareto,2903,eval,512,1536,1506,30,0.20717131474103587,0.2060546875,0.546480743691899,0.0650730411686587,0.0654296875,0.36786188579017265
pareto,2903,native_grpo,512,1536,1506,30,0.99867197875166,0.9986979166666666,1.0,0.2410358565737052,0.23958333333333331,0.46547144754316067
psi,1701,eval,512,833,823,10,0.29526123936816523,0.24902343749999997,0.6294046172539489,0.07654921020656136,0.064453125,0.41190765492102066
psi,1701,native_grpo,512,833,823,10,1.0,1.0,1.0,0.26366950182260024,0.24609374999999997,0.520048602673147
psi,2903,eval,512,833,825,8,0.28363636363636363,0.24283854166666666,0.6327272727272727,0.08606060606060606,0.06640625,0.41454545454545455
psi,2903,native_grpo,512,833,825,8,1.0,1.0,1.0,0.27151515151515154,0.25,0.526060606060606
score,1701,eval,512,1536,1502,34,0.23501997336884153,0.236328125,0.53728362183755,0.06657789613848203,0.06640625,0.3608521970705726
score,1701,native_grpo,512,1536,1502,34,0.9980026631158455,0.998046875,1.0,0.23501997336884153,0.23502604166666663,0.4607190412782956
score,2903,eval,512,1536,1506,30,0.2058432934926959,0.20475260416666669,0.5398406374501992,0.06440903054448871,0.06477864583333333,0.3605577689243028
score,2903,native_grpo,512,1536,1506,30,0.99867197875166,0.9986979166666667,1.0,0.23705179282868527,0.23567708333333334,0.46082337317397076
