split,method,outside_parent_fraction,max_abs_normalized_coordinate
holdout,il_sft,0.0004,1.1554360925583613
holdout,pareto,0.00046679114430514806,1.1554360925583613
holdout,psi,0.0006318716036901302,1.2710243203484644
holdout,score,0.00046679114430514806,1.1554360925583613
train,il_sft,0.0,0.9548530155379221
train,pareto,0.00010853049706967658,1.0618356831868487
train,psi,0.001393312101910828,1.7904058569889232
train,score,0.00010853049706967658,1.0618356831868487
