split,method,seed,step,protocol,mean_PDMS_mean,mean_PDMS_median,mean_PDMS_count,feasible_rate_mean,feasible_rate_median,feasible_rate_count,hard_failure_rate_mean,hard_failure_rate_median,hard_failure_rate_count,pairwise_ADE64_mean,pairwise_ADE64_median,pairwise_ADE64_count,centroid_displacement_mean,centroid_displacement_median,centroid_displacement_count,Spread_AUC_mean,Spread_AUC_median,Spread_AUC_count,min_PDMS_mean,min_PDMS_median,min_PDMS_count,max_PDMS_mean,max_PDMS_median,max_PDMS_count,std_PDMS_mean,std_PDMS_median,std_PDMS_count,CVaR25_PDMS_mean,CVaR25_PDMS_median,CVaR25_PDMS_count,Hit16_mean,Hit16_median,Hit16_count,Hit8_mean,Hit8_median,Hit8_count,no_safe_group_mean,no_safe_group_median,no_safe_group_count,EP_mean,EP_median,EP_count,NC_mean,NC_median,NC_count,DAC_mean,DAC_median,DAC_count,TTC_mean,TTC_median,TTC_count,DDC_mean,DDC_median,DDC_count,Comfort_mean,Comfort_median,Comfort_count,GT_center_distance_mean,GT_center_distance_median,GT_center_distance_count,CRN_policy_shift_mean,CRN_policy_shift_median,CRN_policy_shift_count
holdout,il_sft,1701,128,eval,90.03102010111756,95.08909365238439,1000,0.918421875,1.0,1000,0.041875,0.0,1000,0.17390965267270803,0.1729453206062317,1000,0.37930733339488504,0.3449527323246002,1000,0.14483340545371176,0.1439944952726364,1000,85.80767261495927,93.1618133213351,1000,93.19085106358216,96.85953483762776,1000,2.6159648708305716,0.40526828603634646,1000,87.53307922469357,93.75,1000,0.29575,0.0,1000,0.262625,0.0,1000,0.05025,0.0,1000,83.94848587362259,89.1971712374882,1000,99.14609375,100.0,1000,96.6828125,100.0,1000,96.953125,100.0,1000,98.43046875,100.0,1000,100.0,100.0,1000,0.5168554211525671,0.410496952875679,1000,0.38077975128591063,0.3459257036447525,1000
holdout,il_sft,1701,128,native_grpo,68.83837279593243,74.15565136015358,1000,0.690296875,0.734375,1000,0.18515625,0.09375,1000,2.001191537022591,2.00191867351532,1000,0.383201451189816,0.35088351368904114,1000,1.6013551840782165,1.6023272275924683,1000,22.6481642999044,10.416666666666668,1000,96.35826491801451,99.10639281485025,1000,26.693942354870348,26.75595338236417,1000,36.35648740491538,36.375876159833034,1000,0.5225,0.75,1000,0.421375,0.375,1000,0.0245,0.0,1000,70.27485124279971,74.31545382113677,1000,94.98671875,100.0,1000,85.8953125,98.4375,1000,83.30625,92.1875,1000,96.64609375,100.0,1000,69.1546875,70.3125,1000,0.5559588624966316,0.44384026189471976,1000,0.3882707346603274,0.3538128584623337,1000
holdout,il_sft,1701,512,eval,90.57556644616812,95.21097955107267,5000,0.92041875,1.0,5000,0.0378125,0.0,5000,0.14422559302449225,0.1431158408522606,5000,0.1739450611870736,0.14683004468679428,5000,0.12034054972976446,0.11871017143130302,5000,86.91601622386864,93.89364032726479,5000,93.41613396037509,97.03139632342938,5000,2.3817493966008354,0.2957394420555186,5000,88.22644792119533,94.29002134251735,5000,0.29915,0.0,5000,0.270625,0.0,5000,0.04945,0.0,5000,84.81901094971124,90.21040411489645,5000,99.30234375,100.0,5000,96.9078125,100.0,5000,97.0225,100.0,5000,98.40953125,100.0,5000,99.9778125,100.0,5000,0.39640692779976117,0.3037554015826176,5000,0.1750077137310058,0.1478610709309578,5000
holdout,il_sft,1701,512,native_grpo,68.70163483816836,73.57628280828774,5000,0.68628125,0.734375,5000,0.18764375,0.09375,5000,1.9910770769357682,1.9905036687850952,5000,0.17827908302284778,0.15193002671003342,5000,1.5934910208463668,1.5937165021896362,5000,21.832448216640287,10.044761129734837,5000,96.67262158852901,99.19349875794542,5000,27.27441064148539,28.42335053181551,5000,35.53927739679407,34.375,5000,0.54335,0.75,5000,0.441875,0.5,5000,0.0205,0.0,5000,70.75239869271161,73.57777744398571,5000,95.213125,100.0,5000,85.5471875,98.4375,5000,83.2446875,92.1875,5000,96.99078125,100.0,5000,68.6921875,70.3125,5000,0.46122077784036264,0.3718571083111829,5000,0.1820660604171455,0.1551434025168419,5000
holdout,il_sft,2903,128,eval,90.72663183797935,94.89271002202243,1000,0.92240625,1.0,1000,0.03403125,0.0,1000,0.15850256169959903,0.1580011174082756,1000,0.260269376412034,0.21815066784620285,1000,0.13183221944049,0.13108942657709122,1000,86.35197474401883,93.31894943791528,1000,93.83393236668917,96.90790559394588,1000,2.7817251272607706,0.3749458173336421,1000,87.82085736489128,93.73616916642615,1000,0.3045,0.0,1000,0.278375,0.0,1000,0.044,0.0,1000,84.94219963304886,89.87656315923653,1000,99.2140625,100.0,1000,97.2671875,100.0,1000,96.53125,100.0,1000,98.41484375,100.0,1000,99.99375,100.0,1000,0.48092874130919216,0.381353829340355,1000,0.2615958839766681,0.21908989548683167,1000
holdout,il_sft,2903,128,native_grpo,68.80439240219808,74.23024861287519,1000,0.692078125,0.734375,1000,0.186671875,0.09375,1000,1.9983877511024475,1.9968201518058777,1000,0.2567078015618026,0.21401448547840118,1000,1.5990727121829986,1.5988739728927612,1000,22.544665296286865,10.416666666666668,1000,96.48554286578204,99.0028512658204,1000,26.899077519766976,27.923875030298433,1000,36.05176528347886,35.54196917053722,1000,0.5065,0.5,1000,0.405625,0.375,1000,0.021,0.0,1000,70.2975730821179,73.46481379646394,1000,95.01640625,100.0,1000,85.571875,98.4375,1000,83.375,92.1875,1000,96.9671875,100.0,1000,69.0734375,70.3125,1000,0.5316800154710494,0.43140118218541995,1000,0.2624013076201081,0.21887633204460144,1000
holdout,il_sft,2903,512,eval,90.7137113786176,95.3125,5000,0.92200625,1.0,5000,0.036659375,0.0,5000,0.1402317298091948,0.1388978585600853,5000,0.1757298358745873,0.1493164449930191,5000,0.11705420652925969,0.11532105505466461,5000,87.50682648572429,93.99168344352859,5000,93.32310644107041,96.98497225399055,5000,2.1418221567063327,0.28916652190396824,5000,88.5898849402229,94.40504103765844,5000,0.2833,0.0,5000,0.25665,0.0,5000,0.05015,0.0,5000,84.84370757167923,90.19719760402162,5000,99.30140625,100.0,5000,97.011875,100.0,5000,97.138125,100.0,5000,98.33953125,100.0,5000,99.9803125,100.0,5000,0.3978282631229564,0.3067460821170704,5000,0.17679832741245627,0.15026119351387024,5000
holdout,il_sft,2903,512,native_grpo,69.01785226050521,74.07043179838644,5000,0.69016875,0.75,5000,0.184265625,0.09375,5000,1.9900013098716736,1.9895886778831482,5000,0.18104657019153236,0.15642424672842026,5000,1.5926123840332032,1.5928292274475098,5000,22.299002243582525,10.416666666666668,5000,96.62819781590511,99.10395376558586,5000,26.998224388911378,27.87997557592537,5000,36.15865791633719,35.894940599459474,5000,0.53745,0.75,5000,0.43365,0.5,5000,0.02065,0.0,5000,70.89447934844054,73.73535250712108,5000,95.27890625,100.0,5000,85.8075,98.4375,5000,83.479375,92.1875,5000,96.92703125,100.0,5000,68.8203125,70.3125,5000,0.4624587819250594,0.3680188018509655,5000,0.18471507335044443,0.1588987559080124,5000
holdout,official_il,0,0,eval,91.41399358942083,95.16477941774514,5000,0.9313125,1.0,5000,0.02833125,0.0,5000,0.14547368229329585,0.14335518330335617,5000,0.0,0.0,5000,0.12170899140127003,0.11949753016233444,5000,87.8745588717968,93.92782762442391,5000,93.76646382375252,96.84104209408162,5000,2.175874181880448,0.3086942024098678,5000,89.10442312970808,94.3313197012614,5000,0.27915,0.0,5000,0.2296,0.0,5000,0.04385,0.0,5000,85.27389647603806,89.91282332964009,5000,99.50765625,100.0,5000,97.6359375,100.0,5000,97.45125,100.0,5000,98.3928125,100.0,5000,99.9825,100.0,5000,0.3792696193292685,0.2872319552999475,5000,0.0,0.0,5000
holdout,official_il,0,0,native_grpo,69.01966745063116,73.91619256381756,5000,0.692465625,0.734375,5000,0.18354375,0.09375,5000,1.9937206166028976,1.992979347705841,5000,0.0,0.0,5000,1.5958393235206605,1.5961320400238037,5000,22.114591179980795,9.712887473674153,5000,96.68466769237405,99.11452044064566,5000,27.17041268211849,28.235994402552567,5000,35.7999410268906,34.8898795447882,5000,0.55345,0.75,5000,0.447,0.5,5000,0.0191,0.0,5000,70.65350405533015,73.30739139800744,5000,95.35421875,100.0,5000,85.81375,98.4375,5000,83.6309375,92.1875,5000,97.054375,100.0,5000,69.0715625,70.3125,5000,0.4455259104726052,0.35379689203064274,5000,0.0,0.0,5000
