method,seed,step,protocol,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
il_sft,1701,128,eval,90.03102010111756,0.918421875,0.041875,0.17390965267270803,0.37930733339488504,0.14483340545371176,85.80767261495927,93.19085106358216,2.6159648708305716,87.53307922469357,0.29575,0.262625,0.05025,83.94848587362259,99.14609375,96.6828125,96.953125,98.43046875,100.0,0.5168554211525671,0.38077975128591063
il_sft,1701,128,native_grpo,68.83837279593243,0.690296875,0.18515625,2.001191537022591,0.383201451189816,1.6013551840782165,22.6481642999044,96.35826491801451,26.693942354870348,36.35648740491538,0.5225,0.421375,0.0245,70.27485124279971,94.98671875,85.8953125,83.30625,96.64609375,69.1546875,0.5559588624966316,0.3882707346603274
il_sft,1701,512,eval,91.44519262173819,0.9298125,0.0303125,0.14454210329055786,0.1713855271153152,0.12053492487967014,87.58669821156124,93.8444954116929,2.258579312227563,89.09709916847746,0.31075,0.28325,0.045,85.77746088110949,99.40625,97.496875,97.1375,98.471875,99.984375,0.40416403004262363,0.17241279110126198
il_sft,1701,512,native_grpo,69.06402677985993,0.69328125,0.186171875,1.9896665498018264,0.1757968431543559,1.5917648156881332,22.35721465687346,96.5804847192637,26.966749298807905,36.21918750645361,0.53725,0.440375,0.0235,70.89271127345032,95.12578125,85.5609375,83.4640625,96.959375,68.73125,0.4698576943358248,0.17951097364351154
il_sft,2903,128,eval,90.72663183797935,0.92240625,0.03403125,0.15850256169959903,0.260269376412034,0.13183221944049,86.35197474401883,93.83393236668917,2.7817251272607706,87.82085736489128,0.3045,0.278375,0.044,84.94219963304886,99.2140625,97.2671875,96.53125,98.41484375,99.99375,0.48092874130919216,0.2615958839766681
il_sft,2903,128,native_grpo,68.80439240219808,0.692078125,0.186671875,1.9983877511024475,0.2567078015618026,1.5990727121829986,22.544665296286865,96.48554286578204,26.899077519766976,36.05176528347886,0.5065,0.405625,0.021,70.2975730821179,95.01640625,85.571875,83.375,96.9671875,69.0734375,0.5316800154710494,0.2624013076201081
il_sft,2903,512,eval,91.44849451363797,0.93121875,0.030609375,0.14022757962346077,0.1729800849929452,0.11695718575268983,87.7839449580721,93.94763574391887,2.256193987943678,89.13102114371489,0.2985,0.273375,0.0435,85.59729425189265,99.32109375,97.5484375,97.325,98.41640625,100.0,0.40824499253686775,0.1740100026242435
il_sft,2903,512,native_grpo,69.40577455155348,0.6971875,0.18190625,1.9885222197771073,0.17837178555503488,1.590823342680931,23.112444689356497,96.62330809503361,26.69233458598902,36.857241524400514,0.5315,0.430375,0.02175,71.07572416487855,95.2328125,85.890625,83.665625,96.859375,68.859375,0.47360428024765056,0.1819839044548571
official_il,0,0,eval,91.98263354058233,0.93603125,0.023203125,0.14536285685002803,0.0,0.12154664177447558,87.95555043470208,94.18977997685656,2.237407581852558,89.47218684405448,0.2885,0.23725,0.0415,85.93535360767002,99.45078125,98.1234375,97.3359375,98.36171875,99.9984375,0.3955951313404826,0.0
official_il,0,0,native_grpo,69.45316479289433,0.69925,0.180546875,1.9923428646326065,0.0,1.5941396503448486,23.03084239785085,96.64470120578667,26.747341787604004,36.651638307983134,0.54875,0.447625,0.0225,70.88350636581445,95.31875,85.9640625,83.8171875,96.9484375,69.06875,0.4612705798831151,0.0
pareto,1701,128,eval,89.02927736160963,0.850703125,0.059640625,0.3353586258739233,1.0220230239778758,0.2823832207769156,80.49749576582981,95.13810504361278,5.32078881122358,83.46987841846277,0.58075,0.5725,0.07225,88.67203429579595,97.44609375,96.6375,90.3625,97.88203125,100.0,1.142112438965793,1.0332733902037143
pareto,1701,128,native_grpo,66.94321299475028,0.631328125,0.21584375,2.085715039134026,1.04130815192312,1.672615265250206,20.12122523323847,97.91978663941157,28.698980596613907,32.90954054720229,0.60075,0.554375,0.0265,72.50595298025547,92.03125,85.415625,77.45625,95.55234375,67.4203125,1.1944038708785951,1.0780450845956802
pareto,1701,512,eval,90.85575316534376,0.876484375,0.0476875,0.28180962254852054,1.2045087320189922,0.2369508226439357,84.21662953253569,95.39976909683723,4.103626759908258,86.77405876849258,0.577,0.567625,0.06975,90.25943762523463,97.959375,97.240625,92.0015625,98.140625,99.9953125,1.3225392255983646,1.2084268587492406
pareto,1701,512,native_grpo,68.24081762885078,0.646875,0.205515625,2.059977577805519,1.2139098607003689,1.6505355145931244,21.323162165025494,98.01141665085076,28.209701008636273,34.61959561719104,0.6065,0.56325,0.0255,73.98552165103203,92.94296875,85.6015625,78.975,95.94609375,67.08125,1.3681428854555455,1.2306663130745292
pareto,2903,128,eval,90.10344068161082,0.875203125,0.05259375,0.29808487206697465,0.9405341884717345,0.24932463951408862,82.1184855013237,94.92087877790033,4.692451353699304,85.19939331298636,0.5755,0.564,0.066,88.78938365072709,97.68828125,97.084375,92.0859375,98.07890625,100.0,1.0718143589977542,0.949553413644433
pareto,2903,128,native_grpo,67.73567668522557,0.6479375,0.2079375,2.0688501859903337,0.9536491316258907,1.6578031997680664,20.392760510037057,97.83423431813218,28.49964634477107,33.52754645876431,0.60125,0.54775,0.02425,72.74921868873993,92.69453125,85.6546875,78.90625,96.14375,67.79375,1.1198148898333091,0.981237789079547
pareto,2903,512,eval,91.01414183967196,0.88084375,0.046546875,0.2879239844083786,1.1980746189989149,0.24281858994811772,84.95393811413513,95.04573724828477,3.6950428295811215,87.25748777784935,0.57725,0.569,0.06975,90.20467960690326,98.1265625,97.2125,92.5359375,98.06328125,99.9953125,1.324059600643336,1.2025011685416103
pareto,2903,512,native_grpo,68.50888706045582,0.65209375,0.20196875,2.069655326962471,1.2182821881920098,1.6590280859470368,21.094737088365495,97.91715724939763,28.106271790593066,34.79871391148842,0.606,0.5625,0.02725,74.05261361060448,92.95703125,85.9515625,79.2234375,95.95625,66.9390625,1.3811205871284014,1.2381085395812987
psi,1701,128,eval,88.30503520946446,0.83628125,0.06825,0.3582709286659956,1.2121886491402984,0.30101264011859896,78.46191878092795,95.30018940593934,6.17840975501292,81.96927034408604,0.58325,0.5745,0.07275,88.81998131471374,96.790625,96.3875,89.00625,97.8640625,99.9921875,1.3214410866365316,1.2254557392299175
psi,1701,128,native_grpo,66.30303817310377,0.62121875,0.22440625,2.0998684241771697,1.2276595168337225,1.6841557133197784,19.322219924842813,97.98996136070777,29.030700704286946,32.05664525377252,0.60525,0.5615,0.02775,72.41248709539336,91.375,85.1359375,76.64375,95.371875,66.6671875,1.370752168476898,1.2703259587436915
