analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
final512_seed1701,holdout,eval,psi,il_sft,mean_PDMS,5000,0.03866756995652846,1.1314059645550074,-0.43027723175682203,0.4901942506612225,-0.44903766478508894,0.5528999043041006,0.5684,0.2768,991
final512_seed1701,holdout,eval,psi,il_sft,feasible_rate,5000,-0.050678125,0.0,-0.057003359375,-0.044465390625000004,-0.05749448080876481,-0.04400609848634992,0.0518,0.7794,991
final512_seed1701,holdout,eval,psi,il_sft,hard_failure_rate,5000,0.01380625,0.0,0.0095215625,0.018228359375000003,0.009134336072789077,0.018470747025813198,0.0774,0.879,991
final512_seed1701,holdout,eval,psi,il_sft,pairwise_ADE64,5000,0.13803504447937012,0.11388703435659409,0.13602416327441114,0.14002233240433037,0.13548127488155595,0.14093023993461945,1.0,0.0,991
final512_seed1701,holdout,eval,psi,il_sft,centroid_displacement,5000,1.1186483280416577,0.935194032266736,1.092721830445323,1.144043178069191,1.072357850407065,1.1698526682120676,0.956,0.0,991
final512_seed1701,holdout,eval,psi,il_sft,Spread_AUC,5000,0.1172908139437437,0.09640012681484222,0.11557895953241736,0.1190538566101715,0.11506220326531792,0.11971403156614431,1.0,0.0,991
final512_seed1701,holdout,eval,psi,il_sft,min_PDMS,5000,-2.4519675117560995,0.38575584477646174,-3.07223533405311,-1.83627016896328,-3.1458316815478193,-1.79866955451801,0.522,0.3116,991
final512_seed1701,holdout,eval,psi,il_sft,max_PDMS,5000,1.4193362485886984,1.4277316600422694,1.0607037270595658,1.79255348938063,0.9898072386536648,1.8302840653649348,0.5628,0.3884,991
final512_seed1701,holdout,eval,psi,il_sft,std_PDMS,5000,1.441910452626428,0.03878337633672252,1.188827841494921,1.695969371016883,1.2023724722842182,1.6745623683985895,0.506,0.2784,991
final512_seed1701,holdout,eval,psi,il_sft,CVaR25_PDMS,5000,-1.5385939895313012,0.6965638697023522,-2.1225922801016686,-0.9629027735790516,-2.1594486647215994,-0.9306099704249033,0.5408,0.2968,991
final512_seed1701,holdout,eval,psi,il_sft,Hit16,5000,0.28045,0.0,0.26805,0.2935,0.26217966660869974,0.2990287530646613,0.346,0.6242,991
final512_seed1701,holdout,eval,psi,il_sft,Hit8,5000,0.30075,0.0,0.28712375,0.314275,0.28261442023198535,0.3196235157003562,0.3944,0.5694,991
final512_seed1701,holdout,eval,psi,il_sft,no_safe_group,5000,0.02535,0.0,0.0202,0.030451250000000006,0.019637767970727277,0.03124374436993294,0.0446,0.9416,991
final512_seed1701,holdout,eval,psi,il_sft,EP,5000,5.279110395230658,4.007116046000931,4.782996084339828,5.746927103066289,4.732843129137628,5.803163580429753,0.6092,0.3124,991
final512_seed1701,holdout,eval,psi,il_sft,NC,5000,-1.6615625,0.0,-1.97750390625,-1.3460859375,-2.0073012989286436,-1.3345163896339933,0.005,0.9506,991
final512_seed1701,holdout,eval,psi,il_sft,DAC,5000,0.3034375,0.0,-0.024695312499999997,0.6272187500000002,-0.045422968055959516,0.651163849516002,0.0402,0.9242,991
final512_seed1701,holdout,eval,psi,il_sft,TTC,5000,-5.13625,0.0,-5.700640624999999,-4.5827890625,-5.796652934265349,-4.515052671992613,0.0152,0.8572,991
final512_seed1701,holdout,eval,psi,il_sft,DDC,5000,-0.4540625,0.0,-0.6045390625,-0.3246796875,-0.6114870420496276,-0.3076640235196709,0.0022,0.9722,991
final512_seed1701,holdout,eval,psi,il_sft,Comfort,5000,0.0034375,0.0,-0.0340703125,0.05,-0.033951032269257456,0.04700834526865707,0.0008,0.998,991
final512_seed1701,holdout,eval,psi,il_sft,GT_center_distance,5000,1.008318641734326,0.8079382816744751,0.9802862469969839,1.035699202679419,0.9608394390473887,1.0566678696262988,0.891,0.0,991
final512_seed1701,holdout,eval,psi,il_sft,CRN_policy_shift,5000,1.1218166054960341,0.9384474605321884,1.0969115157173948,1.1471997078572587,1.0729750101245152,1.1716424318759955,0.9608,0.0,991
final512_seed1701,holdout,eval,psi,score,mean_PDMS,5000,-0.10221696547195339,0.0,-0.2530821747516789,0.04768416949958122,-0.2503244794190468,0.05054218430714808,0.4202,0.361,991
