checkpoint_id,path,sha256,hash_matches_inventory,bytes,epoch_zero_based,global_step,state_dict_keys,historical_navtest_pdms_points
epoch_011,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.051ac3312a848b36eeeaccc3935e03582f9acc89737a99672349a5887faa0aff.3941396.tmp,051ac3312a848b36eeeaccc3935e03582f9acc89737a99672349a5887faa0aff,True,459747336,10,7315,555,87.67243811626906
epoch_026,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.0b542f3fe1a46100a6b093e88e06d5e7e40e659d1ca06afe7d1952228f6cedf5.4060073.tmp,0b542f3fe1a46100a6b093e88e06d5e7e40e659d1ca06afe7d1952228f6cedf5,True,459747336,25,17290,555,85.45144681884284
epoch_036,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.0ddb9c43e280eaaf85b8a13a310c7aa9c3ec3a7bf612032548603b37b49fde59.4153842.tmp,0ddb9c43e280eaaf85b8a13a310c7aa9c3ec3a7bf612032548603b37b49fde59,True,459747336,35,23940,555,84.76388964655487
epoch_005,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.16616fc741875a44ecc457306e9206d0c5666004efa4cb21309eaacedda18054.3886485.tmp,16616fc741875a44ecc457306e9206d0c5666004efa4cb21309eaacedda18054,True,459747144,4,3325,555,84.71439853914286
epoch_017,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.1e54dc6fc8d7184d7c4ba21e4dde31eab82d29d48fc98b166ddfe8a88c0b2de8.3988519.tmp,1e54dc6fc8d7184d7c4ba21e4dde31eab82d29d48fc98b166ddfe8a88c0b2de8,True,459747336,16,11305,555,86.1948243894061
epoch_037,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.220bd7f5b13c8821deeaff5972c313a318c9fd0f21caa14f73b20d64cd9f5d48.4161040.tmp,220bd7f5b13c8821deeaff5972c313a318c9fd0f21caa14f73b20d64cd9f5d48,True,459747336,36,24605,555,84.98532608421387
epoch_024,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.35f1d6b159dfaa708671b42ec303c35311c486df7fa78bc2de665c51398719d7.4043604.tmp,35f1d6b159dfaa708671b42ec303c35311c486df7fa78bc2de665c51398719d7,True,459747336,23,15960,555,82.87423297478843
epoch_049,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.384089766d0db0cffed8f5892bb1fe356c1d9a96a95147b5165f5131c977d064.81782.tmp,384089766d0db0cffed8f5892bb1fe356c1d9a96a95147b5165f5131c977d064,True,459747336,48,32585,555,84.83908185068047
epoch_012,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.3cc36f19cda3b8d9217eb8221c26599239f15f752f381a94f52ec579852de1d6.3947855.tmp,3cc36f19cda3b8d9217eb8221c26599239f15f752f381a94f52ec579852de1d6,True,459747336,11,7980,555,84.92523835026059
epoch_016,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.3e0137c726f3806eb79c011c07b1a0580e02b3a6e201bc91be3d1818b16dd784.3979186.tmp,3e0137c726f3806eb79c011c07b1a0580e02b3a6e201bc91be3d1818b16dd784,True,459747336,15,10640,555,85.01360667005132
epoch_007,/mnt/project/VLA-AD/outputs/psi_drive_stage2_apsd_clean_8gpu_20260624T214438Z/checkpoint_store/objects/.42c634658d0ed06c0ddb9e33aaf85648e863aa229103829044e40bed9d95a36c.3903588.tmp,42c634658d0ed06c0ddb9e33aaf85648e863aa229103829044e40bed9d95a36c,True,459747336,6,4655,555,82.08096192884307
