analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
final512_seed_average,holdout,eval,psi,il_sft,mean_PDMS,5000,-0.1914848736170789,0.9751144032669856,-0.6304520139209994,0.2693169970406404,-0.680206684675523,0.3043087770178314,0.566,0.262,991
final512_seed_average,holdout,eval,psi,il_sft,feasible_rate,5000,-0.0528390625,0.0,-0.0590003125,-0.0468015234375,-0.0589405185973406,-0.0464139943956876,0.0556,0.744,991
final512_seed_average,holdout,eval,psi,il_sft,hard_failure_rate,5000,0.0153046875,0.0,0.0113840625,0.0195140625,0.01100497160934,0.0195902198285818,0.1002,0.8558,991
final512_seed_average,holdout,eval,psi,il_sft,pairwise_ADE64,5000,0.143306914454326,0.1178960427641868,0.1412590196733922,0.1454571629625465,0.1406266370836046,0.1460955606881648,1.0,0.0,991
final512_seed_average,holdout,eval,psi,il_sft,centroid_displacement,5000,1.120246264710091,0.9223531410098076,1.0934854719639593,1.147603895720262,1.0726171987881634,1.1703818029502766,0.9518,0.0,991
final512_seed_average,holdout,eval,psi,il_sft,Spread_AUC,5000,0.1218946149535477,0.0997922830283641,0.1201066478149499,0.1236204328368976,0.1195849541943891,0.1242739418340459,1.0,0.0,991
final512_seed_average,holdout,eval,psi,il_sft,min_PDMS,5000,-2.922704579090619,0.1830904706866079,-3.50520333256779,-2.3502019319519567,-3.575389946726826,-2.2917518882139536,0.5142,0.2904,991
final512_seed_average,holdout,eval,psi,il_sft,max_PDMS,5000,1.3634793619024426,1.461947588148135,0.9979017105164936,1.707421135633392,0.9596147881251392,1.7383423642144693,0.5682,0.3712,991
final512_seed_average,holdout,eval,psi,il_sft,std_PDMS,5000,1.5730174970805084,0.1276472569402622,1.3542904038916812,1.798093632398843,1.3435972178351578,1.7918471682066162,0.521,0.2628,991
final512_seed_average,holdout,eval,psi,il_sft,CVaR25_PDMS,5000,-1.8511329646405412,0.478823301760741,-2.416923600086384,-1.312459227777156,-2.439989588061332,-1.2716405352941371,0.5362,0.2794,991
final512_seed_average,holdout,eval,psi,il_sft,Hit16,5000,0.28705,0.0,0.274469375,0.3000506249999999,0.2695600736503593,0.3055436925837165,0.3874,0.574,991
final512_seed_average,holdout,eval,psi,il_sft,Hit8,5000,0.3058125,0.0,0.2932740625,0.3188759375,0.2873799368092277,0.3249481990930133,0.4338,0.5206,991
final512_seed_average,holdout,eval,psi,il_sft,no_safe_group,5000,0.02595,0.0,0.021075,0.030975,0.0208127418336452,0.0312628459446822,0.0564,0.9242,991
final512_seed_average,holdout,eval,psi,il_sft,EP,5000,5.126780023182243,3.950960480599868,4.665323822807121,5.569819518913175,4.619530402776021,5.623269806058769,0.6132,0.2986,991
final512_seed_average,holdout,eval,psi,il_sft,NC,5000,-1.585078125,0.0,-1.88805859375,-1.293177734375,-1.9031981639658295,-1.2717928103672698,0.0046,0.9426,991
