split,method,token,native_epsilon_loss,Hit64_0p5,nearest_teacher_ADE,target_set
holdout,il_sft,000f59162ab05608,,0.0,1.4092910289764404,common_PSI_non_GT
holdout,il_sft,0010ad0f3e78523a,,0.0,1.0340719819068909,common_PSI_non_GT
holdout,il_sft,0016245ac3705a33,,0.0,1.641754388809204,common_PSI_non_GT
holdout,il_sft,0018c28af74453cd,,0.5,0.5074315667152405,common_PSI_non_GT
holdout,il_sft,001f1ae5fd885645,,0.0,0.7559864521026611,common_PSI_non_GT
holdout,il_sft,002fc6d041a45230,,1.0,0.4744075685739517,common_PSI_non_GT
holdout,il_sft,0056ae51961f5a18,0.13960409350693226,0.5,0.5969590991735458,common_PSI_non_GT
holdout,il_sft,005a44fa33b55e7b,,0.0,0.6418533325195312,common_PSI_non_GT
holdout,il_sft,005b4f3829ce54a0,0.08778679743409157,0.0,0.8400487005710602,common_PSI_non_GT
holdout,il_sft,00671a3eb024500c,,0.0,1.6130154728889465,common_PSI_non_GT
holdout,il_sft,006cbccbfae95262,,0.0,0.9060477316379547,common_PSI_non_GT
holdout,il_sft,007505437ed45b53,0.029204887337982655,0.0,1.5237276554107666,common_PSI_non_GT
holdout,il_sft,00776d093674536a,,0.0,1.0527521967887878,common_PSI_non_GT
holdout,il_sft,007a406628cb5426,,0.0,1.483732521533966,common_PSI_non_GT
holdout,il_sft,0082a4952b1658fd,,0.0,1.106075495481491,common_PSI_non_GT
holdout,il_sft,008a9f9434c75b99,,0.0,0.7542095482349396,common_PSI_non_GT
holdout,il_sft,008b2dd650cf50da,0.0010831276304088533,1.0,0.34513550996780396,common_PSI_non_GT
holdout,il_sft,00a3ae8730145b89,,0.0,0.6360482573509216,common_PSI_non_GT
holdout,il_sft,00ac934b58495a75,,0.0,1.502207338809967,common_PSI_non_GT
holdout,il_sft,00bb64a977de56d5,0.30214643478393555,0.0,3.96753466129303,common_PSI_non_GT
holdout,il_sft,00bbc908bd5758e6,,0.0,2.7261578738689423,common_PSI_non_GT
holdout,il_sft,00cfafd46b4a5102,,0.5,0.5332423150539398,common_PSI_non_GT
holdout,il_sft,00e1286c9a0f58a6,,0.5,0.48302819579839706,common_PSI_non_GT
holdout,il_sft,00f7ba156a765403,0.004720801021903753,1.0,0.4405187666416168,common_PSI_non_GT
holdout,il_sft,01034b2411ce5ea0,,0.0,0.8589552640914917,common_PSI_non_GT
holdout,il_sft,011d671654495d21,,0.0,0.9305666089057922,common_PSI_non_GT
holdout,il_sft,014e59d9a1eb5e2a,,0.0,1.0881173014640808,common_PSI_non_GT
holdout,il_sft,014ed42abbd85bfb,0.011813133489340544,0.0,1.037378340959549,common_PSI_non_GT
holdout,il_sft,0171434146c650c4,,0.0,2.7975659370422363,common_PSI_non_GT
holdout,il_sft,0183e4db573c5c63,,0.0,1.9577175378799438,common_PSI_non_GT
holdout,il_sft,0197cab895ec5d70,0.03758015297353268,0.0,3.05185329914093,common_PSI_non_GT
holdout,il_sft,019cfd828c3f5b7c,,0.0,2.8772343397140503,common_PSI_non_GT
holdout,il_sft,01a4902fb6285b63,,0.0,1.676051139831543,common_PSI_non_GT
holdout,il_sft,01ad54efc5125904,,0.0,2.076441091826652,common_PSI_non_GT
holdout,il_sft,01d8f52724315f92,,0.0,0.9256075322628021,common_PSI_non_GT
holdout,il_sft,01f6f2b84aae51f0,,0.0,1.00690558552742,common_PSI_non_GT
holdout,il_sft,0207dd8c601354c2,,0.0,1.6757827997207642,common_PSI_non_GT
holdout,il_sft,0220813032975615,,0.0,1.6491219401359558,common_PSI_non_GT
holdout,il_sft,022fef6d66485384,,0.0,1.0974661012971296,common_PSI_non_GT
holdout,il_sft,023296bfdb7550e1,,0.0,0.7003196179866791,common_PSI_non_GT
holdout,il_sft,023664205ae95402,,0.0,0.9773804843425751,common_PSI_non_GT
