scope,model,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,official_il,pairwise_ADE,5000,1.8483949976395815,1.8486298965290189,1.8469637853203063,1.849839879829739,1.846892244583391,1.8498881908725249,1.0,0.0,991
FULL5000,official_il,pairwise_ADE64,5000,1.8482469343096017,1.8487279415130615,1.8468737300008162,1.8495816908420808,1.8467649769859182,1.8497119150406862,1.0,0.0,991
FULL5000,official_il,centroid_displacement,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,991
FULL5000,official_il,feasible_rate,5000,-0.238846875,-0.21875,-0.24516960937499999,-0.23267484375,-0.2463567194865062,-0.2313822149846491,0.0442,0.096,991
FULL5000,official_il,mean_PDMS,5000,-22.394326138789662,-17.87584964005098,-22.887524204960947,-21.900083886870707,-22.975840952184516,-21.79821723567877,0.0246,0.0004,991
FULL5000,official_il,min_PDMS,5000,-65.75996769181599,-75.0,-66.63277631000255,-64.88896542013876,-66.72755601079214,-64.77264319112466,0.0,0.0442,991
FULL5000,official_il,max_PDMS,5000,2.9182038686215384,0.8933630699817385,2.6325824888779263,3.211990532600494,2.5845261889319713,3.247866005261621,0.574,0.3666,991
FULL5000,official_il,CVaR25_PDMS,5000,-53.30448210281748,-52.35940912325103,-54.107194932132614,-52.50608403402966,-54.26548702716371,-52.37435882828676,0.0014,0.0298,991
FULL5000,official_il,Spread_AUC,5000,1.4741303321193904,1.475089207291603,1.4729508925746568,1.475253323333366,1.47289408827266,1.475340802337712,1.0,0.0,991
FULL5000,official_il,hard_failure_rate,5000,0.1552125,0.078125,0.14983375,0.16063140625,0.14839476218952016,0.1622032008878007,0.7418,0.2362,991
FULL5000,official_il,zero_score_rate,5000,0.151059375,0.078125,0.145802578125,0.15629171875,0.14433624538543352,0.1576671124831,0.724,0.2546,991
FULL5000,official_il,std_PDMS,5000,24.99453850023804,25.120363583355044,24.646666418689893,25.346963863134132,24.595524955522446,25.417051432324712,0.9862,0.0004,991
FULL5000,official_il,no_safe_group,5000,-0.02475,0.0,-0.029,-0.020698749999999995,-0.029519190624759033,-0.020219089162785205,0.0056,0.9598,991
FULL5000,official_il,best_safe_PDMS,4802,1.5219388853451872,0.643266465219618,1.4539875989959368,1.5895417475658298,1.443507630765988,1.6056218652292298,0.5589337775926697,0.3758850478967097,977
FULL5000,official_il,Hit16,5000,0.2743,0.0,0.2629975,0.2858,0.2568483665191741,0.29238186222828805,0.4036,0.5586,991
FULL5000,official_il,GT_center_distance,5000,0.06625629114333671,0.06738116821302056,0.06469128986887769,0.06781836310885486,0.06446059482959796,0.06799829424686885,0.8778,0.0,991
FULL5000,original_grpo_11970,pairwise_ADE,5000,1.8221957394832746,1.8240475105121732,1.8206435466623445,1.8237900751030305,1.8205883851901072,1.8238491471825662,1.0,0.0,991
FULL5000,original_grpo_11970,pairwise_ADE64,5000,1.8220941771432757,1.8241355493664742,1.8206546074369923,1.82366628838405,1.8205184737418243,1.823660975286628,1.0,0.0,991
FULL5000,original_grpo_11970,centroid_displacement,5000,-0.0017065808489918708,1.77919864654541e-05,-0.002203846036605537,-0.0012261889656633137,-0.002255819937840856,-0.001121700210412275,0.5006,0.0,991
FULL5000,original_grpo_11970,feasible_rate,5000,-0.173890625,-0.125,-0.179231328125,-0.16875,-0.18071116561983883,-0.16747458743752522,0.0362,0.1042,991
FULL5000,original_grpo_11970,mean_PDMS,5000,-15.944544905737205,-12.465927792793735,-16.28456786483202,-15.601257455998434,-16.37836085997879,-15.5252955633636,0.0114,0.0006,991
