scope,protocol,model,reference,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,eval,original_grpo_11970,official_il,pairwise_ADE,5000,0.026041085656173527,0.025659920647740364,0.025549857776374557,0.026517485409672373,0.02533489079893408,0.02678550705264898,0.9502,0.0,991
FULL5000,eval,original_grpo_11970,official_il,pairwise_ADE64,5000,0.026013411115109922,0.025618217885494232,0.02554022183990106,0.02649299879638478,0.025356602286070423,0.026745685762981843,0.9504,0.0,991
FULL5000,eval,original_grpo_11970,official_il,centroid_displacement,5000,0.5014130663484335,0.4674235135316849,0.4957093590094522,0.5068809422543272,0.4929657048235714,0.510263370885547,1.0,0.0,991
FULL5000,eval,original_grpo_11970,official_il,feasible_rate,5000,0.015221875,0.0,0.009752578125,0.021072109375000002,0.008485206184186826,0.021861455979778056,0.0864,0.88,991
FULL5000,eval,original_grpo_11970,official_il,mean_PDMS,5000,3.383799428131115,0.5388690027200838,3.00876131766385,3.7602845490530727,2.9963671018402502,3.795835330924171,0.5708,0.3022,991
FULL5000,eval,original_grpo_11970,official_il,min_PDMS,5000,5.854381438174528,0.7016157517586166,5.316911985773101,6.392776749685654,5.285985329023249,6.422559838062655,0.5784,0.3094,991
FULL5000,eval,original_grpo_11970,official_il,max_PDMS,5000,1.9052126908463811,0.0,1.6109297638845193,2.21987797383629,1.5726392774592493,2.2532274620978563,0.4888,0.3764,991
FULL5000,eval,original_grpo_11970,official_il,CVaR25_PDMS,5000,4.98984505183074,0.6576583644870482,4.495546983291503,5.502920608019746,4.440022867019175,5.491931622380939,0.5764,0.306,991
FULL5000,eval,original_grpo_11970,official_il,Spread_AUC,5000,0.021841595315560697,0.021565191447734833,0.02142494114331901,0.02224279160115868,0.021271432080325944,0.02243073323601735,0.9482,0.0,991
FULL5000,eval,original_grpo_11970,official_il,hard_failure_rate,5000,-0.01788125,0.0,-0.02142515625,-0.014253046875,-0.021832685776200105,-0.014068966636597234,0.0072,0.9388,991
FULL5000,eval,original_grpo_11970,official_il,zero_score_rate,5000,-0.017346875,0.0,-0.020953437499999998,-0.013796718749999999,-0.021316909939139362,-0.013554703357356857,0.0072,0.9402,991
FULL5000,eval,original_grpo_11970,official_il,std_PDMS,5000,-1.5189873003890217,0.0,-1.7219565820310618,-1.3200702417198322,-1.730206759593397,-1.315796489243752,0.2584,0.3072,991
FULL5000,eval,original_grpo_11970,official_il,no_safe_group,5000,-0.002,0.0,-0.00675,0.00265,-0.007265585395278293,0.0035734188621437254,0.0184,0.9604,991
FULL5000,eval,original_grpo_11970,official_il,best_safe_PDMS,4736,1.1534839391519658,0.0,1.0655952155872628,1.2415644939699424,1.0372875364622665,1.2782738119907475,0.48184121621621623,0.3859797297297297,974
FULL5000,eval,original_grpo_11970,official_il,Hit16,5000,0.2093,0.0,0.1956,0.22340125,0.18716327093453494,0.23221991533459013,0.3308,0.5836,991
FULL5000,eval,original_grpo_11970,official_il,GT_center_distance,5000,0.26848514683432806,0.2523073006585625,0.261961624925849,0.2751876931226051,0.25993260407499136,0.2773307822849764,0.88,0.0,991
FULL5000,eval,psi_sft,official_il,pairwise_ADE,5000,0.16114551550783218,0.15391872823238373,0.15967480369581374,0.16257533230440693,0.15877806748719575,0.16365931460809047,1.0,0.0,991
