scope,membership,model,protocol,kind,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,PSI_TRAIN,original_grpo_11970,eval,ALL,hit64_0p5,4111,-0.07273169545122841,0.0,-0.08002918997810751,-0.06518993756588017,-0.08072932017400226,-0.06488573846661116,0.008270493797129653,0.8730235952323036,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,ALL,hit16_0p5,4111,-0.0793906592070056,0.0,-0.08672894875537178,-0.07196064420660017,-0.08743615992798932,-0.07192673411398857,0.015081488688883484,0.8287521284359036,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,ALL,mass64_0p5,4111,-0.10231948836455039,0.0,-0.10986631395443121,-0.09491862850178383,-0.110740562094158,-0.093533343871981,0.06324495256628558,0.6236925322306008,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,ALL,nearest_ADE,4111,0.0110370555040328,0.028536558151245117,0.004111569490620372,0.017696821666668132,0.0006001227863830945,0.020590980443490482,0.5490148382388713,0.0,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,ALL,weighted_hit64_0p5,4111,-0.08055217699307475,0.0,-0.08855539993959545,-0.07260976638187314,-0.08900428957310542,-0.07241180546875459,0.008513743614692289,0.8727803454147409,802
FULL5000,PSI_TRAIN,psi_sft,eval,ALL,hit64_0p5,4111,-0.003405497445876916,0.0,-0.009608367793724155,0.0030406227195329603,-0.009425642149447957,0.0029794839365698627,0.03454147409389443,0.92434930673802,802
FULL5000,PSI_TRAIN,psi_sft,eval,ALL,hit16_0p5,4111,-0.012588178058866455,0.0,-0.018365614611205706,-0.006638692937646964,-0.0185851255492643,-0.006581506258134406,0.047190464607151546,0.8776453417659936,802
FULL5000,PSI_TRAIN,psi_sft,eval,ALL,mass64_0p5,4111,-0.05395394976891267,0.0,-0.05986829352651423,-0.04785721615786913,-0.0603076636480499,-0.04757986189770627,0.10119192410605692,0.6134760398929701,802
FULL5000,PSI_TRAIN,psi_sft,eval,ALL,nearest_ADE,4111,-0.10578767929160009,-0.07011300325393677,-0.11316214857761853,-0.09855120690295718,-0.11578835403416064,-0.09647086532394315,0.35295548528338605,0.0,802
FULL5000,PSI_TRAIN,psi_sft,eval,ALL,weighted_hit64_0p5,4111,-0.003891997167995103,0.0,-0.010374908874727055,0.0028098393792553395,-0.010735808367788749,0.0029665795444602247,0.03454147409389443,0.92434930673802,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,hit64_0p5,3677,-0.03689602030640921,0.0,-0.043287099990934635,-0.030595594234430243,-0.043947023484618,-0.02941926623931598,0.006255099265705739,0.9415284199075333,778
FULL5000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,hit16_0p5,3677,-0.038221829389901193,0.0,-0.044342647992022484,-0.032169567582268146,-0.04482908419874922,-0.031701349312922955,0.007342942616263258,0.9249388088115311,778
FULL5000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,mass64_0p5,3677,-0.03579047117215121,0.0,-0.04078564457551446,-0.031043727619889397,-0.04116543136789788,-0.03041495855342894,0.016317650258362796,0.8795213489257547,778
FULL5000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,nearest_ADE,3677,-0.040619390074701646,-0.02883613109588623,-0.04746349375413339,-0.03384662210563416,-0.049519639998363035,-0.03221838892755808,0.42997008430785966,0.0,778
