scope,model,protocol,scenes,groups,rollouts,pairwise_ADE,pairwise_ADE_median,pairwise_ADE_defined_scenes,pairwise_ADE64,pairwise_ADE64_median,pairwise_ADE64_defined_scenes,centroid_displacement,centroid_displacement_median,centroid_displacement_defined_scenes,feasible_rate,feasible_rate_median,feasible_rate_defined_scenes,mean_PDMS,mean_PDMS_median,mean_PDMS_defined_scenes,min_PDMS,min_PDMS_median,min_PDMS_defined_scenes,max_PDMS,max_PDMS_median,max_PDMS_defined_scenes,CVaR25_PDMS,CVaR25_PDMS_median,CVaR25_PDMS_defined_scenes,Spread_AUC,Spread_AUC_median,Spread_AUC_defined_scenes,hard_failure_rate,hard_failure_rate_median,hard_failure_rate_defined_scenes,zero_score_rate,zero_score_rate_median,zero_score_rate_defined_scenes,std_PDMS,std_PDMS_median,std_PDMS_defined_scenes,no_safe_group,no_safe_group_median,no_safe_group_defined_scenes,best_safe_PDMS,best_safe_PDMS_median,best_safe_PDMS_defined_scenes,Hit16,Hit16_median,Hit16_defined_scenes,GT_center_distance,GT_center_distance_median,GT_center_distance_defined_scenes,EP,EP_median,EP_defined_scenes,NC,NC_median,NC_defined_scenes,DAC,DAC_median,DAC_defined_scenes,TTC,TTC_median,TTC_defined_scenes,DDC,DDC_median,DDC_defined_scenes,Comfort,Comfort_median,Comfort_defined_scenes,centroid_abs_dx,centroid_abs_dx_median,centroid_abs_dx_defined_scenes,centroid_abs_dy,centroid_abs_dy_median,centroid_abs_dy_defined_scenes,centroid_endpoint_dx,centroid_endpoint_dx_median,centroid_endpoint_dx_defined_scenes,centroid_endpoint_dy,centroid_endpoint_dy_median,centroid_endpoint_dy_defined_scenes,CRN_policy_shift,CRN_policy_shift_median,CRN_policy_shift_defined_scenes
FULL5000,official_il,eval,5000,20000,320000,0.14548492841608823,0.14310221001505852,5000,0.14547368229329585,0.14335518330335617,5000,0.0,0.0,5000,0.9313125,1.0,5000,91.41399358942083,95.16477941774514,5000,87.8745588717968,93.92782762442391,5000,93.76646382375252,96.84104209408162,5000,89.10442312970808,94.3313197012614,5000,0.12170899140127003,0.11949753016233444,5000,0.02833125,0.0,5000,0.027796875,0.0,5000,2.1758741818804475,0.3086942024098678,5000,0.04385,0.0,5000,95.46994471316356,97.24155844515695,4802,0.27915,0.0,5000,0.3792696193292685,0.2872319552999475,5000,85.27389647603806,89.91282332964009,5000,99.50765625,100.0,5000,97.6359375,100.0,5000,97.45125,100.0,5000,98.3928125,100.0,5000,99.9825,100.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000
FULL5000,official_il,native_grpo,5000,20000,320000,1.9938799260556699,1.9937003552913666,5000,1.9937206166028976,1.992979347705841,5000,0.0,0.0,5000,0.692465625,0.734375,5000,69.01966745063118,73.91619256381756,5000,22.1145911799808,9.712887473674153,5000,96.68466769237405,99.11452044064566,5000,35.7999410268906,34.8898795447882,5000,1.5958393235206605,1.5961320400238037,5000,0.18354375,0.09375,5000,0.17885625,0.09375,5000,27.17041268211848,28.235994402552567,5000,0.0191,0.0,5000,96.91590266967631,99.10331081038095,4934,0.55345,0.75,5000,0.4455259104726052,0.35379689203064274,5000,70.65350405533015,73.30739139800744,5000,95.35421875,100.0,5000,85.81375,98.4375,5000,83.6309375,92.1875,5000,97.054375,100.0,5000,69.0715625,70.3125,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000
FULL5000,original_grpo_11970,eval,5000,20000,320000,0.17152601407226176,0.16882386431097984,5000,0.1714870934084058,0.16889195144176483,5000,0.5014130663484335,0.4674235135316849,5000,0.946534375,1.0,5000,94.79779301755194,98.36843577128305,5000,93.72894030997132,97.39293853862809,5000,95.6716765145989,99.28534289615672,5000,94.09426818153881,97.72092069045789,5000,0.14355058671683074,0.14097673445940018,5000,0.01045,0.0,5000,0.01045,0.0,5000,0.6568868814914262,0.23899290299203224,5000,0.04185,0.0,5000,96.65816089545503,99.54224924142717,4807,0.48845,0.25,5000,0.6477547661635965,0.5765090279649403,5000,90.03520324212467,96.44188580803639,5000,99.5384375,100.0,5000,99.3965625,100.0,5000,98.445,100.0,5000,97.47625,100.0,5000,100.0,100.0,5000,0.4394682894423604,0.4062187671661377,5000,0.16192602698132397,0.1403968632221222,5000,0.29993243535757064,0.2863585948944092,5000,-0.10300082076787949,-0.06077854335308075,5000,0.5041449470579624,0.47065508365631104,5000
FULL5000,original_grpo_11970,native_grpo,5000,20000,320000,1.9937217535555363,1.9953487664461136,5000,1.9935812705516816,1.9940977096557617,5000,0.49970648549944163,0.46939465403556824,5000,0.77264375,0.84375,5000,78.85324811181472,82.7477360072418,5000,31.33626449437896,27.480462869578037,5000,97.7709665631994,100.0,5000,50.17861346864236,54.88117870471454,5000,1.5957109128475189,1.5971956849098206,5000,0.09416875,0.046875,5000,0.0913375,0.03125,5000,22.112639623837424,21.197456317056357,5000,0.0199,0.0,5000,97.93154526698736,100.0,4929,0.5986,1.0,5000,0.6718484987541815,0.6018680273667779,5000,81.36489655641631,85.67757641582665,5000,96.77796875,100.0,5000,93.6628125,100.0,5000,87.2834375,93.75,5000,95.53546875,100.0,5000,70.726875,71.875,5000,0.4369856048643589,0.4065890610218048,5000,0.16393666743673385,0.1421053409576416,5000,0.3002453577876091,0.2852449417114258,5000,-0.1102497777402401,-0.06983882188796997,5000,0.510892639541626,0.47903408110141754,5000
FULL5000,psi_sft,eval,5000,20000,320000,0.3066304439239204,0.2933086268603802,5000,0.3065875323146582,0.29357239603996277,5000,0.4294946530431509,0.3888681083917618,5000,0.917246875,1.0,5000,92.1051916304901,96.73650323962102,5000,85.80473169006449,94.77650267082151,5000,95.7302237873953,99.27659063849279,5000,88.46021379755929,95.36350177995124,5000,0.2501404243141413,0.23899121582508087,5000,0.0353625,0.0,5000,0.033765625,0.0,5000,3.5115073961721164,0.5516744351495229,5000,0.0399,0.0,5000,97.22689885489446,99.53440546266333,4829,0.5628,1.0,5000,0.5790329006094357,0.4977467423709834,5000,88.34695861121907,93.91219718937398,5000,99.18984375,100.0,5000,97.2921875,100.0,5000,96.60125,100.0,5000,98.039375,100.0,5000,99.9946875,100.0,5000,0.3958126331403852,0.35074615478515625,5000,0.10427204805389047,0.06962691992521286,5000,0.4049201777786016,0.38880062103271484,5000,-0.032075761061906814,-0.02909669280052185,5000,0.4613296937659383,0.4182860106229782,5000
FULL5000,psi_sft,native_grpo,5000,20000,320000,2.2546095109462736,2.2546935975551605,5000,2.2543711416721344,2.2540409564971924,5000,0.487535982118547,0.4572431147098541,5000,0.62961875,0.65625,5000,65.79078377571624,69.5217580030978,5000,17.344277543698414,0.0,5000,97.3496713399464,99.79585247703261,5000,30.134761291800853,23.38020149300054,5000,1.8040405127763748,1.803428828716278,5000,0.2176125,0.15625,5000,0.2115875,0.140625,5000,29.511293966488868,31.866873941403433,5000,0.0234,0.0,5000,97.74554061136192,99.77499957730996,4928,0.5841,1.0,5000,0.6794202403333346,0.5985926642947794,5000,70.91794271242428,74.5817298324543,5000,92.54828125,99.21875,5000,84.93125,96.875,5000,78.5509375,87.5,5000,95.19875,100.0,5000,63.0496875,64.0625,5000,0.4419354959845543,0.4068790376186371,5000,0.13335405823290347,0.10252676159143448,5000,0.6789035293519496,0.6830363273620605,5000,-0.04876179940700531,-0.03326679766178131,5000,0.8216131510138511,0.7962692379951477,5000
NEW4000,official_il,eval,4000,16000,256000,0.14563811413152145,0.14320398308336735,4000,0.1456172616519034,0.14351102709770203,4000,0.0,0.0,4000,0.92926171875,1.0,4000,91.2233173272386,95.12412772701953,4000,87.62688639667948,93.89956001786106,4000,93.66370190504959,96.82525772719139,4000,88.86678488986843,94.31936373916506,4000,0.12184023931855335,0.11951471120119095,4000,0.030109375,0.0,4000,0.02944140625,0.0,4000,2.233716014992399,0.3117871879390203,4000,0.04475,0.0,4000,95.48013299624527,97.24410924079501,3839,0.278625,0.0,4000,0.3791322325691415,0.2875095719410862,4000,85.15424203715776,89.9319537580653,4000,99.5666015625,100.0,4000,97.43671875,100.0,4000,97.405078125,100.0,4000,98.427734375,100.0,4000,99.978125,100.0,4000,0.0,0.0,4000,0.0,0.0,4000,0.0,0.0,4000,0.0,0.0,4000,0.0,0.0,4000
NEW4000,official_il,native_grpo,4000,16000,256000,1.9934638323783875,1.9929656088352203,4000,1.9931164067089557,1.9915955066680908,4000,0.0,0.0,4000,0.6928671875,0.75,4000,68.96741915198072,74.03858951008172,4000,22.147538333411948,9.86491687653347,4000,96.67621511368775,99.09126817199697,4000,35.804363398907,35.41666666666667,4000,1.5955384954810143,1.5954028367996216,4000,0.184015625,0.09375,4000,0.17918359375,0.09375,4000,27.144052401162654,28.006389088884468,4000,0.0185625,0.0,4000,96.89899670152658,99.09456840849163,3949,0.5538125,0.75,4000,0.4448286404701316,0.35267593468797637,4000,70.63038229336743,73.30739139800744,4000,95.4341796875,100.0,4000,85.719140625,98.4375,4000,83.68671875,92.1875,4000,97.0939453125,100.0,4000,69.000390625,70.3125,4000,0.0,0.0,4000,0.0,0.0,4000,0.0,0.0,4000,0.0,0.0,4000,0.0,0.0,4000
NEW4000,original_grpo_11970,eval,4000,16000,256000,0.1718355432115495,0.16889364831149578,4000,0.17178045964613556,0.16905031353235245,4000,0.5019809007998556,0.4676882326602936,4000,0.94665625,1.0,4000,94.73303719358104,98.37477258164137,4000,93.63027314964796,97.39058396885139,4000,95.63583050552253,99.24212050321204,4000,93.99163880920516,97.69205992332074,4000,0.1438109037782997,0.1410670056939125,4000,0.01094921875,0.0,4000,0.01094921875,0.0,4000,0.689113355466975,0.23855338413217198,4000,0.042,0.0,4000,96.65503271283728,99.55508309706626,3845,0.48975,0.25,4000,0.6500655029840254,0.5773520175355602,4000,89.98241426459448,96.46562313054787,4000,99.61484375,100.0,4000,99.277734375,100.0,4000,98.4921875,100.0,4000,97.5189453125,100.0,4000,100.0,100.0,4000,0.4398787656482309,0.40708501636981964,4000,0.1626729186102748,0.1420145109295845,4000,0.30080682443082335,0.2868983745574951,4000,-0.10106554563343526,-0.0601857453584671,4000,0.50473518005386,0.47101764380931854,4000
NEW4000,original_grpo_11970,native_grpo,4000,16000,256000,1.9933802853003144,1.9943975061178207,4000,1.9930686825215818,1.9934526085853577,4000,0.5000856781136245,0.4694560617208481,4000,0.77318359375,0.84375,4000,78.80219888743831,82.66146110365767,4000,31.45927838685176,27.199475523667026,4000,97.77305464308196,100.0,4000,50.206283568617756,54.69384520353899,4000,1.5954611159563064,1.596741497516632,4000,0.0942421875,0.046875,4000,0.09133203125,0.03125,4000,22.070976503075638,21.25322908851851,4000,0.0195,0.0,4000,97.92526381658135,100.0,3943,0.5978125,1.0,4000,0.6736967917735096,0.6046945380428981,4000,81.34806422412943,85.61269770104018,4000,96.82890625,100.0,4000,93.617578125,100.0,4000,87.29453125,93.75,4000,95.61640625,100.0,4000,70.64765625,71.875,4000,0.4371956212557852,0.4069070518016815,4000,0.16463271284662187,0.14297139644622803,4000,0.30137037870287897,0.2848639488220215,4000,-0.10836580896377564,-0.06893719732761383,4000,0.5113545924648643,0.47913339734077454,4000
