scope,psi_membership,model,protocol,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,PSI_TRAIN,original_grpo_11970,eval,pairwise_ADE64,4111,0.025110090792548827,0.024582140147686005,0.02459916216820819,0.02560986783054171,0.02444756914021102,0.02579560735174918,0.9472147895889078,0.0,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,centroid_displacement,4111,0.493173371173117,0.4587588310241699,0.48681162904020975,0.4996388551752133,0.48482329723447365,0.50266177902368,1.0,0.0,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,feasible_rate,4111,0.017441772074920942,0.0,0.011634087661153003,0.023401582644125517,0.010654657582817426,0.02392541733248186,0.0831914376064218,0.8902943322792508,802
FULL5000,PSI_TRAIN,original_grpo_11970,eval,mean_PDMS,4111,3.2061033727550416,0.3173315990019461,2.835764505294476,3.5821832549928954,2.8171014562370904,3.618813366702116,0.5465823400632449,0.3198735100948674,802
FULL5000,PSI_TRAIN,psi_sft,eval,pairwise_ADE64,4111,0.15720232210308493,0.14931708574295044,0.15561400285109378,0.15884392961768634,0.1549059583052508,0.15964143459193636,1.0,0.0,802
FULL5000,PSI_TRAIN,psi_sft,eval,centroid_displacement,4111,0.4183538847769867,0.3754527270793915,0.41042323463984476,0.42625829879950244,0.4070912980050619,0.42984350521788656,1.0,0.0,802
FULL5000,PSI_TRAIN,psi_sft,eval,feasible_rate,4111,-0.014005868401848698,0.0,-0.018970160088786183,-0.008760699191194356,-0.01914370124633976,-0.009008123705540497,0.05375820968134274,0.820481634638774,802
FULL5000,PSI_TRAIN,psi_sft,eval,mean_PDMS,4111,0.6312679240370267,0.15902347423983088,0.22199396456190634,1.0188063958216265,0.20243060226450493,1.0446935535988255,0.5254196059352956,0.2833860374604719,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,pairwise_ADE64,4111,-0.0011450875794269894,0.0015308856964111328,-0.0017007222375101892,-0.0005714916575421847,-0.0018251277833218657,-0.00041124498785604415,0.5487715884213087,0.0,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,centroid_displacement,4111,0.49130485576199834,0.4583234488964081,0.48525754221271233,0.4975525991193274,0.4825143673522986,0.5003238826425653,1.0,0.0,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,feasible_rate,4111,0.0864791109219168,0.046875,0.08211182650206762,0.09074481953904161,0.08087688853008093,0.09237727576031951,0.6509365117976161,0.14765263926052055,802
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,mean_PDMS,4111,9.995064606782138,5.846069963777694,9.621574790921736,10.370853218996643,9.538178483186242,10.45525304953007,0.8929700802724398,0.002918997810751642,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,pairwise_ADE64,4111,0.25613891260666266,0.2572519779205322,0.25443720690701255,0.25793010184463866,0.25360560703673357,0.2587256357959896,1.0,0.0,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,centroid_displacement,4111,0.4746451593955425,0.438479483127594,0.4674717986756427,0.482021260049581,0.4635091009253317,0.48619814206338563,1.0,0.0,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,feasible_rate,4111,-0.06242778521041109,-0.046875,-0.0656855273960107,-0.05920843088664558,-0.06615302493326726,-0.058786127495145404,0.19897835076623693,0.11262466553150086,802
FULL5000,PSI_TRAIN,psi_sft,native_grpo,mean_PDMS,4111,-3.2579367702754936,-2.59299245447275,-3.513708013058535,-2.9957611190495053,-3.547159009145368,-3.000425572318391,0.3023595232303576,0.0017027487229384578,802
FULL5000,PSI_VALIDATION,original_grpo_11970,eval,pairwise_ADE64,889,0.03019063253923664,0.03041154146194458,0.02911461348424344,0.031274034312525,0.028477603452903795,0.031824209005425284,0.9651293588301463,0.0,189
