method,candidate,bridge_alpha,is_fill,qualified,ood_filler,fallback_level,raw_index,pdms,feasible,d_GT,core,boundary,far,HQ_boundary,HQ_far,local_mean,local_P10,local_CVaR20,local_feasible,hard_failure,robust_radius,robustness_AUC,worst_direction_drop,policy_distance_knn,r_knn,q_holdout,mahalanobis,maha_ratio,maha_percentile,E_rec,return_rate,epsilon,Q_E_rec,E_rec_0,E_rec_1,E_rec_2,contrastive,n_scenes
gt_distance,7.5,0.4723403166881428,0.0,1.0,0.0,0.0,100.33125,92.87479673293922,0.8925,0.3400283011466825,0.125,0.18375,0.69125,0.1525,0.5975,88.44846903350812,75.60390002017989,72.76462472344244,0.8380208333333333,0.04442708333333333,0.33287500000000003,0.042785492394920153,7.35417680288929,0.17308534621010727,5.781621105717615,86.1669921875,14.848175450711285,5.410246415407365,85.505859375,0.3141949592644106,0.7794384057971014,0.4431005759083706,0.20173507216184036,0.3095003115620626,0.308951679404582,0.3241328844780345,1.0,50
pareto,7.5,0.5316452325452325,0.0,1.0,0.0,0.0,119.3775,92.84989224738749,0.87625,0.645423264897381,0.04375,0.1125,0.84375,0.1075,0.82125,88.9909336808138,78.68918413887565,75.67872361719753,0.8244270833333333,0.03567708333333333,0.3298125,0.037307254917037194,6.477361118726292,0.31186178712362844,9.363542546222863,94.2900390625,20.80199284920679,7.45978620177906,94.08984375,0.5263690020605598,0.5203804347826086,0.4431005759083706,0.20173507216184036,0.5176344757251765,0.5200669033371884,0.5414056199015644,1.0,50
pc_mts,7.5,0.24444444444444446,0.9375,0.0,0.0,4.125,3.08125,93.70122817603429,0.9,0.41690086051261466,0.00375,0.99625,0.0,0.93625,0.0,87.34580486877361,70.16988629420943,67.55624022575448,0.81421875,0.05255208333333333,0.2976875,0.06277168351415717,10.272518135674272,0.04515044356687173,1.4156359885033687,84.6689453125,3.695680561736174,1.3279866254315456,82.244140625,0.25196852395311,0.8890398550724639,0.4431005759083706,0.20173507216184036,0.24034147653931184,0.2576257040541943,0.25793838940317865,1.0,50
score,7.5,0.5318804049485868,0.0,1.0,0.0,0.0,109.30375,94.05660520768559,0.9,0.578070993553308,0.05125,0.10125,0.8475,0.10125,0.8475,89.98463606596138,79.4753018416729,76.33108930867564,0.8444791666666667,0.035625,0.3339375,0.03952575670627119,6.838422273002082,0.2869743879733301,8.79278454664628,93.9033203125,19.091612848974663,6.849735762475202,94.0048828125,0.5182912401733515,0.5330615942028986,0.4431005759083706,0.20173507216184036,0.5090837793870141,0.5144731373647633,0.5313167931289291,1.0,50
