method,robust_radius_seeded,local_feasible_seeded,robust_radius_initial,local_feasible_initial
gt_distance,0.414546875,0.940515625,0.4146499999999999,0.9404921875
pareto,0.431225,0.9423385416666666,0.4313875,0.9423776041666666
pc_mts,0.38910625,0.9168541666666666,0.389340625,0.9168854166666668
score,0.422425,0.9381276041666666,0.42253125,0.938109375
