n_rollouts,metric,model,delta_to_IL_mean,subsample_p025,subsample_p975,fraction_repeats_model_greater_IL
16,pairwise_ADE,mts_8692,-0.06079543009400368,-0.06340011060237885,-0.05835528988391161,0.0
16,pairwise_ADE,mts_8751,-0.06154400482773781,-0.06495311576873064,-0.05717174466699362,0.0
16,pairwise_ADE,grpo_9041,0.025704240426421165,0.02522141896188259,0.026163266971707344,1.0
16,pairwise_ADE,apr_9145,0.03830121085047722,0.03764386959373951,0.03899738937616348,1.0
16,spread_auc,mts_8692,-0.03885054588317871,-0.04252823926508427,-0.03560495916754008,0.0
16,spread_auc,mts_8751,-0.03602883964776993,-0.04136139117181301,-0.02977058999240399,0.0
16,spread_auc,grpo_9041,0.021552743390202522,0.021148175373673438,0.021948549896478653,1.0
16,spread_auc,apr_9145,0.030309736728668213,0.029716981388628484,0.030906151048839092,1.0
16,hit8_1,mts_8692,-0.06633499999999998,-0.07699999999999999,-0.05647500000000003,0.0
16,hit8_1,mts_8751,-0.015464999999999965,-0.026312499999999968,-0.005187499999999999,0.0
16,hit8_1,grpo_9041,0.18441,0.17500000000000004,0.19199999999999995,1.0
16,hit8_1,apr_9145,0.193555,0.18545,0.20276249999999996,1.0
32,pairwise_ADE,mts_8692,-0.06080906465649605,-0.06220472231507301,-0.059092468582093716,0.0
32,pairwise_ADE,mts_8751,-0.06166974455118179,-0.06418299172073602,-0.05947736147791148,0.0
32,pairwise_ADE,grpo_9041,0.02570979669690132,0.02548803687095642,0.025954604893922806,1.0
32,pairwise_ADE,apr_9145,0.038287028670310974,0.03790561370551586,0.038623464107513425,1.0
32,spread_auc,mts_8692,-0.03522232174873352,-0.037006322480738166,-0.033157698623836045,0.0
32,spread_auc,mts_8751,-0.029763538390398026,-0.0351693544536829,-0.02524047661572696,0.0
32,spread_auc,grpo_9041,0.021699536591768265,0.021509255282580853,0.021895013749599457,1.0
32,spread_auc,apr_9145,0.03043449856340885,0.030088558606803418,0.03071591556072235,1.0
32,hit8_1,mts_8692,-0.06630999999999998,-0.07188125,-0.06075,0.0
32,hit8_1,mts_8751,-0.015522499999999986,-0.021131249999999976,-0.009368749999999995,0.0
32,hit8_1,grpo_9041,0.1844275,0.18,0.18963124999999997,1.0
32,hit8_1,apr_9145,0.19355250000000004,0.18861875,0.1995125,1.0
64,pairwise_ADE,mts_8692,-0.06073501706123352,-0.06073501706123352,-0.06073501706123352,0.0
64,pairwise_ADE,mts_8751,-0.061312783509492874,-0.061312779784202576,-0.061312779784202576,0.0
64,pairwise_ADE,grpo_9041,0.02568867616355419,0.02568867802619934,0.02568867802619934,1.0
64,pairwise_ADE,apr_9145,0.038283053785562515,0.03828305006027222,0.03828305006027222,1.0
64,spread_auc,mts_8692,-0.032183412462472916,-0.032183416187763214,-0.032183416187763214,0.0
64,spread_auc,mts_8751,-0.022713126614689827,-0.022713124752044678,-0.022713124752044678,0.0
64,spread_auc,grpo_9041,0.021749692037701607,0.021749690175056458,0.021749690175056458,1.0
64,spread_auc,apr_9145,0.03048732690513134,0.03048732876777649,0.03048732876777649,1.0
64,hit8_1,mts_8692,-0.06623125,-0.06900625,-0.06336874999999997,0.0
64,hit8_1,mts_8751,-0.015074999999999998,-0.01756562500000001,-0.012309374999999978,0.0
64,hit8_1,grpo_9041,0.18436000000000002,0.182,0.187190625,1.0
64,hit8_1,apr_9145,0.19363374999999997,0.191,0.19637500000000002,1.0
