command,checkpoint,pairwise_ade,spread_auc,spread_ratio_il,center_shift_from_il,D_positive,hit8_1,feasible_rate,mean_pdms,compressed,strongly_compressed,hit8_delta_IL,mean_pdms_delta_IL,n_scenes,median_SR
left,apr_9145,0.18485002304432224,0.1513782285467299,1.26136310648947,0.7073037952065943,0.19385155042012528,0.40189243027888444,0.9291583665338645,96.17820515177242,0.11553784860557768,0.0,0.19721115537848605,3.44656624022204,251,1.237083343923578
left,grpo_9041,0.16653092208394138,0.13836410372568367,1.153125898751566,0.5409960233832736,0.1673376734767641,0.36205179282868527,0.9044447211155379,95.79532794877255,0.08366533864541832,0.0,0.15737051792828685,3.0636890372221783,251,1.1410328202258224
left,mts_8692,0.11198815927049711,0.12453398590331485,0.9817845179911003,0.420290554573099,0.10618310442659999,0.1947211155378486,0.9342629482071713,94.38502447035731,0.749003984063745,0.6055776892430279,-0.0099601593625498,1.6533855588069364,251,0.4381545914663078
left,mts_8751,0.08892561283448949,0.10253981253093274,0.874417762109401,0.4350200215599451,0.18653872075308225,0.25747011952191234,0.9327066733067729,95.36029044690501,0.8326693227091634,0.7131474103585658,0.052788844621513946,2.6286515353546345,251,0.3907323794437323
left,official_il,0.14688534101392078,0.12157688532886839,1.0,0.0,0.11759813087152649,0.20468127490039842,0.897410358565737,92.73163891155038,0.0,0.0,0.0,0.0,251,1.0
right,apr_9145,0.19375972429747665,0.158975730619849,1.3728812962984487,0.889181545506353,0.20297565375055582,0.5728260869565217,0.935054347826087,96.20827665805342,0.0782608695652174,0.0,0.27717391304347827,7.553868502065444,115,1.344122470337934
right,grpo_9041,0.17538820555567325,0.14504534592207508,1.2443637726061636,0.6482752869958462,0.1758202696766923,0.5358695652173913,0.9235054347826087,95.50648740475238,0.008695652173913044,0.0,0.24021739130434783,6.852079248764399,115,1.240602854859617
right,mts_8692,0.08731239755766372,0.10792823004460574,0.914315422097567,0.3934193022225214,0.10094911305476786,0.2554347826086957,0.9309782608695653,91.47811221769459,0.7565217391304347,0.5565217391304348,-0.04021739130434782,2.823704061706616,115,0.4646242452566126
right,mts_8751,0.08179322455632966,0.09170530315450706,0.7791052464064154,0.42337223803219587,0.13083967860093557,0.3076086956521739,0.9267663043478261,91.16133904331696,0.808695652173913,0.6434782608695652,0.011956521739130435,2.5069308873289837,115,0.4449469128719933
right,official_il,0.14222266550648954,0.11757180794388632,1.0,0.0,0.11788972240427263,0.2956521739130435,0.8938858695652174,88.65440815598797,0.0,0.0,0.0,0.0,115,1.0
straight,apr_9145,0.1804307765879912,0.15217331634680586,1.2498781751018466,0.8349599109651162,0.19362614103784295,0.49408517350157727,0.9716827681388013,94.87480834991338,0.19085173501577288,0.0015772870662460567,0.17981072555205047,2.3135926122276413,634,1.1969287355506237
straight,grpo_9041,0.1711507410284264,0.14607063903229398,1.2042773707835692,0.4581766702963351,0.17220568619004942,0.5031545741324921,0.9670987776025236,94.68495096464291,0.04416403785488959,0.0,0.1888801261829653,2.12373522695716,634,1.1900345055875392
straight,mts_8692,0.07240507847067541,0.07321056790586154,0.6115954875273479,0.41302785051733915,0.08503889002815236,0.22318611987381703,0.987480283911672,93.85378103690215,0.8706624605678234,0.5741324921135647,-0.09108832807570978,1.2925652992164087,634,0.4536682952085893
straight,mts_8751,0.0816253203442137,0.09979804939607982,0.8447407328785045,0.48872268785743117,0.20263968179902883,0.2701104100946372,0.9888850552050473,94.26485495257836,0.8517350157728707,0.6466876971608833,-0.04416403785488959,1.7036392148926145,634,0.4362648380095012
straight,official_il,0.14442579979099118,0.12339453851333407,1.0,0.0,0.11901442611727998,0.3142744479495268,0.9642152996845426,92.56121573768574,0.0,0.0,0.0,0.0,634,1.0
