metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,226,0.06456662951659965,0.03256075060790072,0.1022177406529594,0.10176991150442478
pdms,pc_mts - pareto,226,0.17868418709955045,0.06122762134946861,0.3314063509898131,0.10176991150442478
pdms,pc_mts - gt_distance,226,0.19778522957156416,0.11007714398631294,0.30958532008400463,0.13274336283185842
d_GT,pc_mts - score,226,0.24111341924236968,0.20796097390199056,0.2747094008712367,0.9292035398230089
d_GT,pc_mts - pareto,226,-0.10220233782556419,-0.1256465377888327,-0.07846313689577625,0.2610619469026549
d_GT,pc_mts - gt_distance,226,0.06431402063295096,0.03120932110653111,0.1012975739842078,0.4778761061946903
q_holdout,pc_mts - score,226,-21.293599626659294,-23.427248254286507,-18.92457134955752,0.10176991150442478
q_holdout,pc_mts - pareto,226,-20.632907563606196,-22.404623116012168,-18.743151099280972,0.05752212389380531
q_holdout,pc_mts - gt_distance,226,-19.24325048396018,-21.206092496888825,-17.27248470340155,0.07079646017699115
r_knn,pc_mts - score,226,-3.9976833505071134,-4.676174984861143,-3.368341547674301,0.04424778761061947
r_knn,pc_mts - pareto,226,-7.030811785472657,-7.608965432674334,-6.449502351803196,0.022123893805309734
r_knn,pc_mts - gt_distance,226,-6.074301837227022,-6.795336584024946,-5.420464722351885,0.035398230088495575
maha_ratio,pc_mts - score,226,-2.706507774506055,-3.022254686796122,-2.4292096205796425,0.05752212389380531
maha_ratio,pc_mts - pareto,226,-7.882063438286776,-8.521380108572496,-7.287245205243259,0.022123893805309734
maha_ratio,pc_mts - gt_distance,226,-6.058644303334109,-6.665186120447996,-5.480705871054432,0.02654867256637168
maha_percentile,pc_mts - score,226,-25.01922877488938,-27.189309449322455,-22.82899029487002,0.08849557522123894
maha_percentile,pc_mts - pareto,226,-23.078634886615045,-24.917559328332413,-21.23042013792865,0.05752212389380531
maha_percentile,pc_mts - gt_distance,226,-22.03898472068584,-23.94519367049226,-20.12445230399613,0.05752212389380531
E_rec,pc_mts - score,109,-0.141955419138091,-0.18419103409738252,-0.10410028371592521,0.1651376146788991
E_rec,pc_mts - pareto,109,-0.22143697387692646,-0.2483284310169129,-0.19517780711533664,0.06422018348623854
E_rec,pc_mts - gt_distance,109,-0.1833826149044849,-0.22056344041398968,-0.1506611644447922,0.06422018348623854
return_rate,pc_mts - score,109,0.22190366972477063,0.1659021406727829,0.2802059441896025,0.7247706422018348
return_rate,pc_mts - pareto,109,0.3677370030581039,0.32577408256880747,0.4095971903669727,0.9357798165137615
return_rate,pc_mts - gt_distance,109,0.2967316513761469,0.24913751911314985,0.34604357798165136,0.908256880733945
local_mean,pc_mts - score,226,-0.5458831711790416,-0.9618890141987305,-0.14963859023419446,0.22566371681415928
local_mean,pc_mts - pareto,226,-1.0441565476400005,-1.5157856882502136,-0.5787061216911908,0.29646017699115046
local_mean,pc_mts - gt_distance,226,-0.7354334619195367,-1.1645543151179787,-0.3149652736032302,0.3185840707964602
local_P10,pc_mts - score,226,-1.5774626934169071,-3.736691668829921,0.3910802162805384,0.13716814159292035
local_P10,pc_mts - pareto,226,-3.3573916446701757,-5.569096161733967,-1.4652118157952587,0.27876106194690264
local_P10,pc_mts - gt_distance,226,-2.3563110216622998,-4.2296314424133445,-0.5575064507690851,0.29646017699115046
local_CVaR20,pc_mts - score,226,-1.9840406934097532,-3.5211635323099424,-0.5438481731840594,0.19911504424778761
local_CVaR20,pc_mts - pareto,226,-4.473466881723045,-6.205962416949606,-2.7479872027463403,0.27876106194690264
local_CVaR20,pc_mts - gt_distance,226,-3.0857446796695913,-4.641944867995899,-1.6260153216647921,0.28761061946902655
local_feasible,pc_mts - score,226,-0.004770464601769914,-0.012087769634955756,0.00321574253318584,0.17699115044247787
local_feasible,pc_mts - pareto,226,-0.011373064159292035,-0.018425631452802366,-0.004897216076696166,0.23008849557522124
local_feasible,pc_mts - gt_distance,226,-0.013908093657817108,-0.02083362140486725,-0.0075820427728613546,0.23008849557522124
hard_failure,pc_mts - score,226,0.00374492994100295,0.00014979719764011759,0.007662990873893806,0.19469026548672566
hard_failure,pc_mts - pareto,226,0.010197732300884955,0.00595703125,0.014887824944690264,0.23893805309734514
hard_failure,pc_mts - gt_distance,226,0.00663716814159292,0.002984421091445427,0.0107508296460177,0.2168141592920354
robust_radius,pc_mts - score,226,-0.013011615044247787,-0.02175055309734513,-0.004286158738938051,0.16371681415929204
robust_radius,pc_mts - pareto,226,-0.023990597345132744,-0.03386442201327433,-0.015016247234513272,0.2345132743362832
robust_radius,pc_mts - gt_distance,226,-0.020105088495575227,-0.029798465154867265,-0.011572524889380528,0.22566371681415928
robustness_AUC,pc_mts - score,226,0.006062352816157605,0.0018463703091895322,0.010438205459812526,0.37168141592920356
robustness_AUC,pc_mts - pareto,226,0.012130278212722265,0.007335926534099178,0.017446639374649697,0.35398230088495575
robustness_AUC,pc_mts - gt_distance,226,0.009208054828576812,0.00492321328304994,0.01390854861747277,0.35398230088495575
worst_direction_drop,pc_mts - score,226,0.93340761838371,0.3536685357563992,1.5303304496267272,0.36283185840707965
