method,candidate,bridge_alpha,is_fill,qualified,ood_filler,fallback_level,raw_index,pdms,feasible,d_GT,core,boundary,far,HQ_boundary,HQ_far,local_mean,local_P10,local_CVaR20,local_feasible,hard_failure,robust_radius,robustness_AUC,worst_direction_drop,policy_distance_knn,r_knn,q_holdout,mahalanobis,maha_ratio,maha_percentile,E_rec,return_rate,epsilon,Q_E_rec,E_rec_0,E_rec_1,E_rec_2,contrastive,pool_diversity,unique_trajectories,unique_raw_count,source_entropy,source_count,n_scenes
gt_distance,7.5,0.47845348245858454,0.0,1.0,0.0,0.0,96.926875,95.85748700319647,0.9761875,0.32867022971489157,0.0900625,0.1139375,0.796,0.0608125,0.6196875,92.94992472294796,85.76263926359145,82.89394060821847,0.940515625,0.0277890625,0.414546875,0.028472447342094337,4.637281279399261,0.27435088618238185,8.422272158229484,90.2705078125,20.6918791563612,7.462638424600362,90.09697265625,0.44034948154957965,0.5557083333333334,0.41901299739331,0.19314283907413482,0.4308129529785365,0.4407652812595479,0.4494702115759719,0.276,0.24768440972469838,16.0,16.0,1.248647200600228,4.686,1000
pareto,7.5,0.6053118775597317,0.0,1.0,0.0,0.0,109.610875,97.12297900100862,0.9681875,0.7640199372315901,0.0274375,0.0543125,0.91825,0.05325,0.9114375,95.09979684789494,90.03735367155373,88.12116041316398,0.9423385416666666,0.018463541666666663,0.431225,0.019739169820372417,3.258860776365314,0.5711373795417721,17.155298921244956,96.619482421875,37.184117950220106,13.361768246449085,96.410693359375,0.7354648365592584,0.3128541666666667,0.41901299739331,0.19314283907413482,0.7207759904647246,0.7359717043731362,0.7496468151921872,0.276,0.37036125302765766,16.0,16.0,1.1413095649205356,4.447,1000
pc_mts,7.5,0.26623887587822015,0.6015625,0.412,0.0,3.0585,23.0154375,94.29005773787861,0.961375,0.4105082193668002,0.049125,0.950875,0.0,0.482375,0.0,90.66358795268214,81.49732031338047,78.19493524520666,0.9168541666666666,0.043955729166666666,0.38910625,0.03575377372447596,5.846571885219641,0.04464240772600803,1.2861530804000538,77.28447265625,3.427819856173563,1.2212316405234973,72.559033203125,0.22231898207962514,0.9139375,0.41901299739331,0.19314283907413482,0.21904499345482328,0.2228265592008829,0.22508539354708046,0.276,0.059678459127029425,15.908,6.375,0.14724806684469705,1.417,1000
score,7.5,0.695896385493701,0.0,1.0,0.0,0.0,73.366,97.39961750019889,0.96825,0.6021389494292525,0.02625,0.0433125,0.9304375,0.0433125,0.9304375,94.94192908772847,89.00328419995407,86.80801261821362,0.9381276041666666,0.021776041666666666,0.422425,0.024036590578635803,3.899334309718974,0.5352922443653302,15.946773091497418,96.95380859375,30.64353597876949,11.018463242631746,97.230078125,0.7051157512124628,0.3647916666666667,0.41901299739331,0.19314283907413482,0.6909063334525563,0.7059220459200441,0.7185188760217279,0.276,0.17380025622561376,16.0,16.0,0.4191918717477168,2.123,1000
