checkpoint,n_rollouts,metric,mean,subsample_p025,subsample_p975
apr_9145,16,pairwise_ADE,0.1830500215291977,0.18205514550209045,0.18401557467877866
apr_9145,16,spread_auc,0.15134795010089874,0.15047815889120103,0.15214939489960672
apr_9145,16,hit8_1,0.4795499999999999,0.4765,0.4825
apr_9145,32,pairwise_ADE,0.18308794498443604,0.18238066472113132,0.1837024461477995
apr_9145,32,spread_auc,0.1523228883743286,0.15174251645803452,0.15284382551908493
apr_9145,32,hit8_1,0.479725,0.478,0.48175
apr_9145,64,pairwise_ADE,0.18307283520698547,0.18307283520698547,0.18307283520698547
apr_9145,64,spread_auc,0.1527559906244278,0.15275602042675018,0.15275602042675018
apr_9145,64,hit8_1,0.47981625000000006,0.478875,0.48075
grpo_9041,16,pairwise_ADE,0.1704530268907547,0.16918244995176793,0.1717030070722103
grpo_9041,16,spread_auc,0.1425909548997879,0.14147812575101854,0.14365714825689793
grpo_9041,16,hit8_1,0.470405,0.466,0.4752625
grpo_9041,32,pairwise_ADE,0.1705106794834137,0.1697060078382492,0.17117519900202752
grpo_9041,32,spread_auc,0.14358791708946228,0.1429073356091976,0.144154566898942
grpo_9041,32,hit8_1,0.4706000000000001,0.46811875000000003,0.47325
grpo_9041,64,pairwise_ADE,0.1704784780740738,0.1704784631729126,0.1704784631729126
grpo_9041,64,spread_auc,0.14401839673519135,0.14401838183403015,0.14401838183403015
grpo_9041,64,hit8_1,0.4705425,0.469309375,0.471815625
mts_8692,16,pairwise_ADE,0.0839533731341362,0.081683393381536,0.08635727744549512
mts_8692,16,spread_auc,0.08218767493963242,0.07879051808267831,0.08563323076814414
mts_8692,16,hit8_1,0.21966000000000002,0.2147375,0.224525
mts_8692,32,pairwise_ADE,0.08399184048175812,0.08261214662343264,0.08547576125711202
mts_8692,32,spread_auc,0.0866660475730896,0.08476001750677824,0.08863155264407396
mts_8692,32,hit8_1,0.21986250000000002,0.21711875,0.223
mts_8692,64,pairwise_ADE,0.08405477553606033,0.08405476808547974,0.08405476808547974
mts_8692,64,spread_auc,0.09008526802062988,0.09008527547121048,0.09008527547121048
mts_8692,64,hit8_1,0.21995125000000001,0.218559375,0.221315625
mts_8751,16,pairwise_ADE,0.08320480585098267,0.07956818025559187,0.08702680468559265
mts_8751,16,spread_auc,0.0850093737244606,0.07918986976146698,0.09066374152898789
mts_8751,16,hit8_1,0.27053,0.2642375,0.2755
mts_8751,32,pairwise_ADE,0.08313117176294327,0.0808202987536788,0.08529281187802552
mts_8751,32,spread_auc,0.0921248346567154,0.08679199665784836,0.09649327341467141
mts_8751,32,hit8_1,0.27065,0.26711875,0.27388125
mts_8751,64,pairwise_ADE,0.08347701281309128,0.08347700536251068,0.08347700536251068
mts_8751,64,spread_auc,0.09955558180809021,0.09955556690692902,0.09955556690692902
mts_8751,64,hit8_1,0.2711075,0.26986875,0.272440625
official_il,16,pairwise_ADE,0.14474880695343018,0.1435804184526205,0.14573914855718612
official_il,16,spread_auc,0.12103822082281113,0.1200041837990284,0.12189811486750841
official_il,16,hit8_1,0.285995,0.27821250000000003,0.2947625
official_il,32,pairwise_ADE,0.14480091631412506,0.14414100162684917,0.14537320658564568
official_il,32,spread_auc,0.12188839167356491,0.12135524768382311,0.12238681856542825
official_il,32,hit8_1,0.2861725,0.2814875,0.291
official_il,64,pairwise_ADE,0.14478980004787445,0.14478978514671326,0.14478978514671326
official_il,64,spread_auc,0.1222686842083931,0.1222686916589737,0.1222686916589737
official_il,64,hit8_1,0.28618249999999995,0.283559375,0.28863125
