token,method,pool_diversity,unique_trajectories,unique_raw_count,source_entropy,source_count
23e39302332152b2,score,0.16329251860290311,16,16,0.5623351446188083,2
23e39302332152b2,pareto,0.16329251860290311,16,16,0.5623351446188083,2
23e39302332152b2,gt_distance,0.2262001479676547,16,16,1.2281058514681364,4
23e39302332152b2,pc_mts,0.005941089978132852,16,1,-0.0,1
411a748874035630,score,0.04999225765586842,16,16,-0.0,1
411a748874035630,pareto,0.46661155224847256,16,16,1.4226300262075475,5
411a748874035630,gt_distance,0.41555241951690564,16,16,1.7214023220140038,7
411a748874035630,pc_mts,0.14256304131111122,16,16,-0.0,1
79ebfc1d85bf5a51,score,0.3038134154571714,16,16,0.37677016125643675,2
79ebfc1d85bf5a51,pareto,0.3038134154571714,16,16,0.37677016125643675,2
79ebfc1d85bf5a51,gt_distance,0.08791487271792219,16,16,1.2996509635498974,5
79ebfc1d85bf5a51,pc_mts,0.005827484350685294,16,1,-0.0,1
40808270ce205b83,score,0.3642125218064933,16,16,0.5623351446188083,2
40808270ce205b83,pareto,0.3642125218064933,16,16,0.5623351446188083,2
40808270ce205b83,gt_distance,0.0936293339505406,16,16,-0.0,1
40808270ce205b83,pc_mts,0.005966827960310178,16,1,-0.0,1
86208267d61253c0,score,0.05050212432973304,16,16,-0.0,1
86208267d61253c0,pareto,0.5133130848230384,16,16,1.6304325826288886,6
86208267d61253c0,gt_distance,0.40707863669817773,16,16,1.8364223867541591,7
86208267d61253c0,pc_mts,0.15603021837887157,16,16,0.2337916587064593,2
f8268857204e554e,score,0.3380991861059231,16,16,0.7774621319109288,3
f8268857204e554e,pareto,0.33809918610592304,16,16,0.7774621319109288,3
f8268857204e554e,gt_distance,0.2511408310367785,16,16,1.5437891850588954,5
f8268857204e554e,pc_mts,0.005821437194703122,16,1,-0.0,1
1bf169a6aaf65858,score,0.050588415748568226,16,16,-0.0,1
1bf169a6aaf65858,pareto,0.5032707178173011,16,16,1.5746794417481091,7
1bf169a6aaf65858,gt_distance,0.35260012806461116,16,16,1.8407487285692812,7
1bf169a6aaf65858,pc_mts,0.13229815253487695,16,16,0.46341355882643,3
3764407c90d65df3,score,0.11685827546599221,16,16,1.4729377586898837,6
3764407c90d65df3,pareto,0.11685827546599221,16,16,1.4729377586898837,6
3764407c90d65df3,gt_distance,0.11685827546599221,16,16,1.4729377586898837,6
3764407c90d65df3,pc_mts,0.005909593312047392,16,1,-0.0,1
38cfd81687975661,score,0.3489568968172864,16,16,0.6210863745552451,2
38cfd81687975661,pareto,0.3489568968172864,16,16,0.6210863745552451,2
38cfd81687975661,gt_distance,0.2282214031892856,16,16,0.9840865030829147,3
38cfd81687975661,pc_mts,0.005754894377482502,16,1,-0.0,1
42e6895442ab5601,score,0.04934733384305501,16,16,-0.0,1
42e6895442ab5601,pareto,0.5241739261178595,16,16,1.541976432762825,6
42e6895442ab5601,gt_distance,0.32626913739183044,16,16,1.4614721293040243,5
42e6895442ab5601,pc_mts,0.1213735653195544,16,16,-0.0,1
b34272d337d350d2,score,0.12832460053602,16,16,0.37677016125643675,2
b34272d337d350d2,pareto,0.12832460053602,16,16,0.37677016125643675,2
b34272d337d350d2,gt_distance,0.12832460053602,16,16,0.37677016125643675,2
b34272d337d350d2,pc_mts,0.005988364008039557,16,1,-0.0,1
b23ede9a183b5b71,score,0.20325942050274157,16,16,0.7774621319109288,3
b23ede9a183b5b71,pareto,0.20325942050274157,16,16,0.7774621319109288,3
b23ede9a183b5b71,gt_distance,0.3185273501381385,16,16,1.5110861760736112,5
b23ede9a183b5b71,pc_mts,0.0060536935542343535,16,1,-0.0,1
fff951eab9f45288,score,0.36575968235371453,16,16,-0.0,1
fff951eab9f45288,pareto,0.36575968235371453,16,16,-0.0,1
fff951eab9f45288,gt_distance,0.22335422265828306,16,16,0.6931471805599453,2
fff951eab9f45288,pc_mts,0.0058647765535194485,16,1,-0.0,1
4fa9113617d254d4,score,0.0498241683290124,16,16,-0.0,1
4fa9113617d254d4,pareto,0.3954942654940262,16,16,1.6304325826288886,6
4fa9113617d254d4,gt_distance,0.3314032674020854,16,16,1.5437891850588954,5
4fa9113617d254d4,pc_mts,0.17298094392703037,16,16,0.4825775651770121,2
988785170de957da,score,0.09817752362101678,16,16,0.5623351446188083,2
988785170de957da,pareto,0.09817752362101678,16,16,0.5623351446188083,2
988785170de957da,gt_distance,0.09808351843776472,16,16,0.5623351446188083,2
988785170de957da,pc_mts,0.006080494970184943,16,1,-0.0,1
046b1cc13f0d5f9d,score,0.0521230614357989,16,16,-0.0,1
046b1cc13f0d5f9d,pareto,0.45291215039875066,16,16,1.5934032318284823,6
046b1cc13f0d5f9d,gt_distance,0.4028987400602789,16,16,1.6631355916141728,6
046b1cc13f0d5f9d,pc_mts,0.14287176867362603,16,16,-0.0,1
d7fbd35a0f315447,score,0.20597063644184008,16,16,0.7774621319109288,3
d7fbd35a0f315447,pareto,0.20597063644184008,16,16,0.7774621319109288,3
d7fbd35a0f315447,gt_distance,0.13999868242359034,16,16,0.9840865030829147,3
d7fbd35a0f315447,pc_mts,0.005955933487357619,16,1,-0.0,1
951957b841e05cfa,score,0.18507835592602292,16,16,1.3862943611198906,4
951957b841e05cfa,pareto,0.18507835592602292,16,16,1.3862943611198906,4
951957b841e05cfa,gt_distance,0.10400456080333452,16,16,0.2337916587064593,2
951957b841e05cfa,pc_mts,0.005923657204486197,16,1,-0.0,1
61db822891625c3b,score,0.13854390277025708,16,16,1.6843729712135975,6
61db822891625c3b,pareto,0.13854390277025708,16,16,1.6843729712135975,6
61db822891625c3b,gt_distance,0.13854390277025708,16,16,1.6843729712135975,6
61db822891625c3b,pc_mts,0.005752887464997789,16,1,-0.0,1
759e9e451eba5b47,score,0.1664505887624444,16,16,-0.0,1
759e9e451eba5b47,pareto,0.49114000227186877,16,16,0.9507489270509151,4
759e9e451eba5b47,gt_distance,0.1839360613955871,16,16,1.040839837423239,4
759e9e451eba5b47,pc_mts,0.006110466572075074,16,1,-0.0,1
9c05edf9d6e85716,score,0.14002017914241105,16,16,-0.0,1
9c05edf9d6e85716,pareto,0.3840113466190039,16,16,0.9470571522825082,3
9c05edf9d6e85716,gt_distance,0.14576035745495344,16,16,0.4825775651770121,2
9c05edf9d6e85716,pc_mts,0.006080519474287799,16,1,-0.0,1
467bbee636b65c84,score,0.2900303012302246,16,16,0.2337916587064593,2
467bbee636b65c84,pareto,0.2986017336973413,16,16,0.2337916587064593,2
467bbee636b65c84,gt_distance,0.2928639704524802,16,16,1.2820462400528454,4
467bbee636b65c84,pc_mts,0.0060548337344580394,16,1,-0.0,1
4f6409df56a85592,score,0.11595289190352084,16,16,1.5437891850588954,5
4f6409df56a85592,pareto,0.11595289190352084,16,16,1.5437891850588954,5
4f6409df56a85592,gt_distance,0.11595289190352084,16,16,1.5437891850588954,5
4f6409df56a85592,pc_mts,0.006025694577837317,16,1,-0.0,1
16ddb1838af755e3,score,0.17478850068019666,16,16,0.5623351446188083,2
16ddb1838af755e3,pareto,0.17478850068019666,16,16,0.5623351446188083,2
16ddb1838af755e3,gt_distance,0.33260473603670326,16,16,1.0397207708399179,3
16ddb1838af755e3,pc_mts,0.0060376415083810715,16,1,-0.0,1
2ce59f70a15b5ddf,score,0.050292450860843094,16,16,-0.0,1
2ce59f70a15b5ddf,pareto,0.4652851824287478,16,16,1.7170759801988817,7
2ce59f70a15b5ddf,gt_distance,0.44324321129520805,16,16,1.700164942414579,6
2ce59f70a15b5ddf,pc_mts,0.18992442619276378,16,16,0.2337916587064593,2
461fb854eaa3583e,score,0.05088041222154797,16,16,-0.0,1
461fb854eaa3583e,pareto,1.5052929616476576,16,16,1.6843729712135975,6
461fb854eaa3583e,gt_distance,0.2308442832545924,16,16,0.6931471805599453,2
461fb854eaa3583e,pc_mts,0.26642800136706224,16,16,0.37677016125643675,2
8b800af555d35794,score,0.06660105893200001,16,16,-0.0,1
8b800af555d35794,pareto,0.43797903391905135,16,16,1.6020559154587264,6
8b800af555d35794,gt_distance,0.36301446848255864,16,16,1.8407487285692812,7
8b800af555d35794,pc_mts,0.14261158294498077,16,16,0.9002560512685369,3
2ab1b3941f7153cb,score,0.18298819741126254,16,16,1.3686896376228386,5
2ab1b3941f7153cb,pareto,0.18298819741126254,16,16,1.3686896376228386,5
2ab1b3941f7153cb,gt_distance,0.18298819741126254,16,16,1.3686896376228386,5
2ab1b3941f7153cb,pc_mts,0.0058941963159423825,16,1,-0.0,1
4bc510a669d8549f,score,0.24381285270424577,16,16,1.2820462400528454,4
4bc510a669d8549f,pareto,0.2281193382406636,16,16,1.3334730391185028,4
4bc510a669d8549f,gt_distance,0.13399309246902094,16,16,0.6019239717322895,3
4bc510a669d8549f,pc_mts,0.04260524172674942,16,3,0.6210863745552451,2
3387bab95d41528a,score,0.049949600627014056,16,16,-0.0,1
3387bab95d41528a,pareto,0.7274428906639439,16,16,1.9273921261392744,8
3387bab95d41528a,gt_distance,0.29403757518182455,16,16,1.2440166957928942,5
3387bab95d41528a,pc_mts,0.10870268765744068,16,16,-0.0,1
e5acc98f52f458cc,score,0.15669804798351766,16,16,0.2337916587064593,2
e5acc98f52f458cc,pareto,0.17990248367145792,16,16,0.7029189307735104,3
e5acc98f52f458cc,gt_distance,0.259042778836493,16,16,0.9868994488385301,4
e5acc98f52f458cc,pc_mts,0.004179132806372336,16,1,-0.0,1
3e9026530c475726,score,0.14211852036650843,16,16,0.7774621319109288,3
3e9026530c475726,pareto,0.14211852036650843,16,16,0.7774621319109288,3
3e9026530c475726,gt_distance,0.21561361604587378,16,16,1.3421257227487469,4
3e9026530c475726,pc_mts,0.006005946834272555,16,1,-0.0,1
