token,boundary,boundary_feasible,boundary_feasible_quality,boundary_feasible_front,boundary_feasible_front_quality,primary,core_all_quality
23e39302332152b2,34,34,34,0,0,0,0
411a748874035630,17,17,17,17,17,17,11
79ebfc1d85bf5a51,17,17,17,0,0,0,0
40808270ce205b83,18,18,18,0,0,0,0
86208267d61253c0,21,21,21,20,20,20,13
f8268857204e554e,11,11,11,0,0,0,0
1bf169a6aaf65858,22,22,22,22,22,22,13
3764407c90d65df3,18,18,17,0,0,0,0
38cfd81687975661,20,20,20,0,0,0,0
42e6895442ab5601,17,17,17,17,17,17,15
b34272d337d350d2,11,11,11,0,0,0,0
b23ede9a183b5b71,14,14,14,0,0,0,0
fff951eab9f45288,61,61,61,0,0,0,0
4fa9113617d254d4,21,21,21,21,21,21,16
988785170de957da,18,18,18,0,0,0,0
046b1cc13f0d5f9d,14,14,14,14,14,14,18
d7fbd35a0f315447,18,18,12,0,0,0,0
951957b841e05cfa,21,21,21,0,0,0,0
61db822891625c3b,13,13,13,0,0,0,0
759e9e451eba5b47,21,21,21,0,0,0,0
9c05edf9d6e85716,26,26,19,0,0,0,0
467bbee636b65c84,9,9,8,0,0,0,0
4f6409df56a85592,10,10,8,1,1,1,0
16ddb1838af755e3,24,24,24,0,0,0,0
2ce59f70a15b5ddf,19,19,19,19,19,19,14
461fb854eaa3583e,21,21,21,21,21,21,11
8b800af555d35794,26,26,26,26,26,26,15
2ab1b3941f7153cb,27,27,27,0,0,0,0
4bc510a669d8549f,21,10,10,3,3,3,0
3387bab95d41528a,14,14,14,8,8,8,14
e5acc98f52f458cc,18,18,18,0,0,0,0
3e9026530c475726,14,14,14,0,0,0,0
2ae0a44cc4de5c4a,24,24,24,24,24,24,17
cc94486698ff58d1,34,34,27,0,0,0,0
969763763ce754a4,15,15,15,15,15,15,17
ff6ab495a139534e,9,9,9,0,0,0,0
70248e0bb43a503b,27,27,27,27,27,27,16
2a2403c9b08b53ac,20,20,20,0,0,0,0
854169aa74e95251,14,12,12,0,0,0,0
93a9927586995095,23,23,23,23,23,23,7
af62d866653053f6,14,14,14,0,0,0,0
17d296a87fb45380,18,18,18,0,0,0,0
5370751917315916,17,17,17,17,17,17,13
adaf33e4ba555709,13,12,12,0,0,0,0
1aa0acb229945e9b,16,16,16,0,0,0,0
fad9e78a17825042,20,20,17,0,0,0,0
4eaf32face4b5ece,14,14,14,14,14,14,16
2db045daf25c5bb7,17,17,17,0,0,0,0
b23f3d728c08529f,37,37,37,37,37,37,16
dc76a771066b5553,10,10,10,0,0,0,0
d76b0458667c59a2,12,12,12,12,12,12,19
8cf3b1868b2f5262,16,16,14,4,4,4,3
990bd9b32e5d5f60,21,21,21,1,1,1,0
6320ecb991675a39,16,16,16,0,0,0,0
66243e185353563a,12,12,12,0,0,0,0
cde84b97e6505437,15,15,15,0,0,0,0
d968f9c81b945be1,27,27,27,27,27,27,15
0a87bb919dbb58b6,19,19,19,0,0,0,0
fe5811497ace53af,18,18,18,0,0,0,0
1734440b807a58ef,15,15,15,0,0,0,0
480434fc72d455af,30,0,0,0,0,0,0
cb8e247140d55ab2,20,20,20,0,0,0,0
095770e79ccf5d82,15,15,15,15,15,15,19
d7f25a0ac141583a,16,16,15,0,0,0,0
4b0df2804f165dda,47,47,47,0,0,0,0
ab6ba1da1dd8592b,9,7,7,1,1,1,6
3feb7781f83754a7,13,13,13,13,13,13,18
6f471ee76c595c92,34,34,34,34,34,34,15
32516745ea1b59ef,22,22,22,0,0,0,1
a65dd6d24f575771,17,17,17,0,0,0,0
9ce305abb88f5ad0,17,17,17,0,0,0,0
7af6867add5b5f2c,11,11,11,0,0,0,0
b65e09c4d8125da0,14,14,14,0,0,0,0
cbe1e93e188f5490,22,22,22,2,2,2,0
