metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,1,-6.899105235048609,-6.899105235048609,-6.899105235048609,0.0
pdms,pc_mts - pareto,32,-0.9017219816828437,-2.0093066658709064,0.0,0.0
pdms,pc_mts - gt_distance,30,-0.25189980414511076,-0.6290191003768181,0.0,0.03333333333333333
E_rec,pc_mts - score,1,-0.9813711834140122,-0.9813711834140122,-0.9813711834140122,0.0
E_rec,pc_mts - pareto,10,-0.38254218813963237,-0.5752316497301218,-0.21947951704263682,0.0
E_rec,pc_mts - gt_distance,9,-0.2710872976005905,-0.39460160627883545,-0.16079375489304462,0.0
return_rate,pc_mts - score,1,0.9375,0.9375,0.9375,1.0
return_rate,pc_mts - pareto,10,0.5354166666666667,0.24369791666666665,0.8104166666666666,0.7
return_rate,pc_mts - gt_distance,9,0.39087301587301587,0.12036210317460319,0.6574322089947091,0.6666666666666666
robust_radius,pc_mts - score,1,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,0.0
robust_radius,pc_mts - pareto,32,-0.03281250000000001,-0.0796875,0.012499999999999997,0.09375
robust_radius,pc_mts - gt_distance,30,-0.04,-0.095,0.009999999999999998,0.06666666666666667
local_feasible,pc_mts - score,1,0.0,0.0,0.0,0.0
local_feasible,pc_mts - pareto,32,-0.022460937500000003,-0.05078124999999999,0.0009765624999999862,0.09375
local_feasible,pc_mts - gt_distance,30,-0.026041666666666668,-0.0579861111111111,-0.0010416666666666703,0.1
