method,candidate,bridge_alpha,is_fill,qualified,ood_filler,fallback_level,raw_index,pdms,feasible,d_GT,core,boundary,far,HQ_boundary,HQ_far,local_mean,local_P10,local_CVaR20,local_feasible,hard_failure,robust_radius,robustness_AUC,worst_direction_drop,policy_distance_knn,r_knn,q_holdout,mahalanobis,maha_ratio,maha_percentile,E_rec,return_rate,epsilon,Q_E_rec,E_rec_0,E_rec_1,E_rec_2,contrastive
gt_distance,7.5,0.47845348245858454,0.0,1.0,0.0,0.0,96.926875,95.85748700319647,0.9761875,0.32867022971489157,0.0900625,0.1139375,0.796,0.0608125,0.6196875,92.94992472294796,85.76263926359145,82.89394060821847,0.940515625,0.0277890625,0.414546875,0.028472447342094337,4.637281279399261,0.27435088618238185,8.422272158229484,90.2705078125,20.6918791563612,7.462638424600362,90.09697265625,0.44034948154957965,0.5557083333333334,0.41901299739331,0.19314283907413482,0.4308129529785365,0.4407652812595479,0.4494702115759719,0.276
pareto,7.5,0.6053118775597317,0.0,1.0,0.0,0.0,109.610875,97.12297900100862,0.9681875,0.7640199372315901,0.0274375,0.0543125,0.91825,0.05325,0.9114375,95.09979684789494,90.03735367155373,88.12116041316398,0.9423385416666666,0.018463541666666663,0.431225,0.019739169820372417,3.258860776365314,0.5711373795417721,17.155298921244956,96.619482421875,37.184117950220106,13.361768246449085,96.410693359375,0.7354648365592584,0.3128541666666667,0.41901299739331,0.19314283907413482,0.7207759904647246,0.7359717043731362,0.7496468151921872,0.276
pc_mts,2.6875,0.26623887587822015,0.0,0.412,0.0,4.02947239010989,59.24777811355311,94.34521052467686,0.962,0.4104403115844225,0.04359184981684982,0.9564081501831502,0.0,0.4813456501831502,0.0,90.67471448185117,81.45847769902883,78.19243864886774,0.916759207112332,0.04376817956349206,0.3887999084249084,0.03617021310330345,5.891341698489291,0.04447652030970631,1.2800150126063412,76.80189367273351,3.379265060311108,1.2030134102019887,70.50010069682921,0.22191908385047462,0.9085742673992675,0.41901299739331,0.19314283907413482,0.22022622003586137,0.2206506764159845,0.22488035519774696,0.276
score,7.5,0.695896385493701,0.0,1.0,0.0,0.0,73.366,97.39961750019889,0.96825,0.6021389494292525,0.02625,0.0433125,0.9304375,0.0433125,0.9304375,94.94192908772847,89.00328419995407,86.80801261821362,0.9381276041666666,0.021776041666666666,0.422425,0.024036590578635803,3.899334309718974,0.5352922443653302,15.946773091497418,96.95380859375,30.64353597876949,11.018463242631746,97.230078125,0.7051157512124628,0.3647916666666667,0.41901299739331,0.19314283907413482,0.6909063334525563,0.7059220459200441,0.7185188760217279,0.276
