method,source,count,scenes,pdms,r_knn,E_rec,robust_radius,local_feasible,fraction
gt_distance,Bridge-0.2,349,181,97.54638942894677,3.4921875973673364,0.3130981132388115,0.4001432664756447,0.9325453677172875,0.07903079710144928
gt_distance,Bridge-0.4,344,200,98.0804667615328,6.128473517983099,0.3546860231251656,0.4238372093023256,0.953125,0.07789855072463768
gt_distance,Bridge-0.6,311,172,97.66404674422456,9.792261503445385,0.4086284178092067,0.4393890675241158,0.9568595927116826,0.07042572463768115
gt_distance,Bridge-0.8,252,147,97.06406840772186,11.912222582648779,0.4911508646450545,0.42063492063492064,0.9474206349206349,0.057065217391304345
gt_distance,External-MTS,411,210,98.68955376884308,9.243440789505346,0.49308476132369533,0.40425790754257906,0.9395782643957827,0.09307065217391304
gt_distance,External-RL,676,182,98.95543214585004,11.524395651011632,0.4549973171602175,0.45340236686390534,0.9574704142011834,0.15307971014492755
gt_distance,GT,1023,230,99.40267274892385,8.56795233487226,0.46209434900857227,0.4056207233626588,0.9373574454219615,0.23165760869565216
gt_distance,IL-native,1050,244,96.90361496419483,1.184656084305352,0.20278541609908626,0.3585714285714286,0.92,0.23777173913043478
pareto,Bridge-0.2,331,193,97.51397128747094,3.9113062676175967,0.29709240395880343,0.40287009063444107,0.9423464249748238,0.07495471014492754
pareto,Bridge-0.4,323,197,98.10364438051757,6.128010603866723,0.3797078575525019,0.41563467492260064,0.9396284829721362,0.07314311594202899
pareto,Bridge-0.6,332,200,97.74559765392817,9.76342495139244,0.49117539433482427,0.4174698795180723,0.9401355421686747,0.07518115942028986
pareto,Bridge-0.8,265,155,96.60921745141226,13.063180370036843,0.609694191151195,0.4169811320754717,0.9352201257861635,0.060009057971014496
pareto,External-MTS,311,193,98.50806134486784,10.282173645084255,0.5143658468592252,0.4012861736334405,0.9301982851018221,0.07042572463768115
pareto,External-RL,1264,235,98.96184744147074,13.589239674261218,0.6179360008821255,0.44410601265822786,0.9463014240506329,0.286231884057971
pareto,GT,740,222,99.34419055388115,7.953510324046281,0.40739710204502244,0.4119594594594595,0.9445945945945946,0.16757246376811594
pareto,IL-native,850,255,96.82720325554857,1.246619275009709,0.202769631634997,0.3483529411764706,0.9037254901960784,0.192481884057971
pc_mts,Bridge-0.2,458,132,98.77082386005351,1.4195701885604526,0.25155411337284334,0.3548034934497817,0.870542212518195,0.10371376811594203
pc_mts,Bridge-0.4,128,57,98.54995832881542,1.763823645091998,0.2357874574760596,0.402734375,0.9544270833333334,0.028985507246376812
pc_mts,Bridge-0.6,38,30,100.0,1.4743906869331214,0.22398215346038342,0.4171052631578947,0.9594298245614036,0.008605072463768116
pc_mts,Bridge-0.8,21,15,100.0,1.6484509940700245,0.2865247279405594,0.44047619047619047,0.9682539682539681,0.004755434782608696
pc_mts,External-MTS,43,16,100.0,1.59150107559961,0.21476910219472997,0.48604651162790696,0.9941860465116279,0.00973731884057971
pc_mts,External-RL,2,1,100.0,1.4494690198469502,,0.4,0.9791666666666667,0.0004528985507246377
pc_mts,GT,92,39,100.0,1.4925418393435417,0.23057253369026715,0.4206521739130435,0.963768115942029,0.020833333333333332
pc_mts,IL-native,3634,266,98.35854360694171,1.194277317315937,0.20392231894435522,0.3829939460649422,0.9266992294991745,0.8229166666666666
score,Bridge-0.2,132,49,93.65938829736356,4.395142920318055,0.27042530376022145,0.3821969696969697,0.9390782828282828,0.029891304347826088
score,Bridge-0.4,101,48,93.80626252638724,6.007164124239168,0.3717508998721145,0.36237623762376237,0.908003300330033,0.022871376811594204
score,Bridge-0.6,120,51,93.52814238316864,8.923374088776349,0.49199751805175435,0.36625,0.9100694444444444,0.02717391304347826
score,Bridge-0.8,134,51,93.75567667530264,11.309105864241813,0.562146295263217,0.37276119402985075,0.9238184079601991,0.030344202898550724
score,External-MTS,52,25,91.935979736012,9.614004775997392,0.30962217403085607,0.3480769230769231,0.9094551282051282,0.01177536231884058
score,External-RL,170,34,95.76953479933464,16.948994963146554,0.7908619532607636,0.39441176470588235,0.9372549019607843,0.0384963768115942
score,GT,3144,222,99.88108362803935,5.75672942520102,0.37796413917978966,0.4223759541984733,0.9411180025445293,0.7119565217391305
score,IL-native,563,66,96.31523949379216,1.0995517106308121,0.19297077087265951,0.3079040852575488,0.8986826524570751,0.1274909420289855
