checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
apr_9145,32,4,0.18346591,0.15263955,0.47925
apr_9145,32,5,0.18248206,0.15175006,0.48175
apr_9145,32,6,0.18348606,0.152715,0.4785
apr_9145,32,7,0.18306468,0.1523102,0.48125
apr_9145,32,8,0.18329662,0.15257117,0.48075
apr_9145,32,9,0.18272911,0.15202361,0.47975
apr_9145,32,10,0.18288828,0.15222555,0.48075
apr_9145,32,11,0.18255155,0.15189992,0.47925
apr_9145,32,12,0.18334897,0.15258776,0.4765
apr_9145,32,13,0.1832036,0.15248588,0.481
apr_9145,32,14,0.18321678,0.15247378,0.482
apr_9145,32,15,0.18316038,0.15231523,0.48
apr_9145,32,16,0.18339227,0.15263169,0.48125
apr_9145,32,17,0.18334363,0.1524919,0.478
apr_9145,32,18,0.18294425,0.15219961,0.4805
apr_9145,32,19,0.1827665,0.15202248,0.47975
apr_9145,32,20,0.18314786,0.15228264,0.48025
apr_9145,32,21,0.18281716,0.15209727,0.479
apr_9145,32,22,0.18329187,0.1525051,0.47975
apr_9145,32,23,0.18307038,0.15233223,0.48025
apr_9145,32,24,0.1835624,0.15271488,0.479
apr_9145,32,25,0.18383095,0.15297914,0.47925
apr_9145,32,26,0.18332295,0.15254492,0.47975
apr_9145,32,27,0.18231222,0.15173458,0.47975
apr_9145,32,28,0.18274322,0.15205398,0.4785
apr_9145,32,29,0.18283796,0.1520459,0.48
apr_9145,32,30,0.18302435,0.15227298,0.47925
apr_9145,32,31,0.18297483,0.1522581,0.47875
apr_9145,32,32,0.18368305,0.15284963,0.47975
apr_9145,32,33,0.18288353,0.15208746,0.481
apr_9145,32,34,0.18260077,0.15184656,0.47825
apr_9145,32,35,0.18186744,0.15128887,0.479
apr_9145,32,36,0.18324046,0.15242767,0.48
apr_9145,32,37,0.1830707,0.1523123,0.4815
apr_9145,32,38,0.1827144,0.15200548,0.48
apr_9145,32,39,0.18365592,0.1527948,0.479
apr_9145,32,40,0.18245612,0.15180525,0.48175
apr_9145,32,41,0.18301272,0.15226135,0.47975
apr_9145,32,42,0.18366496,0.15279683,0.479
apr_9145,32,43,0.18307841,0.15233476,0.47925
apr_9145,32,44,0.18342343,0.15258487,0.4805
apr_9145,32,45,0.18326405,0.15247479,0.47925
apr_9145,32,46,0.18301986,0.15228419,0.47875
apr_9145,32,47,0.1829187,0.15219265,0.4775
apr_9145,32,48,0.1828924,0.15214726,0.47875
apr_9145,32,49,0.18349536,0.15262666,0.47875
apr_9145,32,50,0.1832333,0.15245128,0.481
apr_9145,32,51,0.18304811,0.15232965,0.479
apr_9145,32,52,0.18284866,0.15203604,0.48
apr_9145,32,53,0.18319383,0.15243493,0.48075
apr_9145,32,54,0.18293276,0.15216759,0.47975
apr_9145,32,55,0.18309201,0.152294,0.479
apr_9145,32,56,0.18315022,0.15237792,0.47925
apr_9145,32,57,0.18312429,0.15228891,0.47875
apr_9145,32,58,0.18337941,0.15261993,0.47825
apr_9145,32,59,0.18320012,0.15237832,0.4795
apr_9145,32,60,0.18355697,0.15273985,0.4785
apr_9145,32,61,0.18395528,0.1530578,0.48025
apr_9145,32,62,0.1831331,0.15246929,0.48075
apr_9145,32,63,0.18336342,0.15257555,0.48025
apr_9145,32,64,0.18337016,0.15257123,0.48225
