metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,39,0.0,0.0,0.0,0.0
pdms,pc_mts - pareto,39,0.0,0.0,0.0,0.0
pdms,pc_mts - gt_distance,39,0.0,0.0,0.0,0.0
E_rec,pc_mts - score,15,-0.016381520136362977,-0.044410866007674486,0.007338047051647069,0.3333333333333333
E_rec,pc_mts - pareto,15,-0.07734003961086273,-0.09718847488363586,-0.05674911931115719,0.0
E_rec,pc_mts - gt_distance,15,-0.07900908494989076,-0.10141590480754772,-0.05853651972156431,0.0
return_rate,pc_mts - score,15,0.02083333333333335,-0.01689814814814813,0.058333333333333334,0.6666666666666666
return_rate,pc_mts - pareto,15,0.08018518518518519,0.021291666666666695,0.13797685185185193,0.7333333333333333
return_rate,pc_mts - gt_distance,15,0.07703703703703706,0.01943518518518521,0.13352777777777783,0.6666666666666666
robust_radius,pc_mts - score,39,0.009142246642246641,0.0004218177655677671,0.019506353021978024,0.2564102564102564
robust_radius,pc_mts - pareto,39,0.033415750915750914,0.009796474358974353,0.059168650793650794,0.41025641025641024
robust_radius,pc_mts - gt_distance,39,0.035723443223443216,0.01477861721611721,0.05824191086691087,0.4358974358974359
local_feasible,pc_mts - score,39,0.004284315221815218,-0.0002785885989011021,0.010449799043549032,0.23076923076923078
local_feasible,pc_mts - pareto,39,0.023715404965404974,0.008526849308099316,0.038691875254375264,0.4358974358974359
local_feasible,pc_mts - gt_distance,39,0.02300315425315426,0.010571454008954,0.03683843355718356,0.5128205128205128
