token,method,candidate,bridge_alpha,is_fill,qualified,ood_filler,fallback_level,raw_index,pdms,feasible,d_GT,core,boundary,far,HQ_boundary,HQ_far,local_mean,local_P10,local_CVaR20,local_feasible,hard_failure,robust_radius,robustness_AUC,worst_direction_drop,policy_distance_knn,r_knn,q_holdout,mahalanobis,maha_ratio,maha_percentile,E_rec,return_rate,epsilon,Q_E_rec,E_rec_0,E_rec_1,E_rec_2,contrastive,pool_diversity,unique_trajectories,unique_raw_count,source_entropy,source_count
0056ae51961f5a18,gt_distance,7.5,0.5,0.0,1.0,0.0,0.0,91.8125,100.0,1.0,0.2876482932291619,0.0,0.125,0.875,0.125,0.875,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.2112527509775983,10.160781599831939,98.828125,30.83410644827162,11.306485205011032,99.90234375,,,,,,,,1.0,0.38508946453324444,16,16,1.6613228393181023,7
0056ae51961f5a18,pareto,7.5,0.4800000000000001,0.0,1.0,0.0,0.0,95.0625,100.0,1.0,0.3364847084451602,0.0,0.125,0.875,0.125,0.875,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.24157746503006547,11.619332057227627,97.119140625,33.58436072437674,12.314969408533132,98.388671875,,,,,,,,1.0,0.41131092624517573,16,16,1.749778989184166,7
0056ae51961f5a18,pc_mts,7.5,0.26666666666666666,0.0,1.0,0.0,1.0,56.625,100.0,1.0,0.13183275118216317,0.0,1.0,0.0,1.0,0.0,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.03327495233484788,1.6004502751069971,79.4921875,4.145454116043675,1.5200867166276257,78.466796875,,,,,,,,1.0,0.1216699796340278,16,16,0.9507489270509151,4
0056ae51961f5a18,score,7.5,,0.0,1.0,0.0,0.0,7.5,100.0,1.0,0.034308998272784684,0.0,0.3125,0.6875,0.3125,0.6875,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.06966420106807616,3.35069119386077,95.99609375,12.597567419531142,4.619372054351907,100.0,,,,,,,,1.0,0.05111663394076132,16,16,-0.0,1
005a44fa33b55e7b,gt_distance,7.5,0.5714285714285714,0.0,1.0,0.0,0.0,96.4375,100.0,0.0,0.24536403863873946,0.0,0.125,0.875,0.125,0.875,99.92752188001657,99.77050341950317,99.71872939655464,0.0,0.0,0.0,0.0007133710917193419,0.1134994859849876,0.18444433079991493,3.8259595379992604,97.705078125,15.317388878153757,4.585035695076125,98.681640625,,,,,,,,0.0,0.3141507077236625,16,16,1.7710163687835907,7
005a44fa33b55e7b,pareto,7.5,0.5333333333333333,0.0,1.0,0.0,0.0,96.1875,100.0,0.0,0.2873908370954462,0.0,0.125,0.875,0.125,0.875,99.9358255250317,99.78966358636684,99.73827769872916,0.0,0.0,0.0,0.0006301335692784554,0.10311449443036846,0.22648747823662252,4.69806756238455,97.705078125,17.55319791022306,5.254292335418533,98.681640625,,,,,,,,0.0,0.40203443019476726,16,16,1.9600951351245586,8
005a44fa33b55e7b,pc_mts,7.5,,0.9375,0.0,0.0,4.125,1.375,100.0,0.0,0.10688568325295286,0.0,1.0,0.0,1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.06861464180635088,1.4232849669431642,93.75,3.6181434640874226,1.083038177375488,69.04296875,,,,,,,,0.0,0.0046034045218164435,16,1,-0.0,1
005a44fa33b55e7b,score,7.5,,0.0,1.0,0.0,0.0,7.5,100.0,0.0,0.032045836222706583,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.12840682452784588,2.663564192598843,99.4140625,8.85594940336857,2.65089856053372,100.0,,,,,,,,0.0,0.05007689151209739,16,16,-0.0,1
006cbccbfae95262,gt_distance,7.5,0.26666666666666666,0.0,1.0,0.0,0.0,63.8125,100.0,1.0,0.24732816290881487,0.125,0.125,0.75,0.125,0.75,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.14184518357125497,2.722092536844676,85.791015625,9.496423700673903,3.1180201258034375,89.599609375,,,,,,,,1.0,0.3243091440501166,16,16,1.474056825273205,5
006cbccbfae95262,pareto,7.5,0.30000000000000004,0.0,1.0,0.0,0.0,76.4375,100.0,1.0,0.4647159515122848,0.0625,0.0625,0.875,0.0625,0.875,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.2907960281651966,5.580546889806197,93.26171875,17.841341420442955,5.857959098468187,94.3359375,,,,,,,,1.0,0.5683711570262927,16,16,1.5934032318284823,6
006cbccbfae95262,pc_mts,7.5,0.2,0.0,1.0,0.0,1.125,73.25,100.0,1.0,0.25966783001830573,0.0625,0.9375,0.0,0.9375,0.0,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.05745155743940185,1.1025291927331342,64.892578125,3.1793543663141213,1.0438972831977766,57.177734375,,,,,,,,1.0,0.15707249588196326,16,16,0.5623351446188083,2
006cbccbfae95262,score,7.5,,0.0,1.0,0.0,0.0,7.5,100.0,1.0,0.03243351773433246,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,1.0,0.0,0.5,0.0,0.0,0.1546098673084132,2.967054328717195,100.0,12.494060250518329,4.1022528629753925,100.0,,,,,,,,1.0,0.051085133636566395,16,16,-0.0,1
007505437ed45b53,gt_distance,7.5,0.4375,0.0,1.0,0.0,0.0,177.4375,83.5240249289341,1.0,0.38558765365331327,0.0,0.0,1.0,0.0,0.8125,83.51708989538659,83.1458424765417,83.0552619976673,1.0,0.0,0.5,6.953268805115975e-05,0.01798453950213663,0.288075105592942,8.758432128015114,100.0,24.69022562440726,7.287219240729759,100.0,0.3911124784499407,0.16666666666666666,0.29403602480888363,0.1411503404378891,0.38715360034257174,0.38961696065962315,0.3965668771415949,0.0,0.274993758258068,16,16,1.0717300941124526,3
007505437ed45b53,pareto,7.5,0.8,0.0,1.0,0.0,0.0,136.6875,85.3937326753005,1.0,0.6664411879072227,0.0,0.0,1.0,0.0,1.0,85.38679186026387,84.99167758292144,84.9126533084388,1.0,0.0,0.5,6.910973132357734e-05,0.017796745139743497,0.5827334366347011,17.717015994786717,100.0,50.73885386558941,14.975365465125236,100.0,0.6999343261122704,0.0,0.29403602480888363,0.1411503404378891,0.6886295583099127,0.7046801261603832,0.7064932882785797,0.0,0.16049967217675148,16,16,0.5623351446188083,2
007505437ed45b53,pc_mts,7.5,,0.9375,0.0,0.0,4.125,1.625,82.10130641838346,1.0,0.10826646462172745,0.0,1.0,0.0,0.0,0.0,82.09516927133889,81.74015255944998,81.6429544298324,1.0,0.0,0.5,6.0571209895134544e-05,0.016879079327071556,0.045117892630076616,1.3717325540721108,90.72265625,3.6047808253943154,1.063936336145077,68.505859375,0.20062743965536356,0.8229166666666667,0.29403602480888363,0.1411503404378891,0.17522878292948008,0.2168831331655383,0.20977040706202388,0.0,0.006157917021380759,16,1,-0.0,1
007505437ed45b53,score,7.5,0.8,0.0,1.0,0.0,0.0,136.6875,85.3937326753005,1.0,0.6664411879072227,0.0,0.0,1.0,0.0,1.0,85.38679186026373,84.99167758292144,84.91265330843814,1.0,0.0,0.5,6.910973132470887e-05,0.017796745139743497,0.5827334366347011,17.717015994786717,100.0,50.73885386558941,14.975365465125236,100.0,0.6999343261122704,0.0,0.29403602480888363,0.1411503404378891,0.6886295583099127,0.7046801261603832,0.7064932882785797,0.0,0.16049967217675148,16,16,0.5623351446188083,2
008a9f9434c75b99,gt_distance,7.5,0.4000000000000001,0.0,1.0,0.0,0.0,81.6875,100.0,1.0,0.2871784377053316,0.125,0.0,0.875,0.0,0.875,98.95833333333333,93.75,95.0,0.9895833333333334,0.010416666666666666,0.478125,0.01145833333333333,1.5625,0.1872670140634437,4.604802225759222,92.67578125,15.037498166667893,4.80976792086383,90.72265625,,,,,,,,0.0,0.37437969972387913,16,16,1.5808185358593017,5
008a9f9434c75b99,pareto,7.5,0.30000000000000004,0.0,1.0,0.0,0.0,86.8125,100.0,1.0,0.36170548321098567,0.0,0.0625,0.9375,0.0625,0.9375,98.95833333333333,93.75,95.0,0.9895833333333334,0.010416666666666666,0.478125,0.01145833333333333,1.5625,0.20968320503205462,5.1560051516003576,97.705078125,15.794210131612397,5.05180345722662,95.8984375,,,,,,,,0.0,0.44520289591343626,16,16,1.6020559154587264,6
