space,x,y,n,pooled_spearman,mean_within_scene_spearman,scene_count
raw,d_GT,r_knn,192000,0.2655493315989024,0.29852111842201245,1000
raw,d_GT,maha_ratio,192000,0.3479206196459381,0.40919954014337867,1000
raw,r_knn,maha_ratio,192000,0.8702484866113671,0.8687318924124463,1000
pools,d_GT,r_knn,64000,0.3372470912446764,0.45203851586858174,1000
pools,d_GT,maha_ratio,64000,0.3574010934819617,0.43306618401463015,1000
pools,r_knn,maha_ratio,64000,0.9175485736366285,0.8781690895805612,1000
pools,r_knn,E_rec,32000,0.8793532992984773,0.8437022663835961,500
pools,maha_ratio,E_rec,32000,0.7726608302721361,0.7434406843311999,500
pools,pdms,robust_radius,64000,0.06136222110566826,0.2573261922621013,328
