metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,60,0.31593076817796706,0.1970055457650718,0.4362116564955273,0.7
pdms,pc_mts - pareto,248,0.24625567065668655,0.10069488384333913,0.4462635407734734,0.17338709677419356
pdms,pc_mts - gt_distance,237,0.2316733189395022,0.12131275373086613,0.39382936358739296,0.21940928270042195
E_rec,pc_mts - score,33,0.011592573391093942,-0.0004603055270277621,0.022614514855997504,0.7575757575757576
E_rec,pc_mts - pareto,118,-0.007332768869506783,-0.015030794946981493,-6.084234883614586e-05,0.4491525423728814
E_rec,pc_mts - gt_distance,115,-0.002594698801385994,-0.009154678526355058,0.004011783214120771,0.4782608695652174
return_rate,pc_mts - score,33,-0.013508279038582061,-0.031993393986765185,0.0035954626532278084,0.42424242424242425
return_rate,pc_mts - pareto,118,0.00837492505924709,-0.005835089022324192,0.023689429734186092,0.4661016949152542
return_rate,pc_mts - gt_distance,115,0.0015948101817666999,-0.011827473000027358,0.01711665940742028,0.391304347826087
robust_radius,pc_mts - score,60,-0.011161285473785473,-0.022809441513347753,0.0006676128848003844,0.13333333333333333
robust_radius,pc_mts - pareto,248,0.004215619729732633,-0.0012657628829503818,0.010148921901631075,0.17338709677419356
robust_radius,pc_mts - gt_distance,237,8.402052705850097e-05,-0.005929722754683198,0.006513475309559171,0.1729957805907173
local_feasible,pc_mts - score,60,-0.015185999378707711,-0.038647321428571434,0.0037192660734327414,0.15
local_feasible,pc_mts - pareto,248,0.005252054313294232,-0.000634181520018219,0.01117686831491015,0.20161290322580644
local_feasible,pc_mts - gt_distance,237,-0.00041195277218483906,-0.00755285592986674,0.005663048779972572,0.20253164556962025
