metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,1,-0.2705971557922453,-0.2705971557922453,-0.2705971557922453,0.0
pdms,pc_mts - pareto,19,-0.01424195556801291,-0.04272586670403873,0.0,0.0
pdms,pc_mts - gt_distance,19,-0.01424195556801291,-0.04272586670403873,0.0,0.0
E_rec,pc_mts - score,1,-0.026420770213007927,-0.026420770213007927,-0.026420770213007927,0.0
E_rec,pc_mts - pareto,10,-0.14686093142877021,-0.23833268373459576,-0.0574419542128841,0.2
E_rec,pc_mts - gt_distance,10,-0.1224892816071709,-0.2229156409082934,-0.0335535536063835,0.3
return_rate,pc_mts - score,1,-0.0625,-0.0625,-0.0625,0.0
return_rate,pc_mts - pareto,10,0.25708333333333333,0.09750000000000002,0.43211458333333336,0.7
return_rate,pc_mts - gt_distance,10,0.2209722222222222,0.06665972222222223,0.39932291666666675,0.6
robust_radius,pc_mts - score,1,0.0,0.0,0.0,0.0
robust_radius,pc_mts - pareto,19,0.0,-0.03157894736842106,0.03157894736842106,0.05263157894736842
robust_radius,pc_mts - gt_distance,19,0.0,-0.03157894736842106,0.03157894736842106,0.05263157894736842
local_feasible,pc_mts - score,1,0.0,0.0,0.0,0.0
local_feasible,pc_mts - pareto,19,-0.0010964912280701773,-0.014254385964912289,0.012061403508771934,0.05263157894736842
local_feasible,pc_mts - gt_distance,19,-0.0021929824561403547,-0.015350877192982466,0.010964912280701756,0.05263157894736842
