method,amplitude,original_PDMS,local_PDMS,PDMS_drop,feasible_rate,failure_rate,hard_failure_rate
gt_distance,0.05,95.85748700319647,95.56817815794378,0.2893088452526769,0.97215625,0.027843750000000004,0.00259375
gt_distance,0.15,95.85748700319647,94.78957954778787,1.0679074554085952,0.9626666666666667,0.037333333333333336,0.010020833333333335
gt_distance,0.3,95.85748700319647,92.64238713984423,3.215099863352231,0.9374270833333334,0.06257291666666667,0.03117708333333333
gt_distance,0.5,95.85748700319647,88.79955404621596,7.057932956980512,0.8898125,0.11018750000000001,0.06736458333333332
pareto,0.05,97.12297900100862,96.9037153268415,0.21926367416710849,0.9647708333333334,0.03522916666666667,0.0018125
pareto,0.15,97.12297900100862,96.37316756057746,0.7498114404311709,0.9579791666666666,0.042020833333333334,0.006625
pareto,0.3,97.12297900100862,94.93068652612132,2.1922924748872963,0.9408229166666666,0.05917708333333334,0.02014583333333333
pareto,0.5,97.12297900100862,92.19161797803947,4.9313610229691465,0.90578125,0.09421875000000002,0.04527083333333334
pc_mts,0.05,94.29005773787861,93.90786226006384,0.38219547781477936,0.9555729166666667,0.04442708333333333,0.012677083333333334
pc_mts,0.15,94.29005773787861,92.65693478787196,1.6331229500066606,0.94009375,0.05990625,0.024552083333333332
pc_mts,0.3,94.29005773787861,90.21235660000644,4.077701137872162,0.9115,0.0885,0.048208333333333325
pc_mts,0.5,94.29005773787861,85.87719816278633,8.412859575092288,0.86025,0.13975,0.09038541666666666
score,0.05,97.39961750019889,97.07692871550611,0.3226887846927748,0.9643125,0.0356875,0.0027083333333333334
score,0.15,97.39961750019889,96.41577692258178,0.9838405776170976,0.95603125,0.04396875,0.0083125
score,0.3,97.39961750019889,94.70327924525873,2.6963382549401618,0.9362083333333334,0.06379166666666668,0.02410416666666667
score,0.5,97.39961750019889,91.57173146756722,5.827886032631666,0.8959583333333334,0.10404166666666667,0.05197916666666667
