method,source,count,scenes,pdms,r_knn,E_rec,robust_radius,local_feasible,fraction
gt_distance,Bridge-0.2,1753,574,94.43602295783532,4.871074167640588,0.35499484720318,0.4170849971477467,0.9397223806807378,0.1095625
gt_distance,Bridge-0.4,1664,637,95.54358904547908,7.92289509361924,0.43138025607480557,0.44071514423076924,0.9559044471153846,0.104
gt_distance,Bridge-0.6,1354,598,96.05897374927521,10.552045119582118,0.4847326077161783,0.4440546528803545,0.9569177744953226,0.084625
gt_distance,Bridge-0.8,1111,516,95.75839341930777,12.320602825912012,0.555290074805722,0.4286228622862286,0.9498199819981998,0.0694375
gt_distance,External-MTS,1369,525,96.42909829754169,11.616440654879153,0.5829360186722543,0.3973703433162893,0.9290236182128073,0.0855625
gt_distance,External-RL,2306,541,96.7554793190517,13.172707280474736,0.49881093586637637,0.45969210754553336,0.9690119976871928,0.144125
gt_distance,GT,2972,677,97.43056091913908,11.69296745653311,0.6152692104916315,0.3927153432032302,0.9252327276805742,0.18575
gt_distance,IL-native,3471,618,94.51002251750569,1.1602811069986305,0.20305718662588562,0.38017862287525206,0.9228488427926631,0.2169375
pareto,Bridge-0.2,638,375,97.58539004870585,4.165046120549598,0.30502165197559494,0.40470219435736676,0.934887669801463,0.039875
pareto,Bridge-0.4,717,442,97.91354098959496,7.296128923531695,0.4087606412276887,0.4208507670850767,0.9385169688516969,0.0448125
pareto,Bridge-0.6,1022,580,97.54083604878707,12.96006963379846,0.5790116705952503,0.43424657534246575,0.9479778212654926,0.063875
pareto,Bridge-0.8,1890,726,96.1202282924349,20.457875897565536,0.8506742611027613,0.44915343915343914,0.9544091710758377,0.118125
pareto,External-MTS,1063,467,96.77725609072753,22.839865647119215,0.8243618303469356,0.4045155221072437,0.9328551269990593,0.0664375
pareto,External-RL,7249,884,97.04844576791189,22.835942889570138,0.9245373075938127,0.45891847151331217,0.9522060514093899,0.4530625
pareto,GT,1938,512,98.1063403380415,11.83979447053797,0.6338911197825249,0.39447884416924667,0.9299105607155144,0.121125
pareto,IL-native,1483,461,96.85887807808535,1.2970555572564402,0.20670108015269154,0.3545178691840863,0.9029276241852102,0.0926875
pc_mts,Bridge-0.2,1579,271,95.15910497062207,1.4743479674390276,0.2523520371783525,0.38692210259658016,0.9107557525860248,0.0986875
pc_mts,Bridge-0.4,300,92,96.36649394613467,1.6535979677714292,0.2509476573384823,0.42033333333333334,0.9226388888888889,0.01875
pc_mts,Bridge-0.6,107,39,94.25891630434923,1.624704531702268,0.19237443492856138,0.36962616822429906,0.9361370716510904,0.0066875
pc_mts,Bridge-0.8,40,19,98.75326772121694,1.5712012287733086,0.2593226104974747,0.32875,0.9166666666666666,0.0025
pc_mts,External-MTS,67,22,97.81761687647345,1.758661551375783,0.25450780625278885,0.48507462686567165,0.9937810945273631,0.0041875
pc_mts,External-RL,2,1,100.0,1.4494690198469502,,0.4,0.9791666666666667,0.000125
pc_mts,GT,214,62,96.09382989799238,1.6120166153718223,0.2021228865515895,0.3897196261682243,0.8962227414330217,0.013375
pc_mts,IL-native,13691,911,94.08524243600155,1.2454884379350442,0.2186652660468727,0.38852165656270543,0.9172175151559419,0.8556875
score,Bridge-0.2,252,95,93.89454087773794,4.337698045606813,0.28941495881461704,0.3869047619047619,0.941137566137566,0.01575
score,Bridge-0.4,243,123,93.84502305626759,7.6326709704475695,0.42918394166764207,0.3890946502057613,0.9368998628257887,0.0151875
score,Bridge-0.6,464,224,94.50400318808265,12.53858965886597,0.6083118616261034,0.4146551724137931,0.947826867816092,0.029
score,Bridge-0.8,1336,421,94.7500043491589,19.77597660057858,0.8726385385015268,0.4440494011976048,0.9543413173652695,0.0835
score,External-MTS,572,140,94.52165661960765,40.33836418120523,1.2219156340372805,0.4091783216783217,0.9543997668997668,0.03575
score,External-RL,5568,494,96.5845008189594,25.590176184370403,1.0161157448706817,0.4580010775862069,0.9499595905172413,0.348
score,GT,6620,510,99.49980060843819,8.0531408276308,0.4676964880180559,0.40627643504531724,0.9269637462235649,0.41375
score,IL-native,945,116,96.24834247124896,1.1539498258418472,0.20105313534537952,0.32523809523809527,0.9085978835978836,0.0590625
